,spores,techs,locs,carriers,unit,flow_out_sum
201,0,roof_mounted_pv,PRT_16_1,electricity,twh,3.7939388346501045e-05
202,0,roof_mounted_pv,PRT_17_1,electricity,twh,4.057502142381442e-05
203,0,roof_mounted_pv,PRT_18_1,electricity,twh,3.729936850702161e-05
204,0,roof_mounted_pv,PRT_19_1,electricity,twh,4.4258580260870605e-05
205,0,roof_mounted_pv,PRT_1_1,electricity,twh,2.984611966504546e-09
206,0,roof_mounted_pv,PRT_20_1,electricity,twh,4.062403310730279e-05
207,0,roof_mounted_pv,PRT_3_1,electricity,twh,4.362533612630097e-05
208,0,roof_mounted_pv,PRT_4_1,electricity,twh,4.1138349944589695e-05
209,0,roof_mounted_pv,PRT_5_1,electricity,twh,4.6627771174930405e-05
210,0,roof_mounted_pv,PRT_6_1,electricity,twh,3.86723974414381e-05
211,0,roof_mounted_pv,PRT_7_1,electricity,twh,4.1920972133481073e-05
212,0,roof_mounted_pv,PRT_8_1,electricity,twh,4.255277903422075e-05
213,0,roof_mounted_pv,PRT_9_1,electricity,twh,4.440353070887512e-05
214,0,waste_supply,PRT_1,waste,twh,1.0281802480947118
215,0,waste_supply,PRT_2,waste,twh,1.0062659697225946
216,0,wind_offshore,PRT_11_1,electricity,twh,8.822507017230029e-05
217,0,wind_offshore,PRT_12_1,electricity,twh,0.0001031150804588
218,0,wind_offshore,PRT_15_1,electricity,twh,6.270854968623828e-05
219,0,wind_offshore,PRT_16_1,electricity,twh,7.403617992224359e-05
220,0,wind_offshore,PRT_17_1,electricity,twh,8.485361402917151e-05
221,0,wind_offshore,PRT_18_1,electricity,twh,6.663842684947671e-05
222,0,wind_offshore,PRT_1_1,electricity,twh,3.372400206299344e-07
223,0,wind_offshore,PRT_20_1,electricity,twh,2.377128106193383e-05
224,0,wind_offshore,PRT_3_1,electricity,twh,8.402683214455602e-05
225,0,wind_offshore,PRT_4_1,electricity,twh,6.320903202748667e-05
226,0,wind_offshore,PRT_7_1,electricity,twh,6.714076852269385e-05
227,0,wind_offshore,PRT_9_1,electricity,twh,0.0001189485550318
228,0,wind_onshore,PRT_10_1,electricity,twh,0.0009953688742242
229,0,wind_onshore,PRT_11_1,electricity,twh,0.0012318112251628
230,0,wind_onshore,PRT_12_1,electricity,twh,0.0018403467301539
231,0,wind_onshore,PRT_14_1,electricity,twh,0.0017118014962592
232,0,wind_onshore,PRT_15_1,electricity,twh,0.0003226440553903
233,0,wind_onshore,PRT_16_1,electricity,twh,0.0013833209510181
234,0,wind_onshore,PRT_17_1,electricity,twh,0.0020602313982547
235,0,wind_onshore,PRT_18_1,electricity,twh,0.0005955911769345
236,0,wind_onshore,PRT_19_1,electricity,twh,0.0004548322104225
237,0,wind_onshore,PRT_1_1,electricity,twh,7.443503981081975e-07
238,0,wind_onshore,PRT_20_1,electricity,twh,0.0005423746247082
239,0,wind_onshore,PRT_3_1,electricity,twh,0.0026258885113971
240,0,wind_onshore,PRT_4_1,electricity,twh,0.0005022735065846
241,0,wind_onshore,PRT_5_1,electricity,twh,0.0005600597588405
242,0,wind_onshore,PRT_6_1,electricity,twh,0.0011490943149873
243,0,wind_onshore,PRT_7_1,electricity,twh,0.000612100104942
244,0,wind_onshore,PRT_8_1,electricity,twh,0.0018422464202072
245,0,wind_onshore,PRT_9_1,electricity,twh,56.15625189463052
246,1,battery,PRT_1,electricity,twh,0.725271330203098
247,1,battery,PRT_2,electricity,twh,0.6878155883430442
249,1,biofuel_boiler,PRT_1,heat,twh,0.0006221291585301
251,1,biofuel_boiler,PRT_2,heat,twh,0.000689748940665
252,1,biofuel_supply,PRT_1,biofuel,twh,2.9004790864241627
253,1,biofuel_supply,PRT_2,biofuel,twh,1.771843213141976
255,1,biofuel_to_diesel,PRT_1,diesel,twh,1.0749642690807997
257,1,biofuel_to_diesel,PRT_2,diesel,twh,1.013331448733417
267,1,biofuel_to_methane,PRT_1,methane,twh,0.0005289081918024
269,1,biofuel_to_methane,PRT_2,methane,twh,0.0005636123309406
271,1,biofuel_to_methanol,PRT_1,methanol,twh,0.7187715379201285
273,1,biofuel_to_methanol,PRT_2,methanol,twh,0.0519390146690328
274,1,ccgt,PRT_1,electricity,twh,0.0001019393813396
276,1,ccgt,PRT_2,electricity,twh,9.605682196381167e-05
279,1,chp_biofuel_extraction,PRT_1,electricity,twh,0.000318396587974
280,1,chp_biofuel_extraction,PRT_1,heat,twh,0.0006234159982952
282,1,chp_biofuel_extraction,PRT_2,electricity,twh,0.0003279816537367
283,1,chp_biofuel_extraction,PRT_2,heat,twh,0.0006664424493305
284,1,chp_hydrogen,PRT_1,electricity,twh,0.0003091900258837
285,1,chp_hydrogen,PRT_1,heat,twh,0.0002920938543835
287,1,chp_hydrogen,PRT_2,electricity,twh,0.0003128797484915
288,1,chp_hydrogen,PRT_2,heat,twh,0.000299635855098
290,1,chp_methane_extraction,PRT_1,electricity,twh,0.0001305567183657
291,1,chp_methane_extraction,PRT_1,heat,twh,0.0003057799838311
293,1,chp_methane_extraction,PRT_2,electricity,twh,0.0001222127827608
294,1,chp_methane_extraction,PRT_2,heat,twh,0.0003112477802678
296,1,chp_wte_back_pressure,PRT_1,electricity,twh,0.2231505181689759
297,1,chp_wte_back_pressure,PRT_1,heat,twh,7.357312324218142e-05
299,1,chp_wte_back_pressure,PRT_2,electricity,twh,0.2183951197620893
300,1,chp_wte_back_pressure,PRT_2,heat,twh,7.986288674525362e-05
325,1,el_import,ESP,electricity,twh,11.612678404225692
335,1,electrolysis,PRT_1,hydrogen,twh,45.75653741962507
337,1,electrolysis,PRT_2,hydrogen,twh,0.0003459133282857
338,1,existing_pv,PRT_10_1,electricity,twh,0.3088911113244627
339,1,existing_pv,PRT_12_1,electricity,twh,0.1575950571167478
340,1,existing_pv,PRT_15_1,electricity,twh,0.3080399655595987
341,1,existing_pv,PRT_3_1,electricity,twh,0.8143626371889456
342,1,existing_pv,PRT_9_1,electricity,twh,0.1704815371071208
343,1,existing_wind,PRT_10_1,electricity,twh,0.3466824557423658
344,1,existing_wind,PRT_11_1,electricity,twh,1.4738023492973729
345,1,existing_wind,PRT_12_1,electricity,twh,0.3439913722486822
346,1,existing_wind,PRT_15_1,electricity,twh,0.3260046241968011
347,1,existing_wind,PRT_16_1,electricity,twh,0.0813909873525355
348,1,existing_wind,PRT_17_1,electricity,twh,0.2846379703973504
349,1,existing_wind,PRT_18_1,electricity,twh,2.457644463924295
350,1,existing_wind,PRT_19_1,electricity,twh,2.0252854346998816
351,1,existing_wind,PRT_1_1,electricity,twh,0.0001141691719025
352,1,existing_wind,PRT_20_1,electricity,twh,2.3519380810491746
353,1,existing_wind,PRT_3_1,electricity,twh,0.4768194007212322
354,1,existing_wind,PRT_4_1,electricity,twh,1.0175999908699846
355,1,existing_wind,PRT_5_1,electricity,twh,0.4976782420946681
356,1,existing_wind,PRT_6_1,electricity,twh,2.105229167097301
357,1,existing_wind,PRT_7_1,electricity,twh,1.4364574222099245
358,1,existing_wind,PRT_9_1,electricity,twh,0.8712090342385423
365,1,heat_storage_big,PRT_1,heat,twh,0.0187366870110984
366,1,heat_storage_big,PRT_2,heat,twh,0.0245849798981131
367,1,heat_storage_small,PRT_1,heat,twh,24.21399394048954
368,1,heat_storage_small,PRT_2,heat,twh,1.1966578745526086
381,1,hydro_reservoir,PRT_1,electricity,twh,2.159077623156326
382,1,hydro_reservoir,PRT_2,electricity,twh,0.3940785974214926
383,1,hydro_run_of_river,PRT_1,electricity,twh,2.261485451313285
384,1,hydro_run_of_river,PRT_2,electricity,twh,0.3313228659952011
417,1,methane_boiler,PRT_1,heat,twh,0.0003352765057659
419,1,methane_boiler,PRT_2,heat,twh,0.0003656667616087
421,1,methane_storage,PRT_1,methane,twh,5.646671483597055
422,1,methane_storage,PRT_2,methane,twh,5.738339454710824
423,1,open_field_pv,PRT_10_1,electricity,twh,42.08234020271546
424,1,open_field_pv,PRT_11_1,electricity,twh,9.790230673552892e-05
425,1,open_field_pv,PRT_12_1,electricity,twh,0.0034793810850113
426,1,open_field_pv,PRT_14_1,electricity,twh,0.0046330170917341
427,1,open_field_pv,PRT_15_1,electricity,twh,0.0512808720837188
428,1,open_field_pv,PRT_16_1,electricity,twh,0.0035276806025629
429,1,open_field_pv,PRT_17_1,electricity,twh,0.0074576262687245
430,1,open_field_pv,PRT_18_1,electricity,twh,0.0031768685648854
431,1,open_field_pv,PRT_19_1,electricity,twh,0.0036687739467706
432,1,open_field_pv,PRT_20_1,electricity,twh,0.0061271652087317
433,1,open_field_pv,PRT_3_1,electricity,twh,29.169669590097516
434,1,open_field_pv,PRT_4_1,electricity,twh,0.0043050779097775
435,1,open_field_pv,PRT_5_1,electricity,twh,0.0083811345582723
436,1,open_field_pv,PRT_6_1,electricity,twh,8.334107653034382e-05
437,1,open_field_pv,PRT_7_1,electricity,twh,0.0511939248534161
438,1,open_field_pv,PRT_8_1,electricity,twh,0.0077487792971997
439,1,open_field_pv,PRT_9_1,electricity,twh,0.0001008314397107
440,1,pumped_hydro,PRT_1,electricity,twh,6.4838959542473615
441,1,pumped_hydro,PRT_2,electricity,twh,0.90187855439604
442,1,roof_mounted_pv,PRT_10_1,electricity,twh,0.0002313249053029
443,1,roof_mounted_pv,PRT_11_1,electricity,twh,0.0002424179622723
444,1,roof_mounted_pv,PRT_12_1,electricity,twh,0.000266609036147
445,1,roof_mounted_pv,PRT_14_1,electricity,twh,0.0002343437383
446,1,roof_mounted_pv,PRT_15_1,electricity,twh,0.0002477479954713
447,1,roof_mounted_pv,PRT_16_1,electricity,twh,0.0002321320663741
448,1,roof_mounted_pv,PRT_17_1,electricity,twh,0.0002398187595811
449,1,roof_mounted_pv,PRT_18_1,electricity,twh,0.0002159479149121
450,1,roof_mounted_pv,PRT_19_1,electricity,twh,0.0002222707711424
451,1,roof_mounted_pv,PRT_1_1,electricity,twh,6.042250568713217e-07
452,1,roof_mounted_pv,PRT_20_1,electricity,twh,0.0002263600670882
453,1,roof_mounted_pv,PRT_3_1,electricity,twh,0.0002444408362815
454,1,roof_mounted_pv,PRT_4_1,electricity,twh,0.0002198639477785
455,1,roof_mounted_pv,PRT_5_1,electricity,twh,0.0002282515106395
456,1,roof_mounted_pv,PRT_6_1,electricity,twh,0.0002105118685433
457,1,roof_mounted_pv,PRT_7_1,electricity,twh,0.0002310923362965
458,1,roof_mounted_pv,PRT_8_1,electricity,twh,0.0002382631274043
459,1,roof_mounted_pv,PRT_9_1,electricity,twh,0.0002780766634069
460,1,waste_supply,PRT_1,waste,twh,1.02834340170035
461,1,waste_supply,PRT_2,waste,twh,1.0064291233276004
462,1,wind_offshore,PRT_11_1,electricity,twh,0.0004509999965378
463,1,wind_offshore,PRT_12_1,electricity,twh,0.0004926680378105
464,1,wind_offshore,PRT_15_1,electricity,twh,0.0003480144313074
465,1,wind_offshore,PRT_16_1,electricity,twh,0.0004134191431565
466,1,wind_offshore,PRT_17_1,electricity,twh,0.000433755359914
467,1,wind_offshore,PRT_18_1,electricity,twh,0.0003746449686003
468,1,wind_offshore,PRT_1_1,electricity,twh,5.952062469003002e-05
469,1,wind_offshore,PRT_20_1,electricity,twh,0.0003554927780181
470,1,wind_offshore,PRT_3_1,electricity,twh,0.0004451643410774
471,1,wind_offshore,PRT_4_1,electricity,twh,0.0003602397361407
472,1,wind_offshore,PRT_7_1,electricity,twh,0.000367644304933
473,1,wind_offshore,PRT_9_1,electricity,twh,0.0005426704893061
474,1,wind_onshore,PRT_10_1,electricity,twh,0.0143992482000412
475,1,wind_onshore,PRT_11_1,electricity,twh,19.040452897793976
476,1,wind_onshore,PRT_12_1,electricity,twh,6.979516874373905
477,1,wind_onshore,PRT_14_1,electricity,twh,0.0335747576345432
478,1,wind_onshore,PRT_15_1,electricity,twh,0.0034047039829705
479,1,wind_onshore,PRT_16_1,electricity,twh,0.010088948054447
480,1,wind_onshore,PRT_17_1,electricity,twh,0.0207329522331354
481,1,wind_onshore,PRT_18_1,electricity,twh,0.0089076996300978
482,1,wind_onshore,PRT_19_1,electricity,twh,0.0022698370959979
483,1,wind_onshore,PRT_1_1,electricity,twh,9.384014445865368e-05
484,1,wind_onshore,PRT_20_1,electricity,twh,0.0032810825921051
485,1,wind_onshore,PRT_3_1,electricity,twh,24.654955179071287
486,1,wind_onshore,PRT_4_1,electricity,twh,0.0050976775924619
487,1,wind_onshore,PRT_5_1,electricity,twh,0.0031657753928149
488,1,wind_onshore,PRT_6_1,electricity,twh,16.49197911010677
489,1,wind_onshore,PRT_7_1,electricity,twh,0.0046909665107672
490,1,wind_onshore,PRT_8_1,electricity,twh,8.273316434169997
491,1,wind_onshore,PRT_9_1,electricity,twh,0.0005574211232212
492,2,battery,PRT_1,electricity,twh,0.002717145247327
493,2,battery,PRT_2,electricity,twh,0.0048429196274845
495,2,biofuel_boiler,PRT_1,heat,twh,0.0190440535214042
497,2,biofuel_boiler,PRT_2,heat,twh,0.0020092705662061
498,2,biofuel_supply,PRT_1,biofuel,twh,15.45423847595681
499,2,biofuel_supply,PRT_2,biofuel,twh,16.120208793188333
501,2,biofuel_to_diesel,PRT_1,diesel,twh,0.0019730717337739
503,2,biofuel_to_diesel,PRT_2,diesel,twh,1.0116746638864471
513,2,biofuel_to_methane,PRT_1,methane,twh,4.350719252726723
515,2,biofuel_to_methane,PRT_2,methane,twh,3.4822868131146385
517,2,biofuel_to_methanol,PRT_1,methanol,twh,0.7616254603997447
519,2,biofuel_to_methanol,PRT_2,methanol,twh,6.144228827811422
520,2,ccgt,PRT_1,electricity,twh,0.0004468921405427
522,2,ccgt,PRT_2,electricity,twh,0.0017387901685674
525,2,chp_biofuel_extraction,PRT_1,electricity,twh,0.0020867455304311
526,2,chp_biofuel_extraction,PRT_1,heat,twh,0.0034642576820344
528,2,chp_biofuel_extraction,PRT_2,electricity,twh,0.0010554971497798
529,2,chp_biofuel_extraction,PRT_2,heat,twh,0.0022073176853381
530,2,chp_hydrogen,PRT_1,electricity,twh,0.0005519727793248
531,2,chp_hydrogen,PRT_1,heat,twh,0.0006494843640755
533,2,chp_hydrogen,PRT_2,electricity,twh,0.0006917707645126
534,2,chp_hydrogen,PRT_2,heat,twh,0.0007680245586537
536,2,chp_methane_extraction,PRT_1,electricity,twh,0.0006808991413932
537,2,chp_methane_extraction,PRT_1,heat,twh,0.0010746385267731
539,2,chp_methane_extraction,PRT_2,electricity,twh,0.0003010352035157
540,2,chp_methane_extraction,PRT_2,heat,twh,0.0009891126505129
542,2,chp_wte_back_pressure,PRT_1,electricity,twh,0.2232290543422234
543,2,chp_wte_back_pressure,PRT_1,heat,twh,0.0002030919313872
545,2,chp_wte_back_pressure,PRT_2,electricity,twh,0.2184736559355408
546,2,chp_wte_back_pressure,PRT_2,heat,twh,0.0002282726738521
571,2,el_import,ESP,electricity,twh,21.566956494682472
581,2,electrolysis,PRT_1,hydrogen,twh,0.0070449697254914
583,2,electrolysis,PRT_2,hydrogen,twh,27.479847776122025
584,2,existing_pv,PRT_10_1,electricity,twh,0.3131314542782407
585,2,existing_pv,PRT_12_1,electricity,twh,0.1596465918796044
586,2,existing_pv,PRT_15_1,electricity,twh,0.3102585635671973
587,2,existing_pv,PRT_3_1,electricity,twh,0.8162684138295977
588,2,existing_pv,PRT_9_1,electricity,twh,0.1725872631182879
589,2,existing_wind,PRT_10_1,electricity,twh,0.3509214668633716
590,2,existing_wind,PRT_11_1,electricity,twh,1.4764848597983509
591,2,existing_wind,PRT_12_1,electricity,twh,0.3614606200211011
592,2,existing_wind,PRT_15_1,electricity,twh,0.3375098289030817
593,2,existing_wind,PRT_16_1,electricity,twh,0.0949782719600286
594,2,existing_wind,PRT_17_1,electricity,twh,0.2881099823477767
595,2,existing_wind,PRT_18_1,electricity,twh,2.4600681648286318
596,2,existing_wind,PRT_19_1,electricity,twh,2.0276553104302053
597,2,existing_wind,PRT_1_1,electricity,twh,0.0004930491315849
598,2,existing_wind,PRT_20_1,electricity,twh,2.3543566328341186
599,2,existing_wind,PRT_3_1,electricity,twh,0.4977337882675608
600,2,existing_wind,PRT_4_1,electricity,twh,1.0203194856524005
601,2,existing_wind,PRT_5_1,electricity,twh,0.5015390198266199
602,2,existing_wind,PRT_6_1,electricity,twh,2.1231070231147333
603,2,existing_wind,PRT_7_1,electricity,twh,1.4385967607810328
604,2,existing_wind,PRT_9_1,electricity,twh,0.9143824851837627
611,2,heat_storage_big,PRT_1,heat,twh,0.0463402013833867
612,2,heat_storage_big,PRT_2,heat,twh,0.0621464940622289
613,2,heat_storage_small,PRT_1,heat,twh,0.3456074176525164
614,2,heat_storage_small,PRT_2,heat,twh,29.33301589082884
627,2,hydro_reservoir,PRT_1,electricity,twh,2.163086249954603
628,2,hydro_reservoir,PRT_2,electricity,twh,0.3944686156969194
629,2,hydro_run_of_river,PRT_1,electricity,twh,2.6806883343582504
630,2,hydro_run_of_river,PRT_2,electricity,twh,0.3652396277696657
663,2,methane_boiler,PRT_1,heat,twh,0.0020580897477119
665,2,methane_boiler,PRT_2,heat,twh,0.0006445986554662
667,2,methane_storage,PRT_1,methane,twh,5.643173210510867
668,2,methane_storage,PRT_2,methane,twh,5.838936941682633
669,2,open_field_pv,PRT_10_1,electricity,twh,0.0036938371632649
670,2,open_field_pv,PRT_11_1,electricity,twh,0.0050275095050565
671,2,open_field_pv,PRT_12_1,electricity,twh,0.0013200770340567
672,2,open_field_pv,PRT_14_1,electricity,twh,0.0012439278697193
673,2,open_field_pv,PRT_15_1,electricity,twh,0.0029216242623855
674,2,open_field_pv,PRT_16_1,electricity,twh,0.0011493964614218
675,2,open_field_pv,PRT_17_1,electricity,twh,0.0016270812574564
676,2,open_field_pv,PRT_18_1,electricity,twh,0.001145469842407
677,2,open_field_pv,PRT_19_1,electricity,twh,0.000789205927667
678,2,open_field_pv,PRT_20_1,electricity,twh,0.0009625709875415
679,2,open_field_pv,PRT_3_1,electricity,twh,0.0048792522029308
680,2,open_field_pv,PRT_4_1,electricity,twh,0.0013353819870299
681,2,open_field_pv,PRT_5_1,electricity,twh,0.0010100726244167
682,2,open_field_pv,PRT_6_1,electricity,twh,0.0039515287575773
683,2,open_field_pv,PRT_7_1,electricity,twh,0.0023343893972605
684,2,open_field_pv,PRT_8_1,electricity,twh,0.0015801657352641
685,2,open_field_pv,PRT_9_1,electricity,twh,3.8420698241177194
686,2,pumped_hydro,PRT_1,electricity,twh,3.865453606716496
687,2,pumped_hydro,PRT_2,electricity,twh,0.457762020430567
688,2,roof_mounted_pv,PRT_10_1,electricity,twh,0.0004787999404867
689,2,roof_mounted_pv,PRT_11_1,electricity,twh,0.000499154884187
690,2,roof_mounted_pv,PRT_12_1,electricity,twh,0.0005351658699321
691,2,roof_mounted_pv,PRT_14_1,electricity,twh,0.0005074041607042
692,2,roof_mounted_pv,PRT_15_1,electricity,twh,0.0004956421951955
693,2,roof_mounted_pv,PRT_16_1,electricity,twh,0.0004924476629775
694,2,roof_mounted_pv,PRT_17_1,electricity,twh,0.0005000037067304
695,2,roof_mounted_pv,PRT_18_1,electricity,twh,0.0004566528456338
696,2,roof_mounted_pv,PRT_19_1,electricity,twh,0.0004480705304203
697,2,roof_mounted_pv,PRT_1_1,electricity,twh,1.992489196719212e-06
698,2,roof_mounted_pv,PRT_20_1,electricity,twh,0.0004723102838553
699,2,roof_mounted_pv,PRT_3_1,electricity,twh,0.0004896837177773
700,2,roof_mounted_pv,PRT_4_1,electricity,twh,0.0004521391087856
701,2,roof_mounted_pv,PRT_5_1,electricity,twh,0.0004527290810778
702,2,roof_mounted_pv,PRT_6_1,electricity,twh,0.0004414362023525
703,2,roof_mounted_pv,PRT_7_1,electricity,twh,0.0004767903850592
704,2,roof_mounted_pv,PRT_8_1,electricity,twh,0.0004845474332198
705,2,roof_mounted_pv,PRT_9_1,electricity,twh,0.0005375800302153
706,2,waste_supply,PRT_1,waste,twh,1.0287053195494165
707,2,waste_supply,PRT_2,waste,twh,1.0067910411776078
708,2,wind_offshore,PRT_11_1,electricity,twh,0.0011082270659165
709,2,wind_offshore,PRT_12_1,electricity,twh,0.0012702241266927
710,2,wind_offshore,PRT_15_1,electricity,twh,0.0009397926497162
711,2,wind_offshore,PRT_16_1,electricity,twh,0.0011461399382272
712,2,wind_offshore,PRT_17_1,electricity,twh,0.0011065178325324
713,2,wind_offshore,PRT_18_1,electricity,twh,0.0009773794183591
714,2,wind_offshore,PRT_1_1,electricity,twh,0.0001179049652107
715,2,wind_offshore,PRT_20_1,electricity,twh,0.001052493493413
716,2,wind_offshore,PRT_3_1,electricity,twh,0.0010910754342462
717,2,wind_offshore,PRT_4_1,electricity,twh,0.0009535843188885
