lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,ozone depletion potential (ODPinfinite) (kg CFC-11-Eq),agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq)
root,,,,,,,38679.30002280024,20168696435.4569,10191077191.718624,89164293962.22063
,Energysystem,,,,,,38679.30002280024,20168696435.4569,10191077191.718624,89164293962.22063
,,Generation,,,,,13301.575917891943,2979535509.832356,304296424.33088875,6260975866.221958
,,,Electricity_generation,,hour * terawatt,144.73754433065372,630.3415649442845,178870619.91393042,283739061.9978358,2232885043.584682
,,,,wind_onshore__electricity___PRT_1,kilowatt hour,118664299447.41911,511.9412154700539,121078168.95241126,243093571.84635,1730718768.8215022
,,,,wind_offshore__electricity___PRT_1,kilowatt hour,316425.5354672,0.0019933440640897446,120.48463593693734,661.0139249961014,5383.371631983954
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2677316091.121754,2.077821159063042,474464.8288525252,1114640.9766516404,11693783.738886468
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,361595668.1761688,0.2806284744886538,64080.75129350119,150542.3099182103,1579350.8875002684
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,393949883.3512369,0.6883949093880585,43103.395773185955,132174.84364243114,20509772.158283778
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2157463092.005056,3.7699887027886945,236055.36840322125,723854.375630565,112321587.91467744
,,,,ccgt__electricity___PRT_1,kilowatt hour,8290.216210163524,0.0009299112384446966,5.193143968805929,32.65865081155609,4435.69495122226
,,,,ccgt__electricity___PRT_2,kilowatt hour,5119.348238305544,0.0005742358630233566,3.2068536579675597,20.167267308847713,2739.116394282492
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,103595.5400806,0.04394983472583442,40935.190719908656,166.17118248636112,164113.36845075098
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,74502.96534395104,0.031607470851575066,29439.424643403432,119.50558721145701,118025.66589884984
,,,,open_field_pv__electricity___PRT_1,kilowatt hour,40968.15959741788,0.0009577347193783181,932.2504410939506,121.70933902386199,2748.371348941634
,,,,chp_hydrogen__electricity___PRT_2,kilowatt hour,38394.1073860079,0.000341414642481176,70.51646401708963,154.07504686478663,1139.6602226822736
,,,,chp_hydrogen__electricity___PRT_1,kilowatt hour,36233.95748356239,0.00032220578822151193,66.54902896858165,145.40639365275518,1075.5400462169869
,,,,existing_wind__electricity___PRT_1,kilowatt hour,16232490219.171038,70.03016755293937,16562691.506326957,33253590.55494929,236750864.5615836
,,,,existing_pv__electricity___PRT_1,kilowatt hour,1772689502.4122288,41.44111670675588,40338413.71473319,5266354.890083815,118921842.8866326
,,,,roof_mounted_pv__electricity___PRT_1,kilowatt hour,1125501.5042175,0.02821674069539987,2050.272498225489,2795.149356799949,73482.23514584955
,,,,chp_wte_back_pressure__electricity___PRT_1,kilowatt hour,223120154.5862403,0.0,0.0,0.0,0.0
,,,,chp_wte_back_pressure__electricity___PRT_2,kilowatt hour,218364994.2106335,0.0,0.0,0.0,0.0
,,,,chp_methane_extraction__electricity___PRT_2,kilowatt hour,20286.75786249548,0.0013727565037603105,7.526640326931444,47.83113079554478,6548.952146574868
,,,,chp_methane_extraction__electricity___PRT_1,kilowatt hour,29058.50514785244,0.0019663197147487296,10.78106713592466,68.5127298839917,9380.639378540443
,,,,waste_supply__waste___PRT_1,kilowatt hour,1028185589.9815526,0.0,0.0,0.0,0.0
,,,,waste_supply__waste___PRT_2,kilowatt hour,1006271311.6216192,0.0,0.0,0.0,0.0
,,,Thermal_generation,,,,12671.234352947658,2800664889.9184256,20557362.333052963,4028090822.6372766
,,,,biofuel_supply__biofuel___PRT_1,kilogram,1046936969.42558,4600.232851846194,1016686021.137888,7462990.16652047,1461981186.6094694
,,,,biofuel_supply__biofuel___PRT_2,kilogram,1836753511.8247776,8070.680559172406,1783681037.4367206,13093121.931958796,2564909977.491702
,,,,biofuel_boiler__heat___PRT_2,megajoule,362127.72277008,0.007241019927789228,6744.337429105441,27.37777687199438,27038.73878184674
,,,,biofuel_boiler__heat___PRT_1,megajoule,15629159.2945716,0.31251695683743097,291080.5149356348,1181.6041936277359,1166971.5654828302
,,,,methane_boiler__heat___PRT_2,megajoule,78859.97404016757,0.0002730590453365367,1.4971461377654829,9.51423170081771,1302.6714022211527
,,,,methane_boiler__heat___PRT_1,megajoule,263067.7105178181,0.0009108932481086828,4.9943058897379675,31.738371494100075,4345.560438364658
,,Storage,,,,,16704.557382774427,13659853343.54304,8872386863.20152,64688403629.133606
,,,Electricity_storage,,,,50.80272568198484,8555876.753874347,25629384.053993195,403808348.29913306
,,,,battery__electricity___PRT_1,kilogram,586677.0148145921,5.07853134914953,308601.71578686923,4428114.272650151,9798426.164528042
,,,,battery__electricity___PRT_2,kilogram,619018.917243168,5.358496920145424,325614.0864954017,4672224.125491589,10338586.653427497
,,,,pumped_hydro__electricity___PRT_1,kilowatt hour,4748910806.272873,36.72403528435059,7206994.430186416,15037848.836751845,349057753.6110002
,,,,pumped_hydro__electricity___PRT_2,kilowatt hour,470915804.8656006,3.6416621283392923,714666.5214056597,1491196.819099614,34613581.870177336
,,,Thermal_storage,,millinit,530.3024690996366,16653.754657092442,13651297466.789165,8846757479.147528,64284595280.83447
,,,,heat_storage_big__heat___PRT_1,unit,7555.657270389048,1.7752967306865688,711853.7913249512,1635138.7187071824,8452482.842676476
,,,,heat_storage_big__heat___PRT_2,unit,10835.120082480804,2.5458477760482623,1020827.3156907158,2344855.4817221584,12121204.458610792
