lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,ozone depletion potential (ODPinfinite) (kg CFC-11-Eq),agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq)
root,,,,,,,168663.3952807566,53314141809.42621,114863835010.35446,670113091023.1191
,Energysystem,,,,,,168663.3952807566,53314141809.42621,114863835010.35446,670113091023.1191
,,Generation,,,,,20842.846612714136,5267699199.307401,318695971.715103,10867647099.65767
,,,Electricity_generation,,hour * terawatt,137.3801359064392,951.1752369991112,571355763.8423223,285511091.2137405,3102250641.7973948
,,,,wind_onshore__electricity___PRT_1,kilowatt hour,93183090471.59312,402.0154679359165,95084563.12739523,190893463.76082256,1359089855.5868826
,,,,wind_offshore__electricity___PRT_1,kilowatt hour,7256953.3229358,0.04571612389162821,2763.732394814039,15159.819221029322,123464.36400403254
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2678957676.9981256,2.0792147489100934,474891.9016143715,1115329.9849577884,11701286.252891557
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,341336106.1551799,0.2649205966757831,60507.76910824463,142108.40186548143,1490905.034029902
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,394120288.9956185,0.6887275658998829,43161.76205699072,132233.6418989379,20518740.80472388
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2160591715.0223284,3.775646964496489,236615.4396803391,724912.9747870271,112485001.71934947
,,,,ccgt__electricity___PRT_1,kilowatt hour,2055573.9863425,0.2305735365970476,1288.0777310184465,8097.7885997607045,1099839.5694113057
,,,,ccgt__electricity___PRT_2,kilowatt hour,3139621.882771,0.3521710850120129,1967.3711398962791,12368.31874866808,1679861.879277272
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,7075037.2885047,3.001550100832827,2795666.22192121,11348.846391652629,11208103.621110024
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,3057185.8789296,1.2969962148572414,1208031.9788197293,4903.936405485826,4843120.2158761015
,,,,open_field_pv__electricity___PRT_1,kilowatt hour,18230683171.31677,426.1950354831075,414855530.2688688,54160521.36685095,1223033521.9839616
,,,,chp_hydrogen__electricity___PRT_2,kilowatt hour,1539028.0854121,0.022012902195380817,12308.127181244923,6564.015018046896,68838.63334517922
,,,,chp_hydrogen__electricity___PRT_1,kilowatt hour,1539156.7122255,0.022014741964393438,12309.155818362293,6564.563619363034,68844.38666300046
,,,,existing_wind__electricity___PRT_1,kilowatt hour,16111636970.137976,69.50968510571819,16440407.302128348,33006054.773930404,234990729.03124017
,,,,existing_pv__electricity___PRT_1,kilowatt hour,1762309482.0644655,41.19908975338677,40102931.32619938,5235547.097228468,118227251.95870653
,,,,roof_mounted_pv__electricity___PRT_1,kilowatt hour,11995546.271541,0.30073721659227803,21856.744292006646,29790.786495844866,783182.7600261692
,,,,chp_wte_back_pressure__electricity___PRT_1,kilowatt hour,223390963.7121136,0.0,0.0,0.0,0.0
,,,,chp_wte_back_pressure__electricity___PRT_2,kilowatt hour,218647322.7618819,0.0,0.0,0.0,0.0
,,,,chp_methane_extraction__electricity___PRT_2,kilowatt hour,981320.2938027,0.0664037107655386,364.2047119709072,2313.7142721390633,316789.19649741834
,,,,chp_methane_extraction__electricity___PRT_1,kilowatt hour,1614849.8262135,0.10927321229159143,599.3312604204089,3807.4226269226765,521304.79939899355
,,,,waste_supply__waste___PRT_1,kilowatt hour,1028515871.2525196,0.0,0.0,0.0,0.0
,,,,waste_supply__waste___PRT_2,kilowatt hour,1006601592.8803936,0.0,0.0,0.0,0.0
,,,Thermal_generation,,,,19891.671375715025,4696343435.465078,33184880.50136244,7765396457.860273
,,,,biofuel_supply__biofuel___PRT_1,kilogram,2593549767.117483,11396.03971641213,2518612535.110368,18487980.444585387,3621734515.8168464
,,,,biofuel_supply__biofuel___PRT_2,kilogram,1837295022.339512,8073.061604905907,1784208782.7980485,13097059.032127185,2565670758.3890405
,,,,biofuel_boiler__heat___PRT_2,megajoule,8880344.84964528,0.17756954279722048,165389.59160617372,671.389539227655,663063.3007414165
,,,,biofuel_boiler__heat___PRT_1,megajoule,21120676684.54161,422.3246918831357,393356356.1406194,1596807.51454324,1577004703.4721944
,,,,methane_boiler__heat___PRT_2,megajoule,2739043.49629176,0.00948417527249858,52.017903145133445,330.4585289463314,45245.728900928865
,,,,methane_boiler__heat___PRT_1,megajoule,16839664.3121166,0.05830879578343219,319.8065330014997,2031.6620384566029,278171.15254979057
,,Storage,,,,,140539.07571545104,43800819118.91236,113535982122.54262,638816981014.2534
,,,Electricity_storage,,,,637.2161618266476,64890837.0135718,522791854.4750188,1516100161.0173135
,,,,battery__electricity___PRT_1,kilogram,26065939.764959745,225.6401974829534,13713489.114608968,196740308.66214988,435347877.4827996
,,,,battery__electricity___PRT_2,kilogram,41143840.455835104,356.16227035977107,21646087.498881266,310545176.72672224,687175823.1530555
,,,,pumped_hydro__electricity___PRT_1,kilowatt hour,3934226863.592855,47.33561086103174,25226259.968449127,13245885.631499056,336201773.1228028
,,,,pumped_hydro__electricity___PRT_2,kilowatt hour,671397517.6485028,8.078083122891329,4305000.431632446,2260483.4546476053,57374687.2586556
,,,Thermal_storage,,nit,632.9853838253969,139901.85955362438,43735928281.89879,113013190268.0676,637300880853.2361
,,,,heat_storage_big__heat___PRT_1,unit,305135.43447173183,71.69666587399661,28749666.64250884,66035182.35806637,341357255.376847
,,,,heat_storage_big__heat___PRT_2,unit,396930.2512474658,93.26539098825432,37398515.777029574,85900746.23847416,444048792.23896575
,,,,heat_storage_small__heat___PRT_2,unit,438445221.4187488,85474.14287119747,20876768075.93716,72215916697.36583,397340459730.6706
,,,,heat_storage_small__heat___PRT_1,unit,193832349.173249,37787.28355907286,9229415160.899565,31925951287.49527,175660335591.566
,,,,methane_storage__methane___PRT_2,unit,2849.4041564675395,8167.8793028022765,6724288583.906018,4322722855.800868,31488036602.034145
,,,,methane_storage__methane___PRT_1,unit,2898.14352345539,8307.59176368954,6839308278.736505,4396663498.80908,32026642881.349483
,,Conversions,,,,,5726.6179371670505,4173476806.306518,979257527.6148361,17053852717.80907
,,,Conversions,,,,5726.6179371670505,4173476806.306518,979257527.6148361,17053852717.80907
,,,,biofuel_to_diesel__diesel___PRT_1,kilogram,706676.6654841271,11.809184958127311,3302113.5132376766,14512.933767119684,2692742.102148045
,,,,biofuel_to_diesel__diesel___PRT_2,kilogram,134700487.66563836,2250.9629233386217,629419821.5056059,2766327.7299594083,513266805.07885253
,,,,biofuel_to_methane__methane___PRT_2,cubic meter,82095747.09631746,12.003993828301656,3518342.013774636,253824.53889231684,116878028.6966042
,,,,biofuel_to_methane__methane___PRT_1,cubic meter,102844331.76899023,15.037840174380628,4407555.155522377,317975.24247547734,146417362.46917385
