lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,ozone depletion potential (ODPinfinite) (kg CFC-11-Eq),agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq)
,,,,biofuel_to_diesel__diesel___PRT_1,kilogram,144957715.59416524,2422.3709499599317,677350017.1815177,2977018.242061195,552353401.4340973
,,,,biofuel_to_diesel__diesel___PRT_2,kilogram,136205592.76119226,2276.1152779921936,636453604.536128,2797274.588928421,519003918.8147237
,,,,biofuel_to_methane__methane___PRT_2,cubic meter,494863.5540906559,0.07235930324272219,21208.86668993868,1530.056347106984,704528.8196678375
,,,,biofuel_to_methane__methane___PRT_1,cubic meter,3198567.755735909,0.46769686768503904,137084.24591054645,9889.572298968023,4553746.476070834
,,,,biofuel_to_methanol__methanol___PRT_2,kilogram,12018132.586862288,2.077536052858241,18639103.69613503,103809.95075517397,67120699.47764552
,,,,biofuel_to_methanol__methanol___PRT_1,kilogram,29621636.48990566,5.1205973396900175,45940644.28586954,255865.0940992328,165435432.37725136
,,,,electrolysis__hydrogen___PRT_2,kg,14067485168.911873,9818.118022776673,7942659908.349905,1860414466.3158774,29074563798.610516
,,,,electrolysis__hydrogen___PRT_1,kg,3846516.675089164,2.684598863211754,2171786.4567232993,508698.9736538941,7949949.342750655
,,Imports,,,terahour * watt,9.12801162053399,1166.689921163916,55398955.759520754,22471241.704087,2532829501.427309
,,,Imports,,hour * terawatt,9.12801162053399,1166.689921163916,55398955.759520754,22471241.704087,2532829501.427309
,,,,el_import__electricity___ESP,kilowatt hour,9128011620.533989,1166.689921163916,55398955.759520754,22471241.704087,2532829501.427309
