lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,ozone depletion potential (ODPinfinite) (kg CFC-11-Eq),agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq)
root,,,,,,,142913.25471103837,50907463375.89736,102345796336.51543,605238832707.377
,Energysystem,,,,,,142913.25471103837,50907463375.89736,102345796336.51543,605238832707.377
,,Generation,,,,,3581.5582687195006,2069212892.769057,421002458.16268617,6905880005.759582
,,,Electricity_generation,,hour * terawatt,178.45084675679206,2124.3065039648595,1747124202.2348554,418635095.08570546,6442129289.504378
,,,,wind_onshore__electricity___PRT_1,kilowatt hour,82497592866.28598,355.9240884525167,84190724.26105016,169003764.68622437,1203263452.6880715
,,,,wind_offshore__electricity___PRT_1,kilowatt hour,19863899.2856482,0.12513753586243184,7567.570998234861,41495.92649189259,337955.76482920744
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2229151675.9228377,1.7302920664762034,395364.95594860904,928072.0007328481,9737101.460941354
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,341345528.5937721,0.26495615638841036,60541.44344390285,142113.80548277686,1491022.832170691
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,393590572.846999,0.6878664713658338,43176.92954286502,132059.2995270335,20491337.901781537
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2156646896.169428,3.7691072723851122,236584.40360651078,723607.977685462,112280586.30740008
,,,,ccgt__electricity___PRT_1,kilowatt hour,506160.4878668,0.05677614506905862,317.3683420879191,1993.9925119732254,270822.79438095697
,,,,ccgt__electricity___PRT_2,kilowatt hour,9246093.6434712,1.0371365734465925,5797.40473664547,36424.497622889045,4947152.094180394
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,1301441.1332649,0.5521316543932625,514259.8754121293,2087.684649730484,2061716.0143483363
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,1416715.8022075,0.6010365122821074,559810.2544245309,2272.600548642346,2244331.7508064113
,,,,open_field_pv__electricity___PRT_1,kilowatt hour,70544431101.87482,1649.2273794280125,1605354907.8530598,209578981.79447445,4732709383.562728
,,,,chp_hydrogen__electricity___PRT_2,kilowatt hour,4072980.322752501,0.0991110990734289,78862.1527866304,19513.139550164007,293030.963868483
,,,,chp_hydrogen__electricity___PRT_1,kilowatt hour,3787260.8183857,0.09215845705067374,73329.97400228388,18144.293120736933,272474.8463937382
,,,,existing_wind__electricity___PRT_1,kilowatt hour,16025722829.086088,69.1406935832552,16354625.262817975,32830139.593420815,233742172.50594464
,,,,existing_pv__electricity___PRT_1,kilowatt hour,1723130246.890371,40.28430787666743,39212671.421982825,5119211.779053159,115601962.63802409
,,,,roof_mounted_pv__electricity___PRT_1,kilowatt hour,18834480.8914539,0.47220722136746734,34332.338833430316,46775.867528888,1229728.0029939301
,,,,chp_wte_back_pressure__electricity___PRT_1,kilowatt hour,223420878.5611812,0.0,0.0,0.0,0.0
,,,,chp_wte_back_pressure__electricity___PRT_2,kilowatt hour,218677601.628577,0.0,0.0,0.0,0.0
,,,,chp_methane_extraction__electricity___PRT_2,kilowatt hour,1831404.3153837,0.1239273344372467,680.1251163199809,4318.024907618761,591213.7939877604
,,,,chp_methane_extraction__electricity___PRT_1,kilowatt hour,1746619.5458292,0.1181901248099674,648.6387505428147,4118.122172071434,563843.5815273471
,,,,waste_supply__waste___PRT_1,kilowatt hour,1028221890.529046,0.0,0.0,0.0,0.0
,,,,waste_supply__waste___PRT_2,kilowatt hour,1006307612.1566814,0.0,0.0,0.0,0.0
,,,Thermal_generation,,,,1457.251764754641,322088690.5342016,2367363.076980684,463750716.25520307
,,,,biofuel_supply__biofuel___PRT_1,kilogram,173128528.4283282,760.7258437117471,168126532.9000698,1234152.5673396748,241764244.02363127
,,,,biofuel_supply__biofuel___PRT_2,kilogram,158482427.16673842,696.370951767604,153903583.94830412,1129747.3385112314,221311788.0799442
,,,,biofuel_boiler__heat___PRT_2,megajoule,1844318.67905808,0.03687872213146147,34349.13728946816,139.4434401288466,137708.90851463337
,,,,biofuel_boiler__heat___PRT_1,megajoule,1273401.0452358,0.02546273799772409,23716.19819516977,96.27805889783198,95080.45980989219
,,,,methane_boiler__heat___PRT_2,megajoule,15593494.46233248,0.0539939871907561,296.324181340377,1881.32337628873,257586.35489742277
,,,,methane_boiler__heat___PRT_1,megajoule,11157471.6711912,0.03863382797015029,212.02616177102286,1346.126254462718,184308.428405634
,,Storage,,,,,124553.61879338558,39974328833.40061,100004439306.527,566212668717.5989
,,,Electricity_storage,,,,166.87414326392917,125748173.45761743,34534816.83160558,878557247.931276
,,,,battery__electricity___PRT_1,kilogram,250164.1961910432,2.1655872639123737,131655.38633974543,1888189.4300531957,4178290.9340667096
,,,,battery__electricity___PRT_2,kilogram,250430.52460339028,2.167892779417167,131795.54787528512,1890199.6237825463,4182739.203057198
,,,,pumped_hydro__electricity___PRT_1,kilowatt hour,7096962849.826504,141.9440023690689,109583678.32260562,26859066.34590705,759927587.0585275
,,,,pumped_hydro__electricity___PRT_2,kilowatt hour,1029798613.9187136,20.59666085153073,15901044.20079679,3897361.431862792,110268630.73562457
,,,Thermal_storage,,nit,554.3195909302694,124386.74465012165,39848580659.94299,99969904489.69539,565334111469.6676
,,,,heat_storage_big__heat___PRT_1,unit,417908.44088649534,98.19775784008563,39378682.89252136,90440860.11297816,467525905.1881289
,,,,heat_storage_big__heat___PRT_2,unit,630858.7171409727,148.23560731399866,59444564.79693097,136526088.98405567,705759357.5977659
,,,,heat_storage_small__heat___PRT_2,unit,282263814.8231782,55028.61874663169,13442128152.578527,46491511117.46056,255806056307.96954
,,,,heat_storage_small__heat___PRT_1,unit,271001330.2640183,52832.945989090724,12905779752.950027,44636473742.67249,245599251159.35986
,,,,methane_storage__methane___PRT_2,unit,2857.4816089905407,8191.371507589469,6743733493.200351,4334994571.74717,31578215594.90003
,,,,methane_storage__methane___PRT_1,unit,2821.203436449902,8087.375041655669,6658116013.524635,4279958108.718125,31177303144.652336
