lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,ozone depletion potential (ODPinfinite) (kg CFC-11-Eq),agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq)
root,,,,,,,52247.41697510188,30473121661.78891,11248929297.089397,115514320237.63138
,Energysystem,,,,,,52247.41697510188,30473121661.78891,11248929297.089397,115514320237.63138
,,Generation,,,,,21577.898656826328,6983467147.839167,478441180.65296614,16105854330.072649
,,,Electricity_generation,,hour * terawatt,179.96021408973286,2647.5272731852947,2340978706.11262,446335406.9385398,7883638271.179712
,,,,wind_onshore__electricity___PRT_1,kilowatt hour,56174682624.34041,242.36098834654635,57331402.514434,115079066.89559709,819341473.3828495
,,,,wind_offshore__electricity___PRT_1,kilowatt hour,837010.6299273,0.005273010795634288,318.9407057740345,1748.5280212983846,14240.688933639265
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2519490705.965859,1.9557757683471042,446996.5307608544,1048955.7626566722,11005651.987577591
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,376776210.3658962,0.2924756898539091,66845.91387024175,156865.66183625124,1645835.739176898
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,393940793.2945773,0.6885155475084251,43257.7360220529,132178.57582150618,20509672.949038066
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2157392847.8847084,3.770613612881938,236898.36411232225,723867.9491581029,112319979.26065344
,,,,ccgt__electricity___PRT_1,kilowatt hour,20144.59333359496,0.0022596278484929132,12.635370018699863,79.35874861668178,10778.440101060029
,,,,ccgt__electricity___PRT_2,kilowatt hour,13881.400346505445,0.001557082750847147,8.706883216847395,54.68517248502322,7427.295239240883
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,230631.7864539,0.09784485599589351,91133.52252036922,369.97178517936044,365362.5305113904
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,196206.5651625,0.0832400572746471,77530.49005009753,314.747998509331,310826.7435853261
,,,,open_field_pv__electricity___PRT_1,kilowatt hour,97803480913.9052,2286.5420185265502,2225722213.132972,290564105.5052377,6561576341.829574
,,,,chp_hydrogen__electricity___PRT_2,kilowatt hour,137776.9636955,0.004143767244167756,3573.8283591159766,697.8845252301392,12085.893344609913
,,,,chp_hydrogen__electricity___PRT_1,kilowatt hour,157407.2578616,0.004734166159288109,4083.023079864724,797.3182631663931,13807.876723223284
,,,,existing_wind__electricity___PRT_1,kilowatt hour,16283700022.52275,70.25466717297653,16619005.507799871,33358675.41427249,237507541.56517974
,,,,existing_pv__electricity___PRT_1,kilowatt hour,1772374350.813805,41.43623915861673,40334075.31673951,5265542.32070323,118907522.51855697
,,,,roof_mounted_pv__electricity___PRT_1,kilowatt hour,713150.1408061,0.017879966893901686,1300.281325523378,1771.138135194124,46563.27523758774
,,,,chp_wte_back_pressure__electricity___PRT_1,kilowatt hour,223122192.2250479,0.0,0.0,0.0,0.0
,,,,chp_wte_back_pressure__electricity___PRT_2,kilowatt hour,218367307.02953592,0.0,0.0,0.0,0.0
,,,,chp_methane_extraction__electricity___PRT_2,kilowatt hour,56268.777372518445,0.003807598104557192,20.903938853062282,132.66898757474263,18164.70020563224
,,,,chp_methane_extraction__electricity___PRT_1,kilowatt hour,77425.4527472336,0.005239228945327459,28.763676077344066,182.55161950183722,24994.503224210166
,,,,waste_supply__waste___PRT_1,kilowatt hour,1028180248.0947118,0.0,0.0,0.0,0.0
,,,,waste_supply__waste___PRT_2,kilowatt hour,1006265969.7225946,0.0,0.0,0.0,0.0
,,,Thermal_generation,,,,18930.371383641035,4642488441.726546,32105773.714426324,8222216058.892937
,,,,biofuel_supply__biofuel___PRT_1,kilogram,2324535827.3871613,10214.000423661832,2257378335.268255,16570638.279813053,3246089524.4183793
,,,,biofuel_supply__biofuel___PRT_2,kilogram,1836743801.9986584,8070.644362868582,1783678968.0841587,13093374.05148508,2564914140.6315746
