lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,ozone depletion potential (ODPinfinite) (kg CFC-11-Eq),agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq)
root,,,,,,,157430.6621548397,51197028643.55193,105105558037.04065,619574643845.9049
,Energysystem,,,,,,157430.6621548397,51197028643.55193,105105558037.04065,619574643845.9049
,,Generation,,,,,19980.308597219,5170958270.83059,317119546.7472577,10625115241.27138
,,,Electricity_generation,,hour * terawatt,133.15902745024812,1120.3193752735615,779775030.2193753,285842458.26824874,3558573489.40601
,,,,wind_onshore__electricity___PRT_1,kilowatt hour,79072039907.34663,341.1394395624804,80688553.05425769,161985902.37833688,1153285266.3883548
,,,,wind_offshore__electricity___PRT_1,kilowatt hour,6993296.612159899,0.04405544378805296,2663.617717860126,14609.050904308573,118979.42769455702
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2677100465.74592,2.077844013405685,474643.2921222962,1114560.0772089337,11693370.577207612
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,368314770.3084334,0.2858692269177402,65301.297830876574,153340.8790897552,1608770.8150509943
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,393819332.3633969,0.6882222664384406,43152.31952837977,132133.6301742173,20503129.639470596
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2157495564.4826803,3.7703494093614345,236405.19981954066,723879.4481834456,112324123.32201748
,,,,ccgt__electricity___PRT_1,kilowatt hour,6562219.1879639,0.7360842067126402,4112.872707814763,25851.43245348494,3511132.380343822
,,,,ccgt__electricity___PRT_2,kilowatt hour,5394146.749303,0.6050615068955427,3380.7828881371806,21249.887575575787,2886152.19514504
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,8550887.4062228,3.6276756655878257,3378844.95573706,13716.367718396708,13546119.10433069
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,3115566.7733261,1.3217652427376627,1231102.2910611054,4997.640301372709,4935609.204519931
,,,,open_field_pv__electricity___PRT_1,kilowatt hour,27987589853.35573,654.2969375922924,636889459.1044865,83147049.79189286,1877607168.757182
,,,,chp_hydrogen__electricity___PRT_2,kilowatt hour,1075668.9955783,0.018828775148757068,12528.766441125867,4748.722349080654,57676.13284230021
,,,,chp_hydrogen__electricity___PRT_1,kilowatt hour,1129856.0794945,0.019777279213752257,13159.905990943305,4987.9403740971775,60581.581865512875
,,,,existing_wind__electricity___PRT_1,kilowatt hour,16213108972.316008,69.9479982411821,16544562.44910903,33213953.886933606,236472205.87603194
,,,,existing_pv__electricity___PRT_1,kilowatt hour,1764885807.919985,41.25969350603374,40161985.13763578,5243218.473484435,118401129.2987625
,,,,roof_mounted_pv__electricity___PRT_1,kilowatt hour,13380474.4839342,0.33546130583966965,24383.505974182495,33230.37432678343,873612.0724055344
,,,,chp_wte_back_pressure__electricity___PRT_1,kilowatt hour,223267827.7147683,0.0,0.0,0.0,0.0
,,,,chp_wte_back_pressure__electricity___PRT_2,kilowatt hour,218522640.4752258,0.0,0.0,0.0,0.0
,,,,chp_methane_extraction__electricity___PRT_2,kilowatt hour,588678.3744372,0.03983456398637205,218.52422928287044,1387.9620345845558,190036.886656396
,,,,chp_methane_extraction__electricity___PRT_1,kilowatt hour,1543976.3467907,0.10447746553896967,573.1418375751493,3640.324906920217,498425.7461292865
,,,,waste_supply__waste___PRT_1,kilowatt hour,1028230907.7911532,0.0,0.0,0.0,0.0
,,,,waste_supply__waste___PRT_2,kilowatt hour,1006316629.418984,0.0,0.0,0.0,0.0
,,,Thermal_generation,,,,18859.989221945438,4391183240.611215,31277088.479008965,7066541751.86537
,,,,biofuel_supply__biofuel___PRT_1,kilogram,2383948760.6849465,10475.055614378318,2315069122.1924953,16993910.22093176,3329042981.3882995
,,,,biofuel_supply__biofuel___PRT_2,kilogram,1836816146.7237527,8070.95840631125,1783744858.196209,13093691.104130093,2565004752.643988
,,,,biofuel_boiler__heat___PRT_2,megajoule,6824683.86402924,0.13646509573443952,127104.63044190868,515.9792356195833,509574.86302900367
,,,,biofuel_boiler__heat___PRT_1,megajoule,15691462231.495852,313.76352931458035,292241743.0227954,1186350.7305510768,1171625657.1944923
,,,,methane_boiler__heat___PRT_2,megajoule,2507581.6384395603,0.008682726883570413,47.6316498758808,302.5336427701875,41422.278459937144
,,,,methane_boiler__heat___PRT_1,megajoule,19212242.9675454,0.06652411867597703,364.9376231444808,2317.910517648973,317363.49710096343
,,Storage,,,,,128864.97129987684,40916605593.79607,103733784625.21973,585236220206.1884
,,,Electricity_storage,,,,442.6287188924892,63100437.38182056,346316983.068172,1130649290.0724115
,,,,battery__electricity___PRT_1,kilogram,17953816.855520416,155.41833521194252,9446610.020692622,135511726.74263054,299863259.81573313
,,,,battery__electricity___PRT_2,kilogram,25945476.90066134,224.59863875217542,13651514.995917581,195831137.42588413,433339347.4728198
,,,,pumped_hydro__electricity___PRT_1,kilowatt hour,3669410979.451355,53.481279579776356,34168906.38945042,12790492.267045865,339488336.962024
,,,,pumped_hydro__electricity___PRT_2,kilowatt hour,626451537.0749549,9.13046534859488,5833405.975759933,2183626.632611451,57958345.82183446
,,,Thermal_storage,,nit,574.898429446635,128422.34258098435,40853505156.414246,103387467642.15155,584105570916.116
,,,,heat_storage_big__heat___PRT_1,unit,678726.3855515074,159.47975238624986,63951054.516268276,146885085.00313517,759300793.899899
,,,,heat_storage_big__heat___PRT_2,unit,832960.6179766317,195.72003672019963,78483334.20340145,180263348.79642987,931844808.1339762
,,,,heat_storage_small__heat___PRT_2,unit,343408165.5810836,66947.52039858256,16352320341.496004,56562481182.00924,311215152714.8144
,,,,heat_storage_small__heat___PRT_1,unit,229972895.36828876,44833.28192728967,10950789276.276806,37878649578.75705,208413942722.1294
,,,,methane_storage__methane___PRT_2,unit,2829.8864357791163,8112.038158572018,6678350654.162193,4293118256.2936945,31272647948.474476
,,,,methane_storage__methane___PRT_1,unit,2851.607298874308,8174.302307433659,6729610495.759572,4326070191.291995,31512681928.663845
,,Conversions,,,,,6457.273760374999,5010036668.591591,1013713834.0484029,19094147900.612724
,,,Conversions,,,,6457.273760374999,5010036668.591591,1013713834.0484029,19094147900.612724
,,,,biofuel_to_diesel__diesel___PRT_1,kilogram,247940.363482378,4.143300647608712,1158560.3121723742,5091.939629584784,944760.5267900777
,,,,biofuel_to_diesel__diesel___PRT_2,kilogram,134890831.62352884,2254.143948860594,630309489.7618197,2770246.6896255,513992684.98829335
,,,,biofuel_to_methane__methane___PRT_2,cubic meter,82016589.73915894,11.992450104067307,3514984.514742098,253581.2305564003,116765419.03117664
,,,,biofuel_to_methane__methane___PRT_1,cubic meter,103118236.35048623,15.077928845684266,4419337.664179603,318823.90318883467,146807421.7120489
,,,,biofuel_to_methanol__methanol___PRT_2,kilogram,976783043.5369889,168.84886963333,1514902586.1010628,8437003.423670506,5455274595.9985485
,,,,biofuel_to_methanol__methanol___PRT_1,kilogram,120959951.09688488,20.90940372972499,187597997.27183324,1044796.5166638838,675554057.4934541
,,,,electrolysis__hydrogen___PRT_2,kg,704447.8876290106,0.33949824969953213,227471.32552933643,85330.23470984401,1038813.9953436367
,,,,electrolysis__hydrogen___PRT_1,kg,8262144312.497897,3981.8183603042903,2667906241.640252,1000798960.1103584,12183770146.86707
,,Imports,,,terahour * watt,16.661858480306368,2128.108497368853,99428110.33368789,40940031.025262296,4619160497.8325
