lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,ozone depletion potential (ODPinfinite) (kg CFC-11-Eq),agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq)
root,,,,,,,135098.80501281185,44698407962.23632,88956345898.70312,528542352156.58856
,Energysystem,,,,,,135098.80501281185,44698407962.23632,88956345898.70312,528542352156.58856
,,Generation,,,,,16824.283978755364,4088115484.5340185,296775612.4567331,8075733498.329227
,,,Electricity_generation,,hour * terawatt,130.04136592708988,927.8215138297625,573444908.7086269,270981325.86512524,3016723116.9059334
,,,,wind_onshore__electricity___PRT_1,kilowatt hour,85152013862.25278,367.3678172628339,86890124.32890242,174441137.6116932,1241956683.7750845
,,,,wind_offshore__electricity___PRT_1,kilowatt hour,5300782.9067857,0.03339300457703514,2018.782120632494,11073.368509047747,90183.6396000711
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2677455912.1111627,2.078060443132738,474638.6681793002,1114705.1415387029,11694760.064821186
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,353766577.08331,0.2745697236773704,62713.00147980834,147283.62868615874,1545203.870307307
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,393931800.6696758,0.688401465594898,43144.90738164641,132170.51369637062,20508937.4159349
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2157851513.6335006,3.77087643582935,236336.09376780823,723994.210495471,112342394.21790098
,,,,ccgt__electricity___PRT_1,kilowatt hour,177681.1349561,0.0199304789055177,111.34329674958325,699.9623925083836,95068.70727936651
,,,,ccgt__electricity___PRT_2,kilowatt hour,11511043.7660885,1.2911928719147534,7213.3571745467325,45346.95099317571,6159010.918281675
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,2925661.0893584,1.2411976457143477,1156060.8144047433,4692.967841743281,4634762.351448732
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,1097887.3884557,0.4657734440832944,433824.8859458267,1761.0892206904462,1739246.9526472643
,,,,open_field_pv__electricity___PRT_1,kilowatt hour,18774418401.81234,438.9070562532067,427229444.66942316,55775895.84420997,1259512716.0712388
,,,,chp_hydrogen__electricity___PRT_2,kilowatt hour,506876.9091932,0.007508225617015064,4351.535126379849,2170.7091330753783,23435.97537486456
,,,,chp_hydrogen__electricity___PRT_1,kilowatt hour,471023.8107476,0.006977143718577022,4043.736510163853,2017.16762096402,21778.27049305415
,,,,existing_wind__electricity___PRT_1,kilowatt hour,16259508664.997404,70.14772683581477,16591395.332226546,33308985.42314674,237147714.36553767
,,,,existing_pv__electricity___PRT_1,kilowatt hour,1771196721.4245307,41.40691457960314,40305237.43615779,5261951.7547507575,118823643.191083
,,,,roof_mounted_pv__electricity___PRT_1,kilowatt hour,2151187.1533077,0.05393192748854575,3919.7030660856617,5342.448475247927,140450.07212383347
,,,,chp_wte_back_pressure__electricity___PRT_1,kilowatt hour,223190300.6307404,0.0,0.0,0.0,0.0
,,,,chp_wte_back_pressure__electricity___PRT_2,kilowatt hour,218440481.9296706,0.0,0.0,0.0,0.0
,,,,chp_methane_extraction__electricity___PRT_2,kilowatt hour,256156.3095806,0.017333517096986658,95.07225425828894,603.9542868233132,82692.22565326508
,,,,chp_methane_extraction__electricity___PRT_1,kilowatt hour,633279.2341262001,0.04285257095350267,235.04120890272867,1493.1184345993202,204434.82112290894
,,,,waste_supply__waste___PRT_1,kilowatt hour,1028237194.6072316,0.0,0.0,0.0,0.0
,,,,waste_supply__waste___PRT_2,kilowatt hour,1006322916.23496,0.0,0.0,0.0,0.0
,,,Thermal_generation,,,,15896.462464925602,3514670575.825392,25794286.591607857,5059010381.423294
,,,,biofuel_supply__biofuel___PRT_1,kilogram,1780471098.774001,7823.377829086255,1729026886.447222,12691997.908115827,2486320051.175219
,,,,biofuel_supply__biofuel___PRT_2,kilogram,1836834838.8650532,8071.039717544369,1783762075.1525168,13093783.989443136,2565028600.5818534
,,,,biofuel_boiler__heat___PRT_2,megajoule,2008693.68693228,0.0401654302806257,37410.38152178109,151.8654676323145,149981.92565066478
,,,,biofuel_boiler__heat___PRT_1,megajoule,99014400.35352504,1.9798718042727932,1844067.3744947535,7485.8940961406915,7393048.790255666
