lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,ozone depletion potential (ODPinfinite) (kg CFC-11-Eq),agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq)
root,,,,,,,210247.7232884257,63367981372.55975,153944964573.8663,878720080350.568
,Energysystem,,,,,,210247.7232884257,63367981372.55975,153944964573.8663,878720080350.568
,,Generation,,,,,13662.14846116168,3329842083.2152023,308304822.486945,7107000582.275906
,,,Electricity_generation,,hour * terawatt,140.27473418936916,916.5076157236324,511327038.01266515,287615892.6371794,3047452794.890914
,,,,wind_onshore__electricity___PRT_1,kilowatt hour,99673722097.58536,430.01664671713644,101706347.42370103,204190011.2949703,1453754097.3876224
,,,,wind_offshore__electricity___PRT_1,kilowatt hour,72417127.37470931,0.4562002824526822,27578.22857469457,151279.7651144166,1232048.5799704487
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2677533370.999836,2.0780868024515335,474611.7215888493,1114735.6801155189,11695008.806026246
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,406814309.49120426,0.315736661507623,72110.71279532439,169368.72977842946,1776895.4753530354
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,394039996.4603451,0.6885806872463026,43144.88660059941,132206.31614363292,20514544.17666314
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2170543343.026688,3.7930013204959634,237660.7618542842,728249.776710678,113003014.15618415
,,,,ccgt__electricity___PRT_1,kilowatt hour,6362711.4750491,0.7137045157299604,3986.775801193864,25065.43977394746,3404382.7992606484
,,,,ccgt__electricity___PRT_2,kilowatt hour,14840931.1794757,1.6647053135726897,9299.095986855273,58464.77055931159,7940672.939932812
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,43538492.5498975,18.470987933450367,17204014.741937883,69838.41776573057,68972617.42238495
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,31298383.0846172,13.278182647915084,12367397.501586556,50204.52994996609,49582134.70437027
,,,,open_field_pv__electricity___PRT_1,kilowatt hour,14158483242.13486,330.9946079840597,322187795.2438176,42062593.10704754,949841310.9245005
,,,,chp_hydrogen__electricity___PRT_2,kilowatt hour,13502224.712458,0.1793690848196898,91051.89223287941,56778.34396801289,569527.2726805729
,,,,chp_hydrogen__electricity___PRT_1,kilowatt hour,13066933.9153762,0.17358650351839572,88116.51998324708,54947.898148516426,551166.5960941714
