lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,ozone depletion potential (ODPinfinite) (kg CFC-11-Eq),agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq)
root,,,,,,,279075.27354393614,57228473208.391945,212252893791.54517,803527359681.2198
,Energysystem,,,,,,279075.27354393614,57228473208.391945,212252893791.54517,803527359681.2198
,,Generation,,,,,14493.313325860627,4280183940.0927806,340959365.52455646,9311402758.65526
,,,Electricity_generation,,hour * terawatt,136.2039576337249,1723.6874668886544,1454695134.2358932,320227285.4775658,5236382971.825987
,,,,wind_onshore__electricity___PRT_1,kilowatt hour,51687394780.47557,222.99901868111712,52749515.79421754,105886322.9076946,753886641.4474509
,,,,wind_offshore__electricity___PRT_1,kilowatt hour,23611901.5791438,0.14874958090729629,8996.12729016185,49325.56395755116,401724.3884611864
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2678696508.5071945,2.0792804689666053,475151.2646209948,1115234.1010830363,11700887.205412356
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,349210116.5459034,0.27106683140505605,61943.421937262974,145388.26222509137,1525394.2249790397
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,393942194.9548105,0.6884946263776226,43231.39979441428,132177.63554018553,20509685.15527608
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2161514020.988909,3.777688217368351,237205.55361170613,725242.9825900776,112534205.77088308
,,,,ccgt__electricity___PRT_1,kilowatt hour,1606796.9512296,0.18023491997370938,1007.6139059253131,6329.894758157653,859722.2134461402
,,,,ccgt__electricity___PRT_2,kilowatt hour,886211.7110195,0.0994066466602196,555.7386668827986,3491.1858951632576,474170.6119685603
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,22088882.9522384,9.371133740523826,8728350.874665042,35433.65563397045,34992766.73863567
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,11319880.1439323,4.8024207917099755,4473014.138728364,18158.669938195282,17932727.79987961
,,,,open_field_pv__electricity___PRT_1,kilowatt hour,58575837097.49154,1369.427077453097,1332999389.259754,174021950.894064,3929780830.9438176
,,,,chp_hydrogen__electricity___PRT_2,kilowatt hour,5118517.1517554,0.13538252145371,111731.72736027736,24806.613311343983,400736.9267155745
,,,,chp_hydrogen__electricity___PRT_1,kilowatt hour,5019594.3444687,0.13276605677956116,109572.34870345685,24327.189327342283,392992.1011303942
,,,,existing_wind__electricity___PRT_1,kilowatt hour,16111909279.151682,69.51288556218384,16442991.891902812,33006709.58275174,235000297.9546207
,,,,existing_pv__electricity___PRT_1,kilowatt hour,1680104897.021878,39.27867279324836,38233833.44237676,4991394.854494129,112716170.10441588
,,,,roof_mounted_pv__electricity___PRT_1,kilowatt hour,8511248.0011788,0.21339031704868452,15516.114343756011,21137.912825750107,555714.2402335549
,,,,chp_wte_back_pressure__electricity___PRT_1,kilowatt hour,223939365.84596792,0.0,0.0,0.0,0.0
,,,,chp_wte_back_pressure__electricity___PRT_2,kilowatt hour,219216264.6567094,0.0,0.0,0.0,0.0
,,,,chp_methane_extraction__electricity___PRT_2,kilowatt hour,2979633.7698268,0.20162576986276065,1106.6900824664012,7025.285948021227,961885.5180474593
,,,,chp_methane_extraction__electricity___PRT_1,kilowatt hour,5440859.3545934,0.3681719099708364,2020.8339315524463,12828.285527331815,1756418.480614175
,,,,waste_supply__waste___PRT_1,kilowatt hour,1028761930.2487688,0.0,0.0,0.0,0.0
,,,,waste_supply__waste___PRT_2,kilowatt hour,1006847651.8766048,0.0,0.0,0.0,0.0
,,,Thermal_generation,,,,12769.625858971973,2825488805.8568873,20732080.04699065,4075019786.829273
,,,,biofuel_supply__biofuel___PRT_1,kilogram,1067676200.5264823,4691.363987502961,1036829546.8087482,7610975.753592133,1490950837.8945186
,,,,biofuel_supply__biofuel___PRT_2,kilogram,1837373779.6139145,8073.41137413605,1784289489.7303402,13097798.060135214,2565790990.5235734
,,,,biofuel_boiler__heat___PRT_2,megajoule,26899419.38373144,0.5378771187074535,500983.1349773735,2033.7935553694258,2008487.761477868
,,,,biofuel_boiler__heat___PRT_1,megajoule,207680640.44952023,4.15275374173501,3867908.702505243,15702.180857358038,15506804.020125132
,,,,methane_boiler__heat___PRT_2,megajoule,9746942.5104624,0.03374975533966322,185.24676584103864,1175.9493445166263,161008.19482385658
,,,,methane_boiler__heat___PRT_1,megajoule,36422557.1338914,0.12611671717960737,692.2335510223284,4394.309506064625,601658.4347550174
,,Storage,,,,,250894.9264145404,44501194008.62549,210679022923.08377,762539053243.1934
,,,Electricity_storage,,,,143893.87726643376,8834770557.225311,125380689549.16008,278006882023.7887
,,,,battery__electricity___PRT_1,kilogram,33542690.29957165,290.3688333880182,17653934.514852304,253173560.19904977,560239672.5894694
,,,,battery__electricity___PRT_2,kilogram,16575287861.066612,143487.2085737088,8723779906.236189,125106978646.74168,276845230984.754
,,,,pumped_hydro__electricity___PRT_1,kilowatt hour,4266871440.923515,92.51235024915022,74245996.99098307,16336716.204264315,478401085.7246034
,,,,pumped_hydro__electricity___PRT_2,kilowatt hour,1097131819.7393548,23.787509087761897,19090719.483285695,4200626.015081285,123010280.72055522
,,,Thermal_storage,,nit,464.73733211241523,107001.04914810664,35666423451.40018,85298333373.92369,484532171219.4047
,,,,heat_storage_big__heat___PRT_1,unit,965379.949897147,226.84106616155597,90967649.24038805,208920905.93856296,1080002315.741592
