lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,ozone depletion potential (ODPinfinite) (kg CFC-11-Eq),agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq)
root,,,,,,,202049.1740225455,61680326267.74427,145784678995.56012,836943444137.7972
,Energysystem,,,,,,202049.1740225455,61680326267.74427,145784678995.56012,836943444137.7972
,,Generation,,,,,17084.342438398504,4261717940.9064884,321276176.4735898,8616054696.031364
,,,Electricity_generation,,hour * terawatt,139.23191350513795,1092.7353751684213,722119619.1934369,295311692.0530713,3507412685.6366205
,,,,wind_onshore__electricity___PRT_1,kilowatt hour,88259968000.5839,380.7776391201151,90062955.0055871,180808112.27540603,1287290318.4064
,,,,wind_offshore__electricity___PRT_1,kilowatt hour,31738704.5400958,0.1999428216672802,12088.139356025162,66302.37826238287,539980.5305889684
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2677604756.220095,2.0782074883104413,474699.8194136793,1114768.7168300373,11695497.051198594
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,370389539.3561356,0.2874757047266975,65664.60096051425,154204.48837760708,1617822.703382764
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,393814317.603841,0.6882053560789888,43142.180315996964,132131.56492120307,20502846.326968968
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2159823917.718868,3.7743736625221604,236607.73024666778,724658.5546299797,112445220.75153966
,,,,ccgt__electricity___PRT_1,kilowatt hour,4541223.9014595,0.5093889463462477,2845.984761387077,17889.844799274986,2429793.0852423236
,,,,ccgt__electricity___PRT_2,kilowatt hour,13546825.724331,1.5195470279338197,8489.79438565269,53366.8049537899,7248262.624328591
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,21299380.4110783,9.036163408085242,8416351.138538834,34165.90570321465,33741979.451141775
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,6281020.8590494,2.664693984358286,2481916.189029421,10075.258633901445,9950246.094857855
,,,,open_field_pv__electricity___PRT_1,kilowatt hour,24761219777.87352,578.8684285213326,563467291.5310472,73561877.05048512,1661153583.0060606
,,,,chp_hydrogen__electricity___PRT_2,kilowatt hour,2494864.6912726,0.04051595639070425,25345.03508618716,10865.801681157247,125162.3433419243
,,,,chp_hydrogen__electricity___PRT_1,kilowatt hour,2466268.069358,0.040051554664624726,25054.52529090774,10741.255766904438,123727.70837561153
,,,,existing_wind__electricity___PRT_1,kilowatt hour,16259693563.296366,70.14876470157752,16591848.918929787,33309376.447056398,237151072.88593265
,,,,existing_pv__electricity___PRT_1,kilowatt hour,1765223294.5971122,41.267435275774545,40169490.76261322,5244214.143231466,118423366.33374596
,,,,roof_mounted_pv__electricity___PRT_1,kilowatt hour,18549389.0232972,0.4650493459436358,33801.04336085006,46067.28544921953,1211086.4918865152
,,,,chp_wte_back_pressure__electricity___PRT_1,kilowatt hour,223691377.2141838,0.0,0.0,0.0,0.0
,,,,chp_wte_back_pressure__electricity___PRT_2,kilowatt hour,218963807.0064567,0.0,0.0,0.0,0.0
,,,,chp_methane_extraction__electricity___PRT_2,kilowatt hour,1565637.5556646,0.10594319147640623,581.1354378234099,3691.3949422098913,505418.29814613983
,,,,chp_methane_extraction__electricity___PRT_1,kilowatt hour,3894751.1840429,0.2635491011170802,1445.6590756585845,9182.881941409643,1257301.5434822903
,,,,waste_supply__waste___PRT_1,kilowatt hour,1028528683.0399678,0.0,0.0,0.0,0.0
,,,,waste_supply__waste___PRT_2,kilowatt hour,1006614404.667852,0.0,0.0,0.0,0.0
,,,Thermal_generation,,,,15991.607063230083,3539598321.713052,25964484.42051844,5108642010.394744
,,,,biofuel_supply__biofuel___PRT_1,kilogram,1800386674.9594517,7910.887161764409,1748367500.7756026,12833986.86973777,2514132124.0637007
,,,,biofuel_supply__biofuel___PRT_2,kilogram,1837288621.047463,8073.0340692055925,1784203226.994711,13097040.971293539,2565663480.855673
,,,,biofuel_boiler__heat___PRT_2,megajoule,10571430.68066952,0.2113842638811562,196884.8958523947,799.2478720987255,789330.9075595901
,,,,biofuel_boiler__heat___PRT_1,megajoule,366722696.9680524,7.332915448128818,6829932.691286252,27725.891041922492,27381871.760253973
,,,,methane_boiler__heat___PRT_2,megajoule,4624351.79473764,0.016012227797970454,87.8326720797057,557.9165418701159,76388.79757029178
,,,,methane_boiler__heat___PRT_1,megajoule,36250428.46308336,0.12552032027413315,688.5229278735466,4373.524031235616,598814.0099873483
,,Storage,,,,,177053.57155582253,52671632633.248604,144430318034.71802,806245124580.1879
,,,Electricity_storage,,,,1523.7384493664313,132070482.07096428,1283232084.4519506,3283426308.95814
,,,,battery__electricity___PRT_1,kilogram,73764399.95740068,638.5447470030106,38810372.881740406,556758494.6386287,1232003530.7607522
,,,,battery__electricity___PRT_2,kilogram,93788831.36846662,811.8871112992381,49346019.42754417,707898777.6879797,1566449011.438082
,,,,pumped_hydro__electricity___PRT_1,kilowatt hour,4853599488.322329,65.86481354906347,39456115.648160465,16689175.142151188,435741265.0088699
,,,,pumped_hydro__electricity___PRT_2,kilowatt hour,548387000.48141,7.4417775151191,4457974.113519259,1885636.9831910352,49232501.75043536
,,,Thermal_storage,,nit,815.1247154769303,175529.8331064561,52539562151.17764,143147085950.26605,802961698271.2297
,,,,heat_storage_big__heat___PRT_1,unit,1194631.1578098324,280.700301097909,112559353.63905065,258533432.96449688,1336447611.2637632
,,,,heat_storage_big__heat___PRT_2,unit,1827071.8608048211,429.30373788601247,172148555.6752748,395401674.6967668,2043966297.0299783
,,,,heat_storage_small__heat___PRT_2,unit,421295534.97228414,82131.3518301755,20060748186.715237,69391231122.76654,381800011701.7992
,,,,heat_storage_small__heat___PRT_1,unit,390801720.7716506,76186.59814916004,18608730029.77637,64368620785.74858,354164925044.14996
,,,,methane_storage__methane___PRT_2,unit,2854.288865272553,8181.94661408433,6735888738.293835,4330136299.137286,31542199358.308357
,,,,methane_storage__methane___PRT_1,unit,2902.425515682849,8319.932474052295,6849487287.077864,4403162634.95235,32074148258.67844
,,Conversions,,,,,6164.434059224287,4665590161.067934,999485381.3091114,18290809093.718185
,,,Conversions,,,,6164.434059224287,4665590161.067934,999485381.3091114,18290809093.718185
,,,,biofuel_to_diesel__diesel___PRT_1,kilogram,331915.3161442853,5.54659545558086,1550953.006822942,6816.519638068723,1264741.0263716727
,,,,biofuel_to_diesel__diesel___PRT_2,kilogram,134789012.54165342,2252.442379311948,629833617.6812282,2768151.7134650545,513604482.15270925
,,,,biofuel_to_methane__methane___PRT_2,cubic meter,82145088.02148628,12.01122698401715,3520477.30507892,253977.95612292574,116948326.46892752
,,,,biofuel_to_methane__methane___PRT_1,cubic meter,103250046.31524536,15.097186846745693,4424968.7184539735,319230.72169185226,146995035.43350977
,,,,biofuel_to_methanol__methanol___PRT_2,kilogram,975902018.6015096,168.69584522874086,1513535338.1003025,8429359.312977461,5450352136.610828
,,,,biofuel_to_methanol__methanol___PRT_1,kilogram,120979995.0577837,20.912778263586933,187628977.32305622,1044965.4048733336,675665755.3541704
,,,,electrolysis__hydrogen___PRT_2,kg,169423.82773183603,0.07570027763971117,47702.81101967847,20242.861526538472,233600.344380728
,,,,electrolysis__hydrogen___PRT_1,kg,8257763948.742496,3689.652346856028,2325048126.1219716,986642636.8188161,11385745016.327288
,,Imports,,,terahour * watt,13.678219715051805,1746.8259691001779,81385532.52124743,33599403.05937736,3791455767.859827
,,,Imports,,hour * terawatt,13.678219715051805,1746.8259691001779,81385532.52124743,33599403.05937736,3791455767.859827
,,,,el_import__electricity___ESP,kilowatt hour,13678219715.051804,1746.8259691001779,81385532.52124743,33599403.05937736,3791455767.859827
