lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,ozone depletion potential (ODPinfinite) (kg CFC-11-Eq),agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq)
root,,,,,,,45372.738899501375,21883291589.932327,10023115989.000822,92635910498.9339
,Energysystem,,,,,,45372.738899501375,21883291589.932327,10023115989.000822,92635910498.9339
,,Generation,,,,,22670.953195633232,5508987274.112326,308421007.5700821,11365970044.208204
,,,Electricity_generation,,hour * terawatt,138.64159324062214,603.9575462084917,172618624.50176772,271225624.0878186,2143712447.0036185
,,,,wind_onshore__electricity___PRT_1,kilowatt hour,112504308932.93633,485.36578574030904,114792867.40216123,230474317.35356402,1640875352.7560263
,,,,wind_offshore__electricity___PRT_1,kilowatt hour,230422.5694588,0.0014515625291244398,87.73747133269141,481.3534449188706,3920.196749162224
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2677320791.2869806,2.0778245318802986,474465.58351522486,1114642.7900663295,11693805.094775151
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,377067681.4220677,0.29263601178501814,66822.6376216118,156983.718135268,1646928.5221245014
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,393951686.4691462,0.6883979799441456,43103.57036903703,132175.4067536744,20509866.27314034
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2157463765.634265,3.7699894405637586,236055.318891391,723854.3724678872,112321624.30622616
,,,,ccgt__electricity___PRT_1,kilowatt hour,5218.76432118474,0.0005853873350919975,3.2691291416955353,20.558907962236898,2792.3091531635346
,,,,ccgt__electricity___PRT_2,kilowatt hour,3128.674970793081,0.0003509425968932272,1.95985903497052,12.325166785685152,1674.0031202947134
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,72417.88560835666,0.03072288719960929,28615.5171680403,116.16098267770425,114722.5369771049
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,52292.47331062619,0.022184792408865714,20663.074531876257,83.87907262312223,82840.38055797713
,,,,open_field_pv__electricity___PRT_1,kilowatt hour,38852.77552983492,0.0009082822152832936,884.1138363648224,115.42488093399005,2606.4597505398287
,,,,chp_hydrogen__electricity___PRT_2,kilowatt hour,25644.39869463404,0.00022772030528273274,47.00870977296278,102.74412908111117,762.1678945486923
,,,,chp_hydrogen__electricity___PRT_1,kilowatt hour,23362.416724836887,0.00020745647912706017,42.825611807499904,93.60138202210287,694.3459333215067
,,,,existing_wind__electricity___PRT_1,kilowatt hour,16281519275.08158,70.2416864831847,16612717.333432352,33354029.51249136,237465959.63809368
,,,,existing_pv__electricity___PRT_1,kilowatt hour,1772798309.3824706,41.443658882473514,40340889.28284674,5266677.3734666,118929146.66238287
,,,,roof_mounted_pv__electricity___PRT_1,kilowatt hour,738109.8189362,0.018504686652097306,1344.579325155103,1833.0733551902285,48190.03901049772
,,,,chp_wte_back_pressure__electricity___PRT_1,kilowatt hour,223118572.9753459,0.0,0.0,0.0,0.0
,,,,chp_wte_back_pressure__electricity___PRT_2,kilowatt hour,218363179.4937526,0.0,0.0,0.0,0.0
,,,,chp_methane_extraction__electricity___PRT_2,kilowatt hour,15552.799769408864,0.0010524208501209943,5.770281080087036,36.66963266207456,5020.740246645075
,,,,chp_methane_extraction__electricity___PRT_1,kilowatt hour,20260.796860099126,0.0013709997797022424,7.5170065305119484,47.76991861366242,6540.571455970813
,,,,waste_supply__waste___PRT_1,kilowatt hour,1028185030.4667456,0.0,0.0,0.0,0.0
,,,,waste_supply__waste___PRT_2,kilowatt hour,1006270752.0992424,0.0,0.0,0.0,0.0
,,,Thermal_generation,,,,22066.99564942474,5336368649.610558,37195383.48226352,9222257597.204586
,,,,biofuel_supply__biofuel___PRT_1,kilogram,3038157253.858765,13349.63919499189,2950370555.6548724,21657210.460165627,4242594250.390621
,,,,biofuel_supply__biofuel___PRT_2,kilogram,1836753777.317165,8070.6817219777495,1783681293.9896104,13093121.852424365,2564910359.7789454
,,,,biofuel_boiler__heat___PRT_2,megajoule,214085.7074841487,0.004280806939428366,3987.1740208432943,16.185415987918365,15984.988649895626
,,,,biofuel_boiler__heat___PRT_1,megajoule,32340340091.448364,646.6697563039452,602312808.9795759,2445010.756290334,2414733684.796713
,,,,methane_boiler__heat___PRT_2,megajoule,46491.77325356008,0.0001609815286885832,0.8826399856378752,5.609099975189105,767.9878713699657
,,,,methane_boiler__heat___PRT_1,megajoule,154324.96441779513,0.000534362682832417,2.9298385446432604,18.61886723206191,2549.2617859527404
,,Storage,,,,,16524.78582620936,13539729981.045393,8762630597.383913,63965552092.71905
