lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,99027701644.60155,283215560324.4033,1456786230534.5977,18991456869.2298,625292378.9803292
,Energysystem,,,,,,99027701644.60155,283215560324.4033,1456786230534.5977,18991456869.2298,625292378.9803292
,,Generation,,,,,6441092462.115154,398244257.26663417,14529631463.847164,367593397.0465504,3090996.335538228
,,,Electricity_generation,,hour * terawatt,153.67630786766966,1763655796.306917,365092545.41083705,6532600179.708707,327279248.3810619,2705572.3267108845
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,19728483190.136368,20133641.88530166,40415561.75122633,287749978.95589703,2574636.6017379267,123792.45933969278
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,4939210257.747547,5040645.506640526,10118413.830714513,72040898.12647484,644584.3499700662,30992.599841056603
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,1606238811.150419,1639225.708611435,3290523.819456026,23427811.436516408,209619.82705203418,10078.841379006106
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,2465798248.430681,2516437.698942121,5051408.180449576,35964923.77289943,321795.36367159843,15472.412474118839
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,595250579.2747042,607475.0854877208,1219424.0333765557,8682032.977881666,77682.29892992151,3735.0835551903215
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,612930727.8519534,625518.3229740091,1255643.3985120258,8939906.952716233,79989.62064278407,3846.023106430465
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,869918761.7330705,887784.053884644,1782106.3634004616,12688208.361977722,113527.4649811773,5458.573875304394
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,6162114125.379983,6288663.8527412,12623641.744346078,89877574.10499534,804177.6156021488,38666.08775586166
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,1879838.6695384,1918.444424870691,3851.0175921377863,27418.404769991972,245.32557304832338,11.795628169933943
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,14320285704.342491,14614377.70477903,29336385.650815643,208868663.15530312,1868847.7652323255,89857.05432398376
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,751704595.6043316,767142.1536603944,1539934.0744866836,10963994.519161016,98100.09958180819,4716.802589053062
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,2822872057.1162496,2880844.6376045947,5782905.803659398,41173027.200580575,368394.75443216844,17712.982340062576
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,608414464.2927018,620909.3121701975,1246391.4288253114,8874034.947795305,79400.2323287881,3817.684416329962
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,469324571.6498788,478962.96590001625,961453.34762648,6845337.997518136,61248.51102914006,2944.9219381445837
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,1296388492.2784543,1323012.0806183578,2655767.737331261,18908486.667585038,169183.26817749615,8134.589880837269
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,1419687442.0901084,1448843.1865166246,2908356.6602131766,20706864.670609005,185274.21576839575,8908.26721198231
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,464411538.1697294,473949.03519340174,951388.5592717412,6773678.901073011,60607.34284123228,2914.0935925832055
,,,,wind_onshore__electricity___PRT_9_1,kilowatt hour,2494317.7274709,2545.542872384952,5109.832883125971,36380.8949048093,325.5172562171468,15.651366750926117
,,,,wind_offshore__electricity___PRT_15_1,kilowatt hour,78579952.3215703,29937.863235836994,164154.3990753883,1336931.594042723,14774.17587733033,543.4813108563515
,,,,wind_offshore__electricity___PRT_9_1,kilowatt hour,131194792.5433334,49983.381705008615,274067.38863281347,2232101.928585423,24666.532391016277,907.3805178407654
,,,,wind_offshore__electricity___PRT_3_1,kilowatt hour,108747171.7090521,41431.15163528277,227174.05770900744,1850186.024925121,20446.052632470084,752.1263845180092
,,,,wind_offshore__electricity___PRT_12_1,kilowatt hour,115844466.0653957,44135.12199370422,242000.3849685567,1970936.8878151455,21780.44737196553,801.2132918098026
,,,,wind_offshore__electricity___PRT_18_1,kilowatt hour,87058699.9078966,33168.14736934717,181866.59758770125,1481186.0150305142,16368.303951206535,602.1227418450669
,,,,wind_offshore__electricity___PRT_17_1,kilowatt hour,108181878.7050129,41215.78356496994,225993.15429526893,1840568.3290679785,20339.769311398104,748.2166571986841
,,,,wind_offshore__electricity___PRT_20_1,kilowatt hour,12296208.7528388,4684.6836194405605,25686.91757916836,209203.3589022187,2311.8663904356845,85.04407872123214
,,,,wind_offshore__electricity___PRT_11_1,kilowatt hour,104470194.634882,39801.68387009689,218239.40476882682,1777419.0453963487,19641.91863024855,722.5455939800397
,,,,wind_offshore__electricity___PRT_7_1,kilowatt hour,83424870.229045,31783.709516085288,174275.48675502205,1419361.3185109776,15685.091029887482,576.9901417488367
,,,,wind_offshore__electricity___PRT_4_1,kilowatt hour,82906307.4433849,31586.144028468152,173192.2032977499,1410538.674165303,15587.593671138793,573.4036139547345
,,,,wind_offshore__electricity___PRT_1_1,kilowatt hour,709571.5229216999,270.33682951588304,1482.3028457512432,12072.399628602547,133.40978414230105,4.907598567116643
,,,,wind_offshore__electricity___PRT_16_1,kilowatt hour,97992841.552169,37333.902739874924,204708.1417498749,1667215.644567242,18424.081881300488,677.7463768662697
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,346409064.3096275,61443.19960972146,144221.69566420637,1513160.7209287838,7444.260196439678,369.0825327930303
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2367445869.969953,419918.13524439663,985647.0079431352,10341317.44365649,50875.92927812037,2522.40200383476
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2119257006.8968425,232527.39250583918,711059.9285916289,110334214.93212478,61985921.85077959,2871.6598629204836
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,379523600.1257305,41641.779937079904,127338.97923657642,19759018.529502716,11100645.245649934,514.2664084310572
,,,,ccgt__electricity___PRT_1,kilowatt hour,33692993.4104689,21127.356996095226,132731.67556793586,18027552.290054534,30700.715194510616,320.65797098948735
,,,,ccgt__electricity___PRT_2,kilowatt hour,18675004.8892725,11710.253183653122,73569.14412616094,9992125.75297544,17016.475779460325,177.73099253125432
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,136358285.3065247,53881517.14070831,218735.4672515893,216016080.07233116,159680.7679222123,2575.865619166885
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,191521725.612988,75679164.76955807,307224.41285536066,303404903.6522308,224279.26657302876,3617.926312459014
,,,,open_field_pv__electricity___PRT_11_1,kilowatt hour,809109.8353868,18412.69821863647,2403.763196505429,54282.21792236389,1767.5410663487316,25.705624659298596
,,,,open_field_pv__electricity___PRT_17_1,kilowatt hour,1856305010.3071856,42243441.41060522,5514847.886069743,124537298.51360248,4055191.512804001,58975.28093366425
,,,,open_field_pv__electricity___PRT_7_1,kilowatt hour,4211965168.420299,95850575.85592252,12513216.888569849,282575740.83774894,9201249.42203219,133815.2015488402
,,,,open_field_pv__electricity___PRT_14_1,kilowatt hour,1255131819.3791063,28562702.38065289,3728838.21486766,84205303.11344612,2741898.488198385,39875.85620124458
,,,,open_field_pv__electricity___PRT_20_1,kilowatt hour,1597490830.0860069,36353675.69645398,4745943.623732456,107173762.5414459,3489798.9392783036,50752.688793143774
,,,,open_field_pv__electricity___PRT_8_1,kilowatt hour,1912534731.3227444,43523046.30865784,5681899.289988426,128309683.71568508,4178028.1620417414,60761.71343009876
,,,,open_field_pv__electricity___PRT_10_1,kilowatt hour,26603284419.686028,605403897.5730981,79035000.19119325,1784782756.5082228,58116210.74791254,845193.0925668937
,,,,open_field_pv__electricity___PRT_4_1,kilowatt hour,663775309.4071295,15105358.90952492,1971992.6636962916,44531897.179929085,1450050.496104178,21088.309912299726
,,,,open_field_pv__electricity___PRT_18_1,kilowatt hour,698857758.8568342,15903720.920642069,2076218.1929737434,46885537.0480717,1526689.8686570995,22202.8882281712
,,,,open_field_pv__electricity___PRT_15_1,kilowatt hour,662857.3955202,15084.47019802505,1969.2656574037294,44470.315427412934,1448.0452671234525,21.059147555331776
,,,,open_field_pv__electricity___PRT_12_1,kilowatt hour,1060070964.4481562,24123754.178493205,3149337.035085623,71118902.01881735,2315778.255260299,33678.72337294533
,,,,open_field_pv__electricity___PRT_9_1,kilowatt hour,691898.2359447,15745.344901351798,2055.542328822565,46418.630921331096,1511.486441370266,21.981782420329917
,,,,open_field_pv__electricity___PRT_19_1,kilowatt hour,1046330670.979798,23811069.96154127,3108516.357470606,70197082.04858597,2285761.894184378,33242.19076493582
