lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,49481584430.92971,110081269491.11096,641434481523.3298,5801977681.826267,260262309.95858905
,Energysystem,,,,,,49481584430.92971,110081269491.11096,641434481523.3298,5801977681.826267,260262309.95858905
,,Generation,,,,,3746245740.9825754,282234155.58125085,7258141954.522619,135048724.00268817,1215424.6874501444
,,,Electricity_generation,,hour * terawatt,129.73593635387036,248971753.12909418,256566214.9311785,2224216905.8612113,102760520.46546753,914404.891657006
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,12994357.4024765,13258.914827715154,26620.00876467052,189523.21907518,1695.6307894264053,81.53456705553131
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,11364698.4237773,11596.07697835301,23281.518452561206,165754.57810983213,1482.976953977072,71.30908724198393
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,11217990.0638524,11446.381674675598,22980.974323723243,163614.8308512266,1463.8330129261922,70.38854902334458
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,9536620.9438802,9730.780907612645,19536.551538916527,139091.99542218054,1244.4315327284555,59.83860807344492
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,3504883.6413493,3576.2409961202993,7180.0421030446205,51118.86718313125,457.3514819949004,21.99178931425097
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,5810191.8741146,5928.483966177207,11902.655423664302,84741.8793641394,758.1706373780647,36.45670688239158
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,6923437.2009159,7064.394290257879,14183.229940590325,100978.60669320493,903.4377709388589,43.44189075448969
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,7260556201.845304,7408376.845307918,14873845.911835212,105895500.71684663,947428.3539176681,45557.182101618804
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,246765.0481199,251.78903780270332,505.5184754649174,3599.078032571561,32.200315905160544,1.548355239054627
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,11054093438.20331,11279148.214727996,22645218.620473128,161224392.05608025,1442446.178944884,69360.1610881514
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,5000433.981051,5102.23986519878,10243.799849260655,72931.52831545175,652.5055111219551,31.3757892821243
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,9678596.8477903,9875.647353155178,19827.400843179934,141162.7196250421,1262.9579366788178,60.729451963503834
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,3971786.120651,4052.649342040131,8136.530193053415,57928.65839845898,518.2774820392874,24.921421795462333
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,4798752.829504601,4896.45259946368,9830.639440278,69990.00070757009,626.1881828043688,30.110318058284513
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,9152453.0228352,9338.791544017944,18749.55198933754,133488.891030749,1194.3015467068253,57.42810295134165
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,10345875.6692184,10556.511570084687,21194.376333043187,150895.00775183574,1350.031000757143,64.91636849335184
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,2985405.9978959,3046.187105645832,6115.849469767818,43542.26511078213,389.5649605555116,18.732268012729225
,,,,wind_onshore__electricity___PRT_9_1,kilowatt hour,81308732323.87614,82964130.07660972,166567618.55276316,1185891091.9525912,10609958.28493013,510180.8487022811
,,,,wind_offshore__electricity___PRT_15_1,kilowatt hour,939792.6497162,357.861057715516,1963.229716732669,15988.805824846628,176.6802266658209,6.499667419736591
,,,,wind_offshore__electricity___PRT_9_1,kilowatt hour,1178783.9682897,448.8659061887677,2462.4833114200646,20054.793984460317,221.61039328023614,8.152547006803514
,,,,wind_offshore__electricity___PRT_3_1,kilowatt hour,1091075.4342462,415.4676162615612,2279.259915772995,18562.598104004588,205.12126274390474,7.5459490496423
,,,,wind_offshore__electricity___PRT_12_1,kilowatt hour,1270224.1266927002,483.68515075149344,2653.502081754918,21610.47644064442,238.8010660530643,8.784953121913368
,,,,wind_offshore__electricity___PRT_18_1,kilowatt hour,977379.4183591,372.17362173125764,2041.7485912279456,16628.274057819963,183.7465075127532,6.759619969302238
,,,,wind_offshore__electricity___PRT_17_1,kilowatt hour,1106517.8325324,421.3478858019512,2311.519133013068,18825.321490977283,208.02442061863064,7.652749686225768
,,,,wind_offshore__electricity___PRT_20_1,kilowatt hour,1052493.493413,400.77610044162725,2198.6621235684684,17906.198886715418,197.86789036571966,7.279113824432546
,,,,wind_offshore__electricity___PRT_11_1,kilowatt hour,1108227.0659165,421.9987375326798,2315.0897268042368,18854.40088521714,208.3457550576821,7.6645708562338735
,,,,wind_offshore__electricity___PRT_7_1,kilowatt hour,971613.7260292,369.97811872832506,2029.704042300052,16530.181637881313,182.66256220902395,6.719744064012852
,,,,wind_offshore__electricity___PRT_4_1,kilowatt hour,953584.3188885,363.1127499888407,1992.0405557393651,16223.445157534452,179.27304885336488,6.595051505489684
,,,,wind_offshore__electricity___PRT_1_1,kilowatt hour,117904.9652107,44.896707547204514,246.3038325668936,2005.9314094891547,22.16603416105836,0.8154384493178105
,,,,wind_offshore__electricity___PRT_16_1,kilowatt hour,1146139.9382272,436.43547662223904,2394.2898328901733,19499.417159495588,215.47334312140117,7.9267787603004285
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,365239627.76966566,64731.588723848,152059.37941978945,1595278.3679287622,7844.922758058932,389.0886916921592
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2680688334.3582506,475099.63750800083,1116044.8471571936,11708598.371815195,57578.0701848905,2855.729328383907
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2163086249.954603,236730.12625730966,725740.8708121041,112614477.0656338,63267831.69432907,2930.3813902376164
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,394468615.6969194,43171.00416108858,132348.85879442183,20536803.31810841,11537761.837804966,534.3954686757205
,,,,ccgt__electricity___PRT_1,kilowatt hour,446892.1405427,279.9668631865145,1760.4961654598958,239110.49438237384,407.18352047201245,4.252810124711246
,,,,ccgt__electricity___PRT_2,kilowatt hour,1738790.1685674002,1089.3089442349813,6849.826042996969,930343.0047657765,1584.2898946155221,16.547045152165335
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,1055497.1497798,417073.93534311786,1693.0570200918646,1672091.7153984385,1235.8563317543963,19.936352363765806
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,2086745.5304311,824566.1019705957,3347.2181049780074,3305769.148033118,2443.320360536612,39.414691168818514
,,,,open_field_pv__electricity___PRT_11_1,kilowatt hour,5027509.5050565,114403.99011508336,14935.86264271246,337274.5098927872,10982.40410007401,159.71895367055222
,,,,open_field_pv__electricity___PRT_17_1,kilowatt hour,1627081.2574564,37025.20861036643,4833.777468816286,109154.05194408087,3554.297382246627,51.69074582882754
,,,,open_field_pv__electricity___PRT_7_1,kilowatt hour,2334389.3972605,53120.42895821236,6935.0678217171335,156604.3861415162,5099.385224803197,74.16121871378101
,,,,open_field_pv__electricity___PRT_14_1,kilowatt hour,1243927.8697193,28306.323732449448,3695.4949127166446,83449.8994342217,2717.313318425603,39.518345533386864
,,,,open_field_pv__electricity___PRT_20_1,kilowatt hour,962570.9875415,21903.87937239639,2859.6321974555594,64574.84719491453,2102.6998655210027,30.579918508181947
,,,,open_field_pv__electricity___PRT_8_1,kilowatt hour,1580165.7352641,35957.61779944927,4694.399553237429,106006.68648654921,3451.8122009131916,50.20028656507616
,,,,open_field_pv__electricity___PRT_10_1,kilowatt hour,3693837.1632649,84055.47715963471,10973.752399597313,247804.0305266619,8069.047381421156,117.34951592886236
,,,,open_field_pv__electricity___PRT_4_1,kilowatt hour,1335381.9870298998,30387.416989670193,3967.189303904595,89585.17228903703,2917.091373924244,42.42375146271532
,,,,open_field_pv__electricity___PRT_18_1,kilowatt hour,1145469.842407,26065.852366786083,3402.9931142341507,76844.76365609594,2502.2354867970575,36.390432381367525
,,,,open_field_pv__electricity___PRT_15_1,kilowatt hour,2921624.2623855,66483.31007524411,8679.641208544663,195999.50834419753,6382.177546522001,92.81708363501915
,,,,open_field_pv__electricity___PRT_12_1,kilowatt hour,1320077.0340567,30039.143597436687,3921.720931343622,88558.4272360723,2883.658283819567,41.93752839890497
,,,,open_field_pv__electricity___PRT_9_1,kilowatt hour,3842069824.11772,87428600.16907406,11414126.039691221,257748337.54165038,8392856.014836466,122058.71945544609
,,,,open_field_pv__electricity___PRT_19_1,kilowatt hour,789205.927667,17958.85359540379,2344.594539418041,52944.51302194892,1723.9904583165148,25.072283776056473
,,,,open_field_pv__electricity___PRT_16_1,kilowatt hour,1149396.4614218,26155.204915712624,3414.6584213243045,77108.18404393541,2510.813037316613,36.515177144127705
,,,,open_field_pv__electricity___PRT_6_1,kilowatt hour,3951528.7575773,89919.40371803417,11739.309630779047,265091.4779373898,8631.964909291999,125.53612040410361
,,,,open_field_pv__electricity___PRT_3_1,kilowatt hour,4879252.202930801,111030.30642195973,14495.415797553576,327328.5497982479,10658.54163873162,155.00896731535644
,,,,open_field_pv__electricity___PRT_5_1,kilowatt hour,1010072.6244167,22984.80758989301,3000.751358534042,67761.53262638178,2206.465392180696,32.08899804980445
,,,,chp_hydrogen__electricity___PRT_1,kilowatt hour,551972.7793248,1942.0404326021885,2212.8642175219065,18520.75620779328,172662.02165179196,7.728531204894188
,,,,chp_hydrogen__electricity___PRT_2,kilowatt hour,691770.7645126,2433.900453338495,2773.315696621839,23211.502758342045,216392.08162859443,9.685934061770995
,,,,existing_wind__electricity___PRT_10_1,kilowatt hour,350921466.8633716,358066.02031465137,718891.4568286286,5118203.538814767,45791.663677631506,2201.8964835250254
,,,,existing_wind__electricity___PRT_9_1,kilowatt hour,914382485.1837628,932998.7742747562,1873187.6472313355,13336304.881415991,119317.56586076885,5737.396451499848
,,,,existing_wind__electricity___PRT_17_1,kilowatt hour,288109982.3477767,293975.7307182679,590216.9701549015,4202095.541169176,37595.407119573145,1807.7787109081619
,,,,existing_wind__electricity___PRT_16_1,kilowatt hour,94978271.9600286,96911.97356555052,194570.79359605044,1385261.870736648,12393.693452935888,595.9519231491937
,,,,existing_wind__electricity___PRT_6_1,kilowatt hour,2123107023.1147327,2166332.224636975,4349359.172794439,30965600.29808256,277043.7603100853,13321.675445296889
,,,,existing_wind__electricity___PRT_5_1,kilowatt hour,501539019.8266199,511750.0576659686,1027443.8889038953,7314966.533782555,65445.71445589348,3146.9633760340594
,,,,existing_wind__electricity___PRT_1_1,kilowatt hour,493049.1315849,503.08732026573483,1010.0516553118337,7191.141176455785,64.33787083958993,3.093692610875991
,,,,existing_wind__electricity___PRT_12_1,kilowatt hour,361460620.02110106,368819.7438491366,740481.7779823955,5271917.506488279,47166.91541507718,2268.0255935650575
,,,,existing_wind__electricity___PRT_20_1,kilowatt hour,2354356632.8341184,2402289.9364057276,4823092.997966742,34338385.04506437,307219.4701310829,14772.677309116583
,,,,existing_wind__electricity___PRT_19_1,kilowatt hour,2027655310.430205,2068937.1751894343,4153818.4970841007,29573433.276567347,264588.2876902091,12722.752865526187
,,,,existing_wind__electricity___PRT_11_1,kilowatt hour,1476484859.7983508,1506545.2146512547,3024700.544344066,21534590.351424195,192666.17892955444,9264.371455672968
,,,,existing_wind__electricity___PRT_15_1,kilowatt hour,337509828.90308166,344381.32937299245,691416.6145572668,4922594.266242095,44041.58204165666,2117.7436423940753
,,,,existing_wind__electricity___PRT_4_1,kilowatt hour,1020319485.6524004,1041092.5854159748,2090208.2965286768,14881400.242764708,133141.26134312237,6402.110157615834
,,,,existing_wind__electricity___PRT_7_1,kilowatt hour,1438596760.7810328,1467885.7362551317,2947083.6605602065,20981990.92144677,187722.16936594833,9026.638287623831
,,,,existing_wind__electricity___PRT_18_1,kilowatt hour,2460068164.8286324,2510153.690530603,5039651.756591026,35880191.94006638,321013.7442845941,15435.976287896488
,,,,existing_wind__electricity___PRT_3_1,kilowatt hour,497733788.2675608,507867.35335868376,1019648.5594307183,7259467.080426227,64949.17064232605,3123.087019825091
,,,,existing_pv__electricity___PRT_10_1,kilowatt hour,313131454.2782407,7125493.799890936,930259.4824509842,21006674.90881673,684023.8022163071,9947.87343283158
,,,,existing_pv__electricity___PRT_3_1,kilowatt hour,816268413.8295977,18574676.67776428,2424992.5129377227,54760021.624710426,1783107.4343642117,25932.03192158162
,,,,existing_pv__electricity___PRT_15_1,kilowatt hour,310258563.56719726,7060119.45243223,921724.6202080593,20813944.72987579,677748.0812669515,9856.604565430187
,,,,existing_pv__electricity___PRT_12_1,kilowatt hour,159646591.8796044,3632853.8238531034,474282.4583978738,10710019.738020374,348741.9334479503,5071.81271093214
,,,,existing_pv__electricity___PRT_9_1,kilowatt hour,172587263.1182879,3927326.545929289,512726.9581915971,11578155.053398088,377010.33964917884,5482.92490633773
,,,,roof_mounted_pv__electricity___PRT_12_1,kilowatt hour,535165.8699321,974.9474240275531,1329.068302877796,34940.28465910371,1175.888146090291,21.33191562455645
,,,,roof_mounted_pv__electricity___PRT_10_1,kilowatt hour,478799.9404867,872.2618446637792,1189.0852165288613,31260.226324809995,1052.0386407276942,19.08514818557197
,,,,roof_mounted_pv__electricity___PRT_6_1,kilowatt hour,441436.2023525,804.1938240222124,1096.2934993755525,28820.796384150533,969.9415204999912,17.595815337438214
,,,,roof_mounted_pv__electricity___PRT_5_1,kilowatt hour,452729.0810778,824.7668216587595,1124.339023202764,29558.093770659394,994.754691470229,18.045953789147312
,,,,roof_mounted_pv__electricity___PRT_16_1,kilowatt hour,492447.6629775,897.1248100536357,1222.97892386071,32151.268402712492,1082.025969889839,19.629151607664003
,,,,roof_mounted_pv__electricity___PRT_4_1,kilowatt hour,452139.1087856,823.6920240705948,1122.87384481159,29519.575245923817,993.4583804315628,18.022437268684513
,,,,roof_mounted_pv__electricity___PRT_3_1,kilowatt hour,489683.7177773,892.0895492862337,1216.114749284657,31970.81400996437,1075.9529174401516,19.518979698138722
,,,,roof_mounted_pv__electricity___PRT_9_1,kilowatt hour,537580.0302152999,979.3454632928615,1335.0637971575798,35097.90204890564,1181.1926369396267,21.428144973936813
,,,,roof_mounted_pv__electricity___PRT_20_1,kilowatt hour,472310.2838553,860.4392123982221,1172.9683499490773,30836.52507103361,1037.7793040733604,18.826467997821133
,,,,roof_mounted_pv__electricity___PRT_19_1,kilowatt hour,448070.5304203,816.2800235579735,1112.7696531126592,29253.94304805833,984.5187350990509,17.8602621837495
,,,,roof_mounted_pv__electricity___PRT_17_1,kilowatt hour,500003.7067304,910.890160431369,1241.7441307059146,32644.592686758424,1098.6284155605942,19.9303383926506
,,,,roof_mounted_pv__electricity___PRT_18_1,kilowatt hour,456652.8456338,831.9149983974277,1134.0835741783471,29814.27126297935,1003.3761460299484,18.20235654041932
,,,,roof_mounted_pv__electricity___PRT_1_1,kilowatt hour,1992.489196719212,3.629850702573307,4.9482868471039785,130.08703212432184,4.377978042458679,0.07942137908142817
,,,,roof_mounted_pv__electricity___PRT_7_1,kilowatt hour,476790.3850592,868.6009020491315,1184.0945462001105,31129.025060581596,1047.62316407063,19.00504653998043
,,,,roof_mounted_pv__electricity___PRT_14_1,kilowatt hour,507404.1607042,924.3720644897278,1260.122935019605,33127.75871615693,1114.8889930606686,20.225323309690822
,,,,roof_mounted_pv__electricity___PRT_8_1,kilowatt hour,484547.4332198,882.7324399885362,1203.3589414395285,31635.4726613907,1064.6672647752614,19.3142454373051
,,,,roof_mounted_pv__electricity___PRT_15_1,kilowatt hour,495642.1951955,902.9445091108332,1230.91244830446,32359.83526267623,1089.0451255918701,19.75648687990208
,,,,roof_mounted_pv__electricity___PRT_11_1,kilowatt hour,499154.884187,909.3438025059037,1239.6361055099678,32589.174165210046,1096.7633482552687,19.896504002420276
,,,,chp_wte_back_pressure__electricity___PRT_2,kilowatt hour,218473655.9355408,0.0,0.0,0.0,0.0,0.0
,,,,chp_wte_back_pressure__electricity___PRT_1,kilowatt hour,223229054.3422234,0.0,0.0,0.0,0.0,0.0
,,,,chp_methane_extraction__electricity___PRT_2,kilowatt hour,301035.2035157,111.69808592398226,709.7661355520651,97179.92571552446,173.33375161200235,1.7018034806965021
,,,,chp_methane_extraction__electricity___PRT_1,kilowatt hour,680899.1413932,252.64530588153838,1605.3908184499423,219807.27570745477,392.05648124478773,3.8492392695874305
,,,,waste_supply__waste___PRT_2,kilowatt hour,1006791041.1776078,0.0,0.0,0.0,0.0,0.0
,,,,waste_supply__waste___PRT_1,kilowatt hour,1028705319.5494164,0.0,0.0,0.0,0.0,0.0
,,,Thermal_generation,,,,3497273987.8534813,25667940.65007235,5033925048.661407,32288203.53722064,301019.7957931385
,,,,biofuel_supply__biofuel___PRT_1,kilogram,1761783186.2590764,1710877450.7554598,12558701.968480807,2460219798.604087,15800743.117593717,147290.9817809395
,,,,biofuel_supply__biofuel___PRT_2,kilogram,1837703802.42347,1784604383.2843466,13099894.783938453,2566238180.781337,16481645.378234541,153638.19996844587
,,,,chp_biofuel_extraction__heat___PRT_1,megajoule,12471327.65532384,232268.5625034477,942.863804633362,931188.2248665985,688.2486540735244,11.102558930170535
,,,,chp_biofuel_extraction__heat___PRT_2,megajoule,7946343.66721716,147994.3332205332,600.7636099551688,593324.2921814076,438.5307230257022,7.074206634954326
,,,,chp_wte_back_pressure__heat___PRT_1,megajoule,731130.95299392,0.0,0.0,0.0,0.0,0.0
,,,,chp_wte_back_pressure__heat___PRT_2,megajoule,821781.62586756,0.0,0.0,0.0,0.0,0.0
,,,,chp_methane_extraction__heat___PRT_1,megajoule,3868698.69638316,73.45349091796786,466.7474858978686,63906.23942474408,113.9855639629288,1.1191186126888593
,,,,chp_methane_extraction__heat___PRT_2,megajoule,3560805.54184644,67.60764421947758,429.6010517508383,58820.215618104594,104.91394123274807,1.030052754396765
,,,,biofuel_boiler__heat___PRT_1,megajoule,68558592.67705512,1276849.2824582108,5183.202407898857,5119018.277660476,3783.5072928282816,61.03406440802601
,,,,biofuel_boiler__heat___PRT_2,megajoule,7233374.03834196,134715.84071407327,546.8613089686447,540089.4689575831,399.1844400125039,6.439487738975109
,,,,methane_boiler__heat___PRT_2,megajoule,2320555.15967832,44.05948645828646,279.96837397915607,38332.77421065084,68.37177284124222,0.6712790696313787
,,,,methane_boiler__heat___PRT_1,megajoule,7409123.091762841,140.67415782116743,893.8896099985823,122389.78306399556,218.29900440105973,2.143275604301115
