lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,80376093146.29907,199857069863.17874,1132570943035.684,10850593197.039965,460179763.79965556
,Energysystem,,,,,,80376093146.29907,199857069863.17874,1132570943035.684,10850593197.039965,460179763.79965556
,,Generation,,,,,4183553856.341233,334919831.1168664,9150829029.269785,240305952.6282698,2425524.7621532665
,,,Electricity_generation,,hour * terawatt,136.02424581065335,1318833399.1418705,313911203.75522476,4992483924.878616,213928788.2679974,2179359.1532396725
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,19603623.4544778,20005.580120359704,40159.75341164099,285926.76361762284,2558.3256443431906,123.0084297804548
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,14198665.8186743,14489.79814016739,29087.220501202977,207093.2740878472,1852.9641197890178,89.0935082175555
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,31358487.4480832,32001.46817201057,64240.6301146082,457376.20132069965,4092.36704584811,196.767618501995
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,32388809.113402203,33052.91574651569,66351.33501156038,472403.85883740656,4226.8267973981,203.23266057033288
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,28368859.7087828,28950.540533827167,58116.113743102076,413771.273602181,3702.2125762476185,178.00836134051636
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,67233857.0247636,68612.43348360661,137734.49205773848,980632.9523204857,8774.199371449475,421.87767989728206
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,27113525.9861725,27669.467200793115,55544.451781451506,395461.72437998443,3538.3881454040347,170.13141805857055
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,24108126.4848907,24602.4443909708,49387.62556241092,351626.75913668616,3146.1754183333824,151.27319654580216
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,1452656.5765932,1482.4421432415083,2975.895249272158,21187.582721666902,189.57559457799414,9.115100833820794
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,7605964521.124166,7761918.733552972,15581489.836815324,110936063.66895251,992598.8493556313,47725.75615267966
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,30143695.4658159,30761.76788544842,61752.02148792278,439657.9697571574,3933.8334213341273,189.1450657376414
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,31711936.801822096,32362.164712338974,64964.70232239115,462531.4028737791,4138.493138291,198.98543554701982
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,85616260.56914711,87371.75348221377,175392.468664062,1248747.7304534302,11173.152529397785,537.2232230844214
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,20625060.5337432,21047.96094193789,42252.25744822684,300824.8358467689,2691.625933393957,129.41772301400113
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,34053925.3206789,34752.17386355202,69762.47257219433,496690.2510633317,4444.128945867109,213.68089890605214
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,19028317.3249347,19418.47781099402,38981.188012481296,277535.6914217833,2483.246645403156,119.39851022861887
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,35148417.4533728,35869.1076302446,72004.63633714526,512653.860755578,4586.963116171903,220.54859655645868
,,,,wind_onshore__electricity___PRT_9_1,kilowatt hour,44429905938.63069,45340905.8267721,91018584.94160905,648028117.9699689,5798222.3541697,278787.8974184886
,,,,wind_offshore__electricity___PRT_15_1,kilowatt hour,122052894.7441566,46495.995172220595,254969.70831241287,2076550.4402002536,22947.608508166075,844.1486528721088
,,,,wind_offshore__electricity___PRT_9_1,kilowatt hour,4353814.499447,1658.5836790600943,9095.16169474521,74073.74839041397,818.5764939202318,30.112080933766947
,,,,wind_offshore__electricity___PRT_3_1,kilowatt hour,13949552.081344,5314.075632197751,29140.752727864725,237331.1061333628,2622.706005526574,96.4786261167273
,,,,wind_offshore__electricity___PRT_12_1,kilowatt hour,4834821293.2732,1841823.0134261302,10099989.66006755,82257371.32935503,909012.3300835104,33438.8454295549
,,,,wind_offshore__electricity___PRT_18_1,kilowatt hour,170813220.3176623,65071.21957087743,356830.5123228979,2906135.6438789037,32115.21460577829,1181.3873823678691
,,,,wind_offshore__electricity___PRT_17_1,kilowatt hour,84867345.3314132,32330.176981089484,177288.72658084877,1443893.0242309947,15956.218161745279,586.9639993911901
,,,,wind_offshore__electricity___PRT_20_1,kilowatt hour,3651113.6630425,1390.8901017440962,7627.212673995082,62118.32746862404,686.4591547293957,25.252024432359917
,,,,wind_offshore__electricity___PRT_11_1,kilowatt hour,73208493.1894945,27888.742614312625,152933.2687575384,1245534.8074821162,13764.194980369486,506.328432712065
,,,,wind_offshore__electricity___PRT_7_1,kilowatt hour,125675557.81084187,47876.0471219782,262537.4874093106,2138184.7226111623,23628.71856276227,869.2039057828454
,,,,wind_offshore__electricity___PRT_4_1,kilowatt hour,118632112.76742747,45192.85043917795,247823.66082782086,2018350.8675890027,22304.454851889517,820.4896606207217
,,,,wind_offshore__electricity___PRT_1_1,kilowatt hour,666214.6603052999,253.79417687074957,1391.7290365959782,11334.662312150982,125.25744054924238,4.607708888933369
,,,,wind_offshore__electricity___PRT_16_1,kilowatt hour,267141727.16133735,101767.52166995138,558061.7190339189,4545023.469575591,50226.287414340804,1847.6196700527832
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,350339539.6692818,62131.27004193065,145857.77072607988,1530300.0383074826,7528.492826072049,373.26231252061194
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2653574977.8680444,470600.5605967293,1104769.7644695058,11590943.728711432,57023.02458610174,2827.1988185212113
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2160631660.588533,236955.96160905153,724938.251759505,112487929.5627791,63196081.83438481,2927.6265115501574
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,390399469.7067051,42815.017017774386,130987.39328559495,20325180.29372377,11418751.879700724,528.9859713278394
,,,,ccgt__electricity___PRT_1,kilowatt hour,21779513.051829897,13654.632899577893,85799.10145685746,11653196.021894455,19845.212974009606,207.2747289622808
,,,,ccgt__electricity___PRT_2,kilowatt hour,12387629.6896488,7766.405978133034,48800.33334984069,6628039.694035329,11287.449304978762,117.89256187227419
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,25414735.5746091,10042537.402098922,40768.026313660754,40261486.27719794,29761.377859772616,480.0865489314385
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,54695938.7146626,21612894.955473665,87738.29112465335,86648148.65037252,64050.49915632495,1033.2110039445527
,,,,open_field_pv__electricity___PRT_11_1,kilowatt hour,3702233.550058,84249.97657130835,10998.8419584187,248375.9442062647,8087.695355004128,117.62022285664482
,,,,open_field_pv__electricity___PRT_17_1,kilowatt hour,3669430.3908996,83503.49064950211,10901.388148810287,246175.2414362544,8016.035381540047,116.57806416016673
,,,,open_field_pv__electricity___PRT_7_1,kilowatt hour,3525531.5317017003,80228.85233909199,10473.88383584367,236521.3353441356,7701.681865104967,112.00638718226242
,,,,open_field_pv__electricity___PRT_14_1,kilowatt hour,3632155.2195569,82655.23724975993,10790.648587700227,243674.5197090672,7934.606096745127,115.3938293189321
,,,,open_field_pv__electricity___PRT_20_1,kilowatt hour,3517606.9036098,80048.5153730775,10450.340823004279,235989.68682489454,7684.370159362464,111.75462118489816
,,,,open_field_pv__electricity___PRT_8_1,kilowatt hour,3642400.3663116,82888.38112353485,10821.085551856879,244361.84749767504,7956.987079657078,115.71931835906017
,,,,open_field_pv__electricity___PRT_10_1,kilowatt hour,3519957.0169984,80101.99577162825,10457.322696364008,236147.3515491261,7689.50408753841,111.82928445416535
,,,,open_field_pv__electricity___PRT_4_1,kilowatt hour,3370879.401036,76709.50704411564,10014.432987965421,226146.01232398904,7363.8373445162915,107.0930780059756
,,,,open_field_pv__electricity___PRT_18_1,kilowatt hour,3860935236.456474,87861475.71894239,11470323.496090928,259022944.3680307,8434386.311844472,122662.186706177
,,,,open_field_pv__electricity___PRT_15_1,kilowatt hour,2663904.2676823,60621.20853474586,7914.104185009343,178716.36913625218,5819.418435007301,84.63242780258693
,,,,open_field_pv__electricity___PRT_12_1,kilowatt hour,4675104.7826015,106389.14667188912,13889.112598532649,313644.0607923665,10212.976227232099,148.52841101803634
,,,,open_field_pv__electricity___PRT_9_1,kilowatt hour,47949377923.375565,1091161299.308389,142451204.8341324,3216834339.269512,104747568.15386675,1523355.1424914354
,,,,open_field_pv__electricity___PRT_19_1,kilowatt hour,3530052.0689824,80331.72414077478,10487.313749033205,236824.60975945502,7711.557181686987,112.1500049727511
,,,,open_field_pv__electricity___PRT_16_1,kilowatt hour,3611449.1254422,82184.0383877755,10729.133544548647,242285.3864718092,7889.372704813732,114.73599523815002
,,,,open_field_pv__electricity___PRT_6_1,kilowatt hour,3162652.0120596,71970.97489553402,9395.817195122447,212176.42514178946,6908.9552675650475,100.4776790677324
,,,,open_field_pv__electricity___PRT_3_1,kilowatt hour,3661533.8194106,83323.79206114837,10877.928488448693,245645.47518218347,7998.78496670597,116.32718952307052
,,,,open_field_pv__electricity___PRT_5_1,kilowatt hour,3555974.9013401,80921.63771637912,10564.327025578228,238563.7242362366,7768.186772449644,112.9735751980642
