lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,42499275022.734055,24531654426.942486,190147164698.6749,2494871835.5028057,79973181.16900836
,Energysystem,,,,,,42499275022.734055,24531654426.942486,190147164698.6749,2494871835.5028057,79973181.16900836
,,Generation,,,,,6669014145.608592,435846531.2180221,13423102854.948517,293504230.7700447,3304304.4835313847
,,,Electricity_generation,,hour * terawatt,169.18366828387383,1755137137.574404,399779965.43083507,6347866135.332847,248140058.65180966,2881358.4926023628
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,66622115.69847799,67988.99679025424,136481.3559683683,971711.4949277987,8694.334375157587,418.04039962536905
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,56274270.6564704,57428.84575261106,115282.87093328478,820783.8357043377,7343.917566679515,353.1097496315485
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,37470595.9100274,38239.37739413027,76761.86331235107,546524.3543592253,4889.996162189888,235.12046599861785
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,49915699.1904929,50939.81613419198,102256.76921705563,728041.4044640979,6514.109838570391,313.21099036066596
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,21128432.917320203,21561.923497986703,43283.48242675056,308167.0541444364,2757.307519905521,132.57667439179497
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,25870843.6032626,26401.633821823085,52998.734400561065,377337.1027012623,3376.2026693597636,162.33434927185309
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,29398235.2992774,30001.396691199592,60224.91142366922,428785.58976578835,3836.5351363409936,184.46802392795828
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,94096889.1706494,96027.46803751617,192765.88399753044,1372442.5873482567,12279.853462073857,590.4390867819657
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,1522349.2794797,1553.5832071766354,3118.668504423932,22204.102627296514,198.66996917174643,9.55243607214956
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,57440350.5460608,58618.85025070723,117671.68976339616,837791.599878373,7496.093587520394,360.42666680753155
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,27174706.385246,27732.24780629583,55669.81379448272,396354.4881341136,3546.3596642767166,170.51582643523417
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,70002635.3526772,71438.8744636133,143406.65249502464,1021017.791693929,9135.499713957788,439.2524817248786
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,23146719.9091129,23621.61950242475,47418.12364108618,337604.6162698636,3020.698464278348,145.24102002909055
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,22049654.0542628,22502.045150152113,45170.686227128244,321603.45073627494,2877.528928593101,138.3571520651613
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,39278226.0829151,40084.0947273868,80464.95521486552,572889.3984578736,5125.895922960212,246.46298240657856
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,42077481.5098925,42940.782137722614,86199.48003972533,613717.7127009971,5491.204986267655,264.02774816809756
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,17856933.229679298,18223.30262683936,36581.52304349504,260450.85932071344,2330.369529487454,112.04867070151617
,,,,wind_onshore__electricity___PRT_9_1,kilowatt hour,71467137369.29099,72933423.44898556,146406815.7132288,1042378167.7369087,9326620.486599147,448441.9378365136
,,,,wind_offshore__electricity___PRT_15_1,kilowatt hour,4038934.3314717,1538.68784363744,8437.3786580138,68716.59604407602,759.3726148868429,27.93437591593208
,,,,wind_offshore__electricity___PRT_9_1,kilowatt hour,5306142.4689571,2021.448294188294,11084.590524970003,90276.30029351584,997.6243609800181,36.69873442250982
,,,,wind_offshore__electricity___PRT_3_1,kilowatt hour,4819823.1031512,1836.1781952944852,10068.663970932252,82002.28327272652,906.1899433467185,33.3352165081616
,,,,wind_offshore__electricity___PRT_12_1,kilowatt hour,5032624.9108314,1917.247980612295,10513.209309742375,85622.79667010783,946.199473562269,34.807012087337235
,,,,wind_offshore__electricity___PRT_18_1,kilowatt hour,4229872.8646175,1611.4285124713626,8836.251373194516,71965.13760531276,795.2715627776623,29.254959098329415
,,,,wind_offshore__electricity___PRT_17_1,kilowatt hour,4876446.389066299,1857.7496168457762,10186.950644101767,82965.64616823885,916.8358635883894,33.726838661484315
,,,,wind_offshore__electricity___PRT_20_1,kilowatt hour,4172234.1829726,1589.4702750078634,8715.84352754563,70984.4992314673,784.4347348568946,28.856314193101394
,,,,wind_offshore__electricity___PRT_11_1,kilowatt hour,4763283.0633896,1814.6384912392089,9950.551200290885,81040.33669242653,895.5596744993593,32.94417011034656
,,,,wind_offshore__electricity___PRT_7_1,kilowatt hour,4223379.4608076,1608.9547559861444,8822.68658060143,71854.66178007204,794.050717721651,29.210048939846462
,,,,wind_offshore__electricity___PRT_4_1,kilowatt hour,4159310.1927096,1584.546679247103,8688.845168260128,70764.61632417217,782.0048552117805,28.766928336422687
,,,,wind_offshore__electricity___PRT_1_1,kilowatt hour,606047.9077594,230.8823226625422,1266.0408075202001,10311.024107334488,113.94495346647994,4.191593298720307
,,,,wind_offshore__electricity___PRT_16_1,kilowatt hour,4617814.2366251005,1759.2201242204299,9646.665206294474,78565.39608100695,868.2096276099821,31.93806786743761
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,365253245.2410664,64779.85897614322,152067.13852061122,1595448.3557081567,7848.839499278862,389.1573394117494
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2495971995.4756966,442675.6395620877,1039156.5964947848,10902557.247651812,53635.34436110798,2659.3215356904484
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2181417946.6389136,239279.46529996378,731916.1205608973,113570169.66076626,63804056.05787267,2955.856964269952
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,396178288.573534,43456.74746595612,132926.9691271393,20626049.91342804,11587775.635570861,536.8280550656741
,,,,ccgt__electricity___PRT_1,kilowatt hour,1001047.0346916,627.6466280974608,3943.5689401532627,535613.3723024931,912.1396924702406,9.526985436099379
,,,,ccgt__electricity___PRT_2,kilowatt hour,1051718.429837,659.4170687121378,4143.186068914137,562725.2619936542,958.3107401961288,10.009226122446345
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,3981818.9780336,1573401.4265720746,6387.324208427816,6307914.093869099,4662.801287343484,75.2177941609925
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,3623006.8440553,1431618.104281558,5811.7456998343505,5739491.438430652,4242.624054419378,68.43972178187256
,,,,open_field_pv__electricity___PRT_11_1,kilowatt hour,17270314640.55856,393013784.1349699,51307917.05843145,1158634922.236003,37727725.800187126,548681.2191439356
,,,,open_field_pv__electricity___PRT_17_1,kilowatt hour,26981977.866844,614018.2995628323,80160.0382669439,1810173.2642496196,58943.26094768137,857.222628482098
,,,,open_field_pv__electricity___PRT_7_1,kilowatt hour,62722003.9681773,1427340.071613472,186339.128401583,4207908.524114682,137018.8451455516,1992.6901345263875
,,,,open_field_pv__electricity___PRT_14_1,kilowatt hour,23066764.4478555,524921.3214404894,68528.4351635193,1547508.50743099,50390.31322234473,732.8355448273845
,,,,open_field_pv__electricity___PRT_20_1,kilowatt hour,40765286.5781604,927679.6562027822,121108.50242986472,2734871.114246411,89053.47622185067,1295.1209983127299
,,,,open_field_pv__electricity___PRT_8_1,kilowatt hour,26937290.3286802,613001.3627701022,80027.27725119614,1807175.2562007466,58845.63914856454,855.8028967963376
,,,,open_field_pv__electricity___PRT_10_1,kilowatt hour,86157372.5139654,1960649.572666343,255962.6396459764,5780146.029785511,188214.3894609629,2737.2363024689794
,,,,open_field_pv__electricity___PRT_4_1,kilowatt hour,27683618.3748415,629985.2576285533,82244.52333515634,1857245.0873374443,60476.02402970946,879.5138824253374
,,,,open_field_pv__electricity___PRT_18_1,kilowatt hour,23657616.9112984,538367.1196985507,70283.78298512186,1587147.756181519,51681.05518003828,751.6070412780666
,,,,open_field_pv__electricity___PRT_15_1,kilowatt hour,89478313.22312939,2036222.9190887092,265828.7338103321,6002942.079561531,195469.12355710802,2842.7432277873468
,,,,open_field_pv__electricity___PRT_12_1,kilowatt hour,24171880.8821174,550070.0236184685,71811.59609763796,1621648.8181621162,52804.486367239784,767.9453065814414
,,,,open_field_pv__electricity___PRT_9_1,kilowatt hour,28614835161.350555,651176593.1682389,85011050.44468947,1919718777.683144,62510306.1092867,909098.8189099929
,,,,open_field_pv__electricity___PRT_19_1,kilowatt hour,30369824.6023152,691114.2010203679,90224.90175788208,2037457.921223022,66344.15406104384,964.8551711299614
