lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,65277802809.73472,151040459235.46857,863779483129.8068,8416330860.230378,352533613.99104095
,Energysystem,,,,,,65277802809.73472,151040459235.46857,863779483129.8068,8416330860.230378,352533613.99104095
,,Generation,,,,,4104199383.837954,344629475.9221291,9009444862.643059,231588261.3526524,2369013.28237062
,,,Electricity_generation,,hour * terawatt,142.5825187380766,1239509275.9807882,323625899.5901874,4845549684.440491,205223972.92279097,2122925.7206799593
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,27665273.2961328,28232.011713155884,56674.73539485077,403507.7827660143,3610.332298916265,173.59292838412014
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,26338861.4959794,26878.427714069436,53957.4646493479,384161.5981555051,3437.234881355576,165.27001372586005
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,20559727.303572506,20980.904642664285,42118.40209372836,299870.8846908999,2683.0549167662175,129.0073382306738
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,25491780.0829115,26013.99324844408,52222.14418340309,371806.61654499464,3326.6903241845193,159.95478182802862
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,46611781.611356,47566.64968883491,95488.31709811947,679849.2987039455,6082.861313546621,292.4777059162277
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,124702545.77733807,127257.14655121867,255464.08703086394,1818830.6767708769,16273.745932698228,782.4784475100962
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,146921592.9444356,149931.36305954156,300981.7511969773,2142903.3277792614,19173.342939449678,921.8976183363377
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,29829205.9728952,30440.273680314654,61107.74100985142,435069.5051840593,3892.7266187371933,187.17108487246966
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,1292291.9905791,1318.7653016051388,2647.3733273979838,18848.535137440882,168.64476498407183,8.108821068697555
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,26465727.201775,27007.892120293272,54217.36015925351,386011.979283707,3453.7909207717225,166.06606547854048
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,20883185911.26728,21310989.50904636,42781035.381431594,304588642.73377454,2725266.430318595,131036.96310777578
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,38799754027.05797,39594588.389142655,79484694.37879801,565908117.0711108,5063387.722714678,243459.11388516042
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,64995189.3409174,66326.6515450787,133148.3379344533,947977.7937116739,8481.905414129997,407.82916285807215
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,137470149.3542829,140286.30099923772,281619.6411987612,2005050.6845959679,17939.92472203792,862.5920855957279
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,7501378085.649762,7655047.949320712,15367230.012760706,109410248.96721362,978933.6725311091,47069.341223668336
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,25710613.032604106,26237.309089746035,52670.442647590986,374998.3724145605,3355.2481359435715,161.32790589635965
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,93739972.60334808,95660.28778447527,192034.54404225384,1367230.6106286366,12233.114315111634,588.1957563492142
,,,,wind_onshore__electricity___PRT_9_1,kilowatt hour,38274558.1289599,39058.633572803876,78408.78458353649,558247.9493952243,4994.849389737413,240.16363609031075
,,,,wind_offshore__electricity___PRT_15_1,kilowatt hour,23847342.6968337,9084.135934375166,49817.316738517206,405726.10019765876,4483.5672889359075,164.93368325526686
,,,,wind_offshore__electricity___PRT_9_1,kilowatt hour,38722502.7194407,14750.510685088348,80891.66190948022,658804.220575443,7280.263832545907,267.81369645982795
,,,,wind_offshore__electricity___PRT_3_1,kilowatt hour,42134647.8948489,16050.294416986859,88019.66435250307,716856.6574145096,7921.7853089978,291.4128739012121
,,,,wind_offshore__electricity___PRT_12_1,kilowatt hour,32746540.309376,12474.095277386064,68407.82184454601,557132.3506993607,6156.716025890373,226.48257190487132
,,,,wind_offshore__electricity___PRT_18_1,kilowatt hour,23559300.9653646,8974.41267011758,49215.594930204694,400825.510229565,4429.412220114908,162.9415206791083
,,,,wind_offshore__electricity___PRT_17_1,kilowatt hour,31398982.8375893,11960.772054214087,65592.76197568988,534205.719214277,5903.360141417297,217.16255582886316
,,,,wind_offshore__electricity___PRT_20_1,kilowatt hour,21589367.1444951,8224.008389597127,45100.38518335123,367310.09608285816,4059.0426173960745,149.31700724799504
