lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,84300815893.62894,238772739617.69525,1221969831379.1343,16349146588.426804,529004894.7392891
,Energysystem,,,,,,84300815893.62894,238772739617.69525,1221969831379.1343,16349146588.426804,529004894.7392891
,,Generation,,,,,4562414238.507101,361155959.26279515,10188277208.57632,277211506.4860813,2681452.3881662656
,,,Electricity_generation,,hour * terawatt,144.91370590773798,1532864026.2779436,338986585.72931516,5671181597.120295,249556857.74606523,2422508.4058292033
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,108925947.0330659,111161.15928110614,223144.47909611117,1588733.7882910508,14215.156439578477,683.4877661998804
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,77866119.2638508,79463.96873368787,159515.66266485516,1135712.2706558073,10161.757568622665,488.593777410665
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,91278100.5910446,93151.170666435,186991.29789326608,1331332.0333424665,11912.060576969245,572.7511835442824
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,76696469.6434258,78270.31749602607,157119.53151199425,1118652.406398721,10009.114853337964,481.2544682153917
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,1686909500.9888992,1721525.6850434206,3455783.971949235,24604331.613054045,220146.6510919887,10585.007870607373
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,55126793.6916189,56258.02165574108,112932.13415069286,804049.009131054,7194.208705102718,345.909217280953
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,76103691.1542626,77665.37502170907,155905.17211698825,1110006.4662866879,9931.755517145428,477.5349059189316
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,71128210.7412006,72587.79542747547,145712.45848540968,1037436.8530651128,9282.440690272966,446.3147964269743
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,1069862.6397555,1091.8167299045847,2191.708660408514,15604.426410193051,139.62022096132353,6.71316656610346
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,88644509.36802019,90463.53701258585,181596.15230929555,1292919.924198783,11568.369176596856,556.2259438234779
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,82912963.2872979,84614.37671436302,169854.5709908062,1209322.7541377603,10820.385556504945,520.2616788020687
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,84450558.52649069,86183.5241275661,173004.47143347457,1231749.270278953,11021.046257313534,529.9097705850445
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,37019059.6924528,37778.708323058185,75836.83242508561,539939.587839345,4831.096163230237,232.28693536242662
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,70313785.65123591,71756.65811752576,144044.03633575447,1025558.0978587612,9176.15582066394,441.2044475757713
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,88359861.259666,90173.04796511352,181013.02537310723,1288768.2038859057,11531.221761347779,554.4398358766294
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,56562367897.98093,57723054.58692422,115873035.44342001,824987502.751258,7381555.361042096,354917.1482099476
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,19358613.992847,19755.86199020787,39657.84051553915,282354.06698574685,2526.35605985363,121.47129490500897
,,,,wind_onshore__electricity___PRT_9_1,kilowatt hour,168210974.10594958,171662.74290247014,344595.1237342839,2453432.4961897517,21952.026830552615,1055.4890370722867
,,,,wind_offshore__electricity___PRT_15_1,kilowatt hour,13195780.4562148,5027.1673353462265,27566.12443532018,224507.45202197199,2480.9903368001815,91.26553884150027
,,,,wind_offshore__electricity___PRT_9_1,kilowatt hour,42509739.5448465,16194.841590969156,88803.29389204568,723242.8080190241,7992.422530762652,294.0087021243846
,,,,wind_offshore__electricity___PRT_3_1,kilowatt hour,22563546.692420803,8595.984539113791,47135.48682329219,383886.6820510897,4242.260735766116,156.05550985367722
,,,,wind_offshore__electricity___PRT_12_1,kilowatt hour,7839441.018060001,2986.5745282571074,16376.674901477043,133376.9483388856,1473.9239922870734,54.21966598129655
,,,,wind_offshore__electricity___PRT_18_1,kilowatt hour,12666068.3948999,4825.364112760419,26459.550357078322,215495.15407011518,2381.3970986683294,87.60190887616862
