lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,41903182353.085846,138619386806.17178,419270264596.351,19511445845.244453,281030117.0279898
,Energysystem,,,,,,41903182353.085846,138619386806.17178,419270264596.351,19511445845.244453,281030117.0279898
,,Generation,,,,,8049262293.100755,405120323.6459107,17332529977.98672,370369613.77603215,4128837.3456624383
,,,Electricity_generation,,hour * terawatt,134.9898965503883,2583654636.9728365,366961312.445379,7931632948.762191,323647553.78807724,3681201.7083551744
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,9241.43223781406,9.432547239704451,18.93196076961761,134.79382109551813,1.206188477597802,0.05798989481440464
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,9211.054381676013,9.401541157378368,18.86972881643228,134.35073530711745,1.2022235705376751,0.05779927407267534
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,9182.771114778385,9.372673010730997,18.811787829837286,133.93820080625198,1.1985320484998987,0.05762179685412002
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,9187.001111892556,9.376990511308852,18.820453384681432,133.9998987601725,1.1990841462208632,0.057648340042985476
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,9211.90249821549,9.402406874715039,18.871466264382693,134.3631057773314,1.2023342664042276,0.05780459599503096
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,9195.264939385484,9.385425197051092,18.837382628561006,134.1204334213916,1.2001627380869089,0.05770019547890667
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,9189.048344907857,9.379080049221974,18.8246473383461,134.0297593255573,1.1993513503758357,0.05766118641166246
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,9317.569969623584,9.51025950613971,19.087936219702957,135.9043519690509,1.2161259475213522,0.058467658321151854
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,4649.138350228976,4.7452836512954475,9.524206053166164,67.81147195626981,0.6068038984114577,0.029173296624484483
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,9182.4973281771,9.37239358710188,18.811226951755778,133.93420740568405,1.1984963139719673,0.05762007884622632
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,9187.356199863189,9.377352914909332,18.821180816703492,134.00507800924174,1.1991304921900374,0.0576505682174282
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,9258.428048991109,9.449894544280117,18.966778319581643,135.0417188515454,1.2084067648662853,0.05809654335768926
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,9201.20340087975,9.391486469831674,18.8495481369757,134.2070507239679,1.2009378240013875,0.057737459267097224
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,9235.657519667076,9.426653125992983,18.92013070519314,134.70959212384673,1.2054347634132245,0.05795365851489101
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,9167.4142851285,9.356998597924104,18.780327890769307,133.7142089305507,1.19652768051345,0.057525432901444185
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,9186.585011200908,9.376565803272634,18.81960096290096,133.99382959717957,1.1990298369395151,0.05764572901876284
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,9235.953512279204,9.426955262266338,18.920737074482304,134.71390941725804,1.2054733962642994,0.05795551586590267
,,,,wind_onshore__electricity___PRT_9_1,kilowatt hour,9397.403433128073,9.591743990130041,19.25148273086882,137.0687881007525,1.2265457830412876,0.05896861250647961
,,,,wind_offshore__electricity___PRT_15_1,kilowatt hour,4639.735431718814,1.7684206606720476,9.692493272174762,78.9404111333767,0.8724217058371646,0.0320906730139576
,,,,wind_offshore__electricity___PRT_9_1,kilowatt hour,4681.35616928182,1.7842842723849248,9.77943976416735,79.64854593765389,0.8802477630440769,0.03237854233410886
,,,,wind_offshore__electricity___PRT_3_1,kilowatt hour,4617.3054792466055,1.7598715457601375,9.645636686164192,78.55878815363681,0.8682041426566995,0.031935536525106493
,,,,wind_offshore__electricity___PRT_12_1,kilowatt hour,4652.1818558833465,1.7731645693314122,9.718494082805996,79.15217446649183,0.874762039838906,0.032176758553081816
,,,,wind_offshore__electricity___PRT_18_1,kilowatt hour,4621.688309762816,1.7615420554525845,9.654792500052462,78.6333575849552,0.8690282578338729,0.03196585031656245
,,,,wind_offshore__electricity___PRT_17_1,kilowatt hour,4630.756752390604,1.7649984481873777,9.673736644910857,78.78764797687633,0.8707334210644817,0.03202857208989503
,,,,wind_offshore__electricity___PRT_20_1,kilowatt hour,4628.61852603173,1.7641834727763843,9.669269850188815,78.75126821338903,0.870331364698585,0.032013783072094244
,,,,wind_offshore__electricity___PRT_11_1,kilowatt hour,4601.534278008207,1.753860423034679,9.612690354322071,78.29045709462633,0.8652386420188063,0.03182645520403787
,,,,wind_offshore__electricity___PRT_7_1,kilowatt hour,4621.665662330887,1.7615334190585006,9.654745189072427,78.63297226111033,0.8690239993733179,0.031965693675574565
,,,,wind_offshore__electricity___PRT_4_1,kilowatt hour,4625.846022854319,1.7631267413392344,9.663478039841504,78.70409687387392,0.8698100436147204,0.03199460708896946
,,,,wind_offshore__electricity___PRT_1_1,kilowatt hour,1813.719010638179,0.6912933273005328,3.788892613993631,30.858596677809043,0.34103837523649455,0.012544565216053833
,,,,wind_offshore__electricity___PRT_16_1,kilowatt hour,4605.189221439959,1.7552534801487119,9.620325599005144,78.35264226576982,0.8659258906930415,0.03185173457598357
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,337785148.8113518,59952.19467199415,140633.03472415457,1475572.5675421774,7263.274544713008,359.94294711823505
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2204169488.383327,391209.61519596213,917681.0919206,9628641.290740147,47395.47666125591,2348.7570852811536
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2156964659.243308,237153.94711928387,723734.057737789,112298418.20797053,63088883.9108086,2923.3727392074934
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,393819167.621122,43299.629762378114,132139.55221929416,20503474.358991258,11518784.807822559,533.7501539339174
,,,,ccgt__electricity___PRT_1,kilowatt hour,442889.4437977,277.9237385310169,1744.7478403899345,236969.9661288692,403.5797251942759,4.215264189504451
,,,,ccgt__electricity___PRT_2,kilowatt hour,187924.3476493,117.92702257622167,740.3215498884847,100549.75778208686,171.24466986130716,1.788597096401302
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,1424206.6895418002,562772.8873194465,2284.7128497530034,2256205.0084872544,1668.0713986927724,26.906910996981047
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,2953844.2368619,1167206.6014722981,4738.557916980791,4679431.862269187,3459.6264179103255,55.8056808493841
,,,,open_field_pv__electricity___PRT_11_1,kilowatt hour,15185283666.14674,345581440.58803433,45114198.56842907,1018792371.4994678,33174583.334195286,482457.945006264
,,,,open_field_pv__electricity___PRT_17_1,kilowatt hour,5903919.2501666,134359.35512900137,17540.046747748092,396098.48760542483,12898.017940860182,187.5758669736871
,,,,open_field_pv__electricity___PRT_7_1,kilowatt hour,263927.43168120005,6006.369328699857,784.1061663492866,17707.09457511072,576.5899912694952,8.385347888074037
,,,,open_field_pv__electricity___PRT_14_1,kilowatt hour,6470872.6694188,147261.8849638705,19224.417596417366,434135.82897017343,14136.614720947031,205.58877918398403
,,,,open_field_pv__electricity___PRT_20_1,kilowatt hour,3861843.2750073,87886.49529083841,11473.211049531985,259094.03834688704,8436.789484278395,122.69622427602846
,,,,open_field_pv__electricity___PRT_8_1,kilowatt hour,7460583.6154119,169785.38487013028,22164.765444022036,500536.2982622596,16298.790217728112,237.03329610255508
,,,,open_field_pv__electricity___PRT_10_1,kilowatt hour,176489.6060156,4016.4894906023533,524.3357520370041,11840.82353749783,385.56863810431054,5.6073244665884605
,,,,open_field_pv__electricity___PRT_4_1,kilowatt hour,872899.6087582,19865.14778422676,2593.311204796841,58563.50675031909,1906.9831983246406,27.733255479261935
,,,,open_field_pv__electricity___PRT_18_1,kilowatt hour,1328317.7102845,30229.3956165313,3946.3200201416576,89117.85778377065,2901.913954519042,42.20253285410246
,,,,open_field_pv__electricity___PRT_15_1,kilowatt hour,359338.4783014,8177.700966340873,1067.5643484608536,24108.295144722877,785.0300696172743,11.416691819165946
,,,,open_field_pv__electricity___PRT_12_1,kilowatt hour,2793135.4293086,63565.211323282965,8298.170067523164,187393.60623788115,6102.033132898659,88.74186409520858
