lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,98876116378.69899,391204294667.53937,1599666729629.3738,36708201833.044945,804167283.3268594
,Energysystem,,,,,,98876116378.69899,391204294667.53937,1599666729629.3738,36708201833.044945,804167283.3268594
,,Generation,,,,,6780288259.089682,407130688.6520909,13514126777.094069,300926706.513087,3376338.2352256267
,,,Electricity_generation,,hour * terawatt,152.14323612447293,1863880807.4973154,371040090.77967054,6442007252.969522,255523970.9032099,2953082.6631572414
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,30582413169.385925,31210939.770345997,62650848.810354605,446060068.4781288,3991198.202617849,191899.85818317838
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,1348637437.1198132,1376354.4966571797,2762806.182283565,19670563.739543315,176005.7090731495,8462.488930911102
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,780792361.1465071,796839.1276317609,1599524.0107195189,11388254.1625527,101898.3378174148,4899.349915359349
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,679295303.3166488,693256.1101178845,1391598.076659113,9907867.89257659,88652.33030046908,4262.471756284786
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,447545134.57387817,456743.0357787898,916836.8240652824,6527673.675507626,58407.468594409445,2808.2757035250656
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,447920726.1252347,457126.3475462471,917606.2574279069,6533151.869387092,58456.48566460502,2810.6324816308424
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,654994514.3239864,668455.8960828679,1341815.7050319172,9553428.511079937,85480.92375189454,4109.9881069236035
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,6909738171.857466,7051746.4092987,14155225.721533602,100782049.63811207,901764.5016837576,43357.526037449796
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,983400.8018215,1003.6115543465792,2014.585788673835,14343.401436870572,128.34001983137733,6.170686183545674
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,1720641367.6925175,1756003.8133758404,3524889.9943908886,25096430.489466447,224554.57311712243,10796.755397387788
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,488304575.4330685,498340.1625588132,1000336.2376682783,7122170.87471831,63726.833228869225,3064.0348181443633
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,1306718111.4187157,1333573.6534975783,2676930.6392536354,19059149.028654102,170534.97213155258,8199.451719901348
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,440747179.4747439,449805.370474224,902910.5961058933,6428522.038838166,57520.292489752566,2765.619598750317
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,344899311.38337183,351987.64816311933,706557.5398756705,5030532.077482184,45011.53993520093,2164.189221340328
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,735441017.1493114,750555.7276123079,1506617.6668079935,10726781.717878515,95979.70080195232,4614.7773269445825
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,627842551.7638328,640745.9094874789,1286192.4456286689,9157403.311641281,81937.4210355356,3939.613789778842
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,370752432.1762759,378372.09962248185,759520.0040571574,5407613.008495397,48385.53559299808,2326.4135097306194
,,,,wind_onshore__electricity___PRT_9_1,kilowatt hour,193263122.6659835,197235.0466317665,395917.0459132354,2818841.052680387,25222.058951170562,1212.695859794023
,,,,wind_offshore__electricity___PRT_15_1,kilowatt hour,66668719.8537719,25400.983389481527,139271.8015449456,1134278.0632026438,12534.899504957084,461.102437177501
,,,,wind_offshore__electricity___PRT_9_1,kilowatt hour,114428670.0365194,43597.66888657848,239042.94335881807,1946848.9946172854,21514.615587422646,791.4257053411472
,,,,wind_offshore__electricity___PRT_3_1,kilowatt hour,87278272.3981829,33253.28505746965,182325.41826334398,1484921.7142726332,16409.860214224187,603.6447707755024
,,,,wind_offshore__electricity___PRT_12_1,kilowatt hour,98578711.4697795,37558.786429926346,205932.1788409605,1677183.395174079,18534.5428004238,681.8022636468328
,,,,wind_offshore__electricity___PRT_18_1,kilowatt hour,74059937.71643029,28217.05967754001,154712.14941897057,1260029.6344954947,13924.579302277461,512.2224913012845
,,,,wind_offshore__electricity___PRT_17_1,kilowatt hour,88501438.1289539,33719.3149997576,184880.62699432208,1505732.2242130304,16639.837024292923,612.1045807398906
,,,,wind_offshore__electricity___PRT_20_1,kilowatt hour,27230410.635207,10374.868577834119,56884.673264766665,463288.59324826853,5119.799233179535,188.33433034807805
,,,,wind_offshore__electricity___PRT_11_1,kilowatt hour,85305308.3117864,32501.57994331463,178203.8712587851,1451354.3998500172,16038.908040630033,589.9991128168573
,,,,wind_offshore__electricity___PRT_7_1,kilowatt hour,68079730.792528,25938.58288067739,142219.4212975771,1158284.5051817333,12800.194539235477,470.8614453629175
,,,,wind_offshore__electricity___PRT_4_1,kilowatt hour,67522831.0315614,25726.402136899673,141056.05063028165,1148809.6092432614,12695.487525819915,467.0097464210295
,,,,wind_offshore__electricity___PRT_1_1,kilowatt hour,519490.8606995,197.92758457606163,1085.2229983219413,8838.434105263932,97.67347785847961,3.592966873750565
,,,,wind_offshore__electricity___PRT_16_1,kilowatt hour,79464545.6420833,30276.23149502194,166002.44394166538,1351981.7257442465,14940.741265020775,549.6025083887023
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,335529725.68988323,59517.56646979675,139692.62149610894,1465638.2462723267,7211.212880278824,357.50041279806726
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2400466397.2705564,425804.05649982404,999397.1269224258,10485554.904376844,51590.88115768335,2557.6503726406427
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2097754897.761161,230218.43016664614,703849.9211353278,109214756.3408151,61357018.22417466,2842.6391633398007
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,377840844.4030474,41466.201134504976,126775.17703019014,19671409.563228294,11051428.172384579,512.0069952120458
