lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,154615102021.8301,464261375139.0326,2474080390433.5938,27198130479.28531,1025029186.9731265
,Energysystem,,,,,,154615102021.8301,464261375139.0326,2474080390433.5938,27198130479.28531,1025029186.9731265
,,Generation,,,,,7188865025.280235,473845211.8207637,14878562499.921322,609930965.785567,4044503.2515154043
,,,Electricity_generation,,hour * terawatt,175.43160945032167,2277768056.6584015,437794643.8759514,7816437842.142432,564573540.5382179,3621683.6880312623
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,2650568401.597201,2705073.2059187647,5429931.537593174,38659979.27368732,345915.99865489564,16631.95380941667
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,2070734648.577077,2113316.0741299326,4242089.118531557,30202789.162896924,270244.0138803674,12993.576398842037
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,1503162125.7321603,1534072.3079802466,3079364.949664477,21924435.751387253,196172.19746017247,9432.136528839932
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,1786964756.005227,1823710.8942760497,3660760.5672229696,26063851.205991928,233210.2419113734,11212.959176188646
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,879076388.8429192,897153.2249558861,1800868.2986084116,12821806.429178938,114725.047939334,5516.083978497965
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,731087027.5663449,746120.6928427594,1497698.5710986233,10663301.243464755,95411.49705439626,4587.470998852714
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,1045164858.7517468,1066657.0420978419,2141115.703744443,15244296.941056946,136400.64736815623,6558.266386515522
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,2559064717.80068,2611687.8914455855,5242477.881160962,37325348.36289199,333974.1871748691,16057.780721599616
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,16174.96885883448,16.507581861024832,33.13590151935379,235.9207030660442,2.1109360930281067,0.10149571494223344
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,2050294740.6640875,2092455.855149296,4200216.099684272,29904662.007923122,267576.47617176163,12865.318775053156
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,1055399831.1755022,1077102.4814071914,2162082.979850012,15393579.570863454,137736.37622646766,6622.489437058659
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,2439190617.72713,2489348.767663722,4996904.834938862,35576919.52707163,318329.85631419823,15305.587156307634
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,909649727.295894,928355.2553927768,1863500.5757420876,13267735.17044917,118715.06264615388,5707.927491246496
