lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,61181952725.58498,151212425811.71887,786977159868.5898,10907894980.61753,344297473.9554261
,Energysystem,,,,,,61181952725.58498,151212425811.71887,786977159868.5898,10907894980.61753,344297473.9554261
,,Generation,,,,,4504576656.135647,359836156.9401735,9939211975.00528,263952181.48142406,2811411.8111635717
,,,Electricity_generation,,hour * terawatt,142.0040330834596,1620097136.6232285,338695724.60298616,5742875692.522982,237416306.13002983,2563690.054381222
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,72660884.9727205,74153.06032348334,148852.34350455774,1059793.4191836866,9482.634327075682,455.9338433170559
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,27790800.3943611,28361.516643344446,56931.948574032685,405341.9853516836,3626.8481714534582,174.38222006163187
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,37048287.3397367,37809.116812541506,75896.74135478743,540366.8167526507,4834.999758433201,232.47126761775064
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,14682415889.695995,14983936.306405054,30078246.56083709,214149989.28095672,1916133.8452667037,92129.49042243655
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,26680145.7575117,27228.05343332155,54656.67287836404,389142.5614610508,3481.90179769688,167.4130641234177
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,11377834032.901312,11611491.01118435,23308514.07156363,165951097.86246026,1484868.2287670872,71393.84004699401
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,15137388197.89905,15448252.008234097,31010298.163326666,220785975.86549738,1975510.1662038679,94984.35893747001
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,39684243.911327206,40499.20578026145,81296.73494315856,578813.4917172994,5179.006197039761,249.0114158730859
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,1001808.7202048,1022.3820206392741,2052.295066346016,14611.854636128786,130.7413990753831,6.286167588666659
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,41635516.40418249,42490.54998910209,85294.09175375731,607273.7251421075,5433.657699438282,261.25529602161777
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,8229654588.391371,8398660.061802562,16859185.959490806,120033409.70041372,1074013.9640545675,51639.58637728057
