lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,93892918654.3271,429732968714.95874,1577532647181.49,45232891511.64635,858640949.1965293
,Energysystem,,,,,,93892918654.3271,429732968714.95874,1577532647181.49,45232891511.64635,858640949.1965293
,,Generation,,,,,6806394720.754326,409597554.5559854,13565915015.42769,303449873.3972297,3402024.4329717173
,,,Electricity_generation,,hour * terawatt,152.85678682010865,1893331548.4458144,373532150.0018579,6500083855.962965,258075648.3077068,2979044.2138712867
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,33830379218.82673,34525743.15230678,69304605.14036462,493433422.3160063,4415084.930328887,212280.38708122206
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,362263696.0325357,369709.8181136689,742130.0910520823,5283801.702471194,47277.77287974834,2273.1485544443235
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,280367011.70936066,286129.7951356433,574357.2933382931,4089296.5815104092,36589.72192843722,1759.2595514359418
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,283490461.38065696,289317.4444897788,580755.9637455229,4134853.696083374,36997.352463579686,1778.8587141296262
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,270915841.3757276,276484.360928876,554995.7123280432,3951446.4175964007,35356.28261549362,1699.9549222317794
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,161138157.5192126,164450.25930516096,330106.1542268171,2350282.6266275747,21029.579549267,1011.1169676880743
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,244434324.7241726,249458.53203009657,500745.9197593717,3565199.9228019877,31900.27213589806,1533.7875089267804
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,6354507197.0655775,6485120.443159676,13017785.266327742,92683744.77991652,829304.5958362957,39873.54793576108
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,371266.3276475,378.89749354408207,760.572799770043,5415.109699368031,48.45267496803729,2.32963867272952
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,4434102235.788669,4525242.674482548,9083661.244723003,64673654.02432061,578679.23484416,27823.304400290093
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,173869734.4396151,177443.5265594832,356187.94613821857,2535979.2021617033,22691.13329735944,1091.0056398949675
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,310243508.5538644,316620.3856469221,635562.0112506934,4525060.6026796345,40488.79944529499,1946.7299393745327
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,216306662.69893208,220752.72285780532,443123.8488554384,3154943.5539977793,28229.428959099594,1357.290788538969
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,107462675.841877,109671.50962830389,220147.0538804112,1567398.2124130824,14024.579435585509,674.3116379993517
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,323259606.3598637,329904.02263445914,662226.6700459516,4714907.061183733,42187.485022983914,2028.4039360440884
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,447240920.3884678,456433.7021040819,916213.6548889282,6523238.079031863,58367.85437948937,2806.3674688998963
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,214237025.5539047,218640.5443399868,438884.00914929475,3124756.8353390032,27959.327825650544,1344.30413615287
,,,,wind_onshore__electricity___PRT_9_1,kilowatt hour,25936885.6116102,26470.00342201325,53134.06640388747,378302.77186012483,3384.9325797690904,162.7499379098383
,,,,wind_offshore__electricity___PRT_15_1,kilowatt hour,44684642.434676,17025.110092506227,93346.78953659888,760248.9016367393,8401.513604259493,309.0535189154026
,,,,wind_offshore__electricity___PRT_9_1,kilowatt hour,82487473.2477321,31428.21002990108,172317.38658347557,1403413.0636177773,15509.123289736255,570.5101906393978
,,,,wind_offshore__electricity___PRT_3_1,kilowatt hour,50373587.71467,19192.631509363426,105231.0689829018,857038.6299269741,9471.137272589469,348.4001145573817
,,,,wind_offshore__electricity___PRT_12_1,kilowatt hour,64668760.453999095,24639.175961435405,135093.86766129432,1100251.7067524053,12158.8859418834,447.27017813220357
,,,,wind_offshore__electricity___PRT_18_1,kilowatt hour,51558132.3546054,19643.949904921406,107705.59788547717,877192.0587636909,9693.852894003867,356.5928105130828
,,,,wind_offshore__electricity___PRT_17_1,kilowatt hour,57725176.9978939,21993.630228340244,120588.63301359779,982116.002634466,10853.367810806058,399.2460968173058
,,,,wind_offshore__electricity___PRT_20_1,kilowatt hour,11480552.5280901,4374.157643915168,23983.02106048769,195326.11147827702,2158.5496267389726,79.40323485883442
,,,,wind_offshore__electricity___PRT_11_1,kilowatt hour,58644934.6956761,22344.06296765049,122510.01861176563,997764.4389452263,11026.29874193928,405.60744019376824
,,,,wind_offshore__electricity___PRT_7_1,kilowatt hour,45456105.027201205,17319.041959286824,94958.38475678717,773374.2967578381,8546.562397460706,314.3892050796252
