lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,72226082937.31502,175164559365.87427,995698300221.0636,9722267313.87513,405703275.228691
,Energysystem,,,,,,72226082937.31502,175164559365.87427,995698300221.0636,9722267313.87513,405703275.228691
,,Generation,,,,,4265669140.9528627,354965015.6954259,9375254963.874657,242196771.33625934,2587643.7446683897
,,,Electricity_generation,,hour * terawatt,143.82375860736292,1412941676.2975163,334041130.6011388,5248965224.982931,215901920.90620023,2342348.7254347587
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,21518917774.99032,21960199.01534532,44083409.24345919,313862027.3116511,2808274.0000760667,135026.58928869475
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,28551992.2887198,29137.49830127225,58491.285385722644,416442.2336247412,3726.1082751647327,179.1576219761197
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,23067924.0250937,23540.97019376858,47256.68575993214,336454.90335398057,3010.4232913539527,144.74627095932703
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,27136711.662628,27693.195102870468,55591.95765425205,395799.79931126244,3541.410520944197,170.27703987803076
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,39318866989.18399,40125165.74310805,80548181.95640887,573481409.8737935,5131213.057781185,246717.44924916796
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,21653072.9272932,22097.10523483386,44358.237956145924,315818.73389173514,2825.7815917456296,135.86838406641652
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,19922713.572305106,20331.261971577467,40813.44353875137,290580.75022679847,2599.96525473206,125.01075058707738
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,29621256.8918617,30228.690092921817,60681.76864237488,432037.8857653008,3865.650050246144,185.8670278092188
