lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,99983459297.9415,459676918894.5126,1698865879183.117,47909862193.36635,918599205.0740874
,Energysystem,,,,,,99983459297.9415,459676918894.5126,1698865879183.117,47909862193.36635,918599205.0740874
,,Generation,,,,,6812390704.254406,408469609.34481543,13583529360.09008,303912917.755032,3413334.029270964
,,,Electricity_generation,,hour * terawatt,152.06020379077287,1898995852.758106,372401704.19851637,6517032554.109689,258535925.69305167,2990326.6790589704
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,63267103.750291005,64567.6430819988,129608.4158372216,922783.5327448664,8256.783083494644,396.99147963386696
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,1604389904.8432698,1637370.268939144,3286738.6307547567,23400859.15966139,209383.6866305129,10067.303298120376
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,1584310893.8092244,1616878.5104608317,3245604.950592796,23107996.366439532,206763.24047901167,9941.310549593694
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,2577094215.0676746,2630069.813260664,5279411.872488864,37588256.187387146,336328.14935704257,16170.875304205922
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,463293945.4659412,472817.5677197249,949099.7813959775,6757382.5630641645,60462.97972974349,2907.0992350719207
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,296745020.0381431,302845.0085383356,607909.160920961,4328180.075957931,38727.22341189381,1862.0299902654056
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,312011257.2457382,318425.06304122444,639183.43622539,4550846.066162987,40719.57017135679,1957.823313165646
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,13289752.1834288,13562.940697677617,27225.265979724754,193837.93065079665,1734.402153853379,83.39117915421826
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,441936.658457,451.02125429838446,905.3474366207543,6445.875451307267,57.6757099536144,2.7730854985794453
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,19810439.5053894,20217.66942178051,40583.486980564194,288945.5383379159,2585.395760038826,124.30750303860762
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,528651756.7495076,539518.8942609715,1082991.2017539265,7710660.149889633,68992.6142252554,3317.2095873740013
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,674785265.0289092,688656.3727894358,1382358.9835312914,9842093.18593187,88064.02112725355,4234.175186304583
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,483144979.8262179,493076.6655747396,989766.4306273395,7046920.198469445,63053.673391990116,3031.6614647106335
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,185774970.9070229,189593.82271876288,380576.9231429636,2709624.3353602155,24244.884722031376,1165.7097639565993
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,799406396.9078951,815839.2558578808,1637656.705825273,11659757.051088594,104327.91804392214,5016.153886349355
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,613707600.9063258,626323.1768173765,1257235.8339150522,8951243.766258683,80092.97466030075,3850.9221083263305
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,388980348.88396734,396976.3566415564,796861.6203636458,5673480.20114697,50764.55494373935,2440.7926884381523
,,,,wind_onshore__electricity___PRT_9_1,kilowatt hour,36094239367.813385,36836204.33103038,73942331.92349955,526453207.77250636,4710541.298072358,226485.87723634098
,,,,wind_offshore__electricity___PRT_15_1,kilowatt hour,66377805.46110519,25290.473595190568,138664.09197329107,1129329.2649052707,12480.233248376966,459.09073353860435
,,,,wind_offshore__electricity___PRT_9_1,kilowatt hour,85448661.48433849,32556.621981764314,178503.35624790873,1453794.282476082,16065.900622777477,590.9910460155329
,,,,wind_offshore__electricity___PRT_3_1,kilowatt hour,67400041.9215357,25679.95407438716,140799.5571339,1146721.246244981,12672.432273342898,466.160857136923
,,,,wind_offshore__electricity___PRT_12_1,kilowatt hour,103795007.4720498,39546.72664433829,216829.1097128717,1765932.7342656262,19515.346949114974,717.8804088102895
,,,,wind_offshore__electricity___PRT_18_1,kilowatt hour,77114779.28847429,29381.34647233389,161093.76882136607,1312004.4629762003,14498.979376239336,533.3511758108789
,,,,wind_offshore__electricity___PRT_17_1,kilowatt hour,80845604.66557659,30802.82114435431,168887.5111732705,1375479.449150717,15200.442321834054,559.154791179215
,,,,wind_offshore__electricity___PRT_20_1,kilowatt hour,13508823.7486741,5146.969642620701,28220.10709421511,229834.5039937829,2539.9042666086734,93.43146796313106
,,,,wind_offshore__electricity___PRT_11_1,kilowatt hour,90315721.58820432,34411.01069209125,188670.70760065896,1536600.7774024133,16980.996337711877,624.6532344321656
,,,,wind_offshore__electricity___PRT_7_1,kilowatt hour,69148993.8385791,26346.318301559244,144453.14024882176,1176477.315567221,13001.267005025707,478.25718378639806
,,,,wind_offshore__electricity___PRT_4_1,kilowatt hour,66826431.891364194,25461.403915292012,139601.27837662352,1136962.0414756425,12564.583167223756,462.1935814958264
,,,,wind_offshore__electricity___PRT_1_1,kilowatt hour,231925.5309235,88.36547784768591,484.49542626645183,3945.9016087627524,43.60621298196419,1.6040732498016916
,,,,wind_offshore__electricity___PRT_16_1,kilowatt hour,80376644.1465925,30624.143060115413,167907.84659637907,1367500.7153586266,15112.269224957621,555.9113059861352
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,318899650.909396,56568.78508179699,132768.99541340666,1392998.3265617124,6853.9041310291905,339.78260167839414
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2374357655.138382,421181.1685246178,988527.5186705051,10371526.688061377,51030.534822856374,2529.8410300718656
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2102318369.185081,230733.96473925546,705381.7196815499,109452374.92436063,61490496.10809827,2848.8388915847518
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,377715893.3779375,41455.13245409455,126733.36747310968,19664910.026445605,11047773.7397722,511.84051993461236
,,,,ccgt__electricity___PRT_1,kilowatt hour,635548.6349244,398.5645736698427,2503.711718569664,340052.50769709557,579.1121609724845,6.048631550036458
,,,,ccgt__electricity___PRT_2,kilowatt hour,148891.04117860002,93.37238526185294,586.5487312626012,79664.66946748021,135.66957414392357,1.4170230335541134
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,374310.4372544,147907.5949966246,600.4467709817446,592975.1816711819,438.3460101054962,7.071056948833874
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,1345256.178781,531573.7587212007,2157.980778267885,2131128.196312792,1575.3973703340523,25.41308524745446
,,,,open_field_pv__electricity___PRT_11_1,kilowatt hour,17098701566.81174,389112769.24822444,50798252.24666686,1147132602.7530558,37353323.76559239,543234.4177776643
,,,,open_field_pv__electricity___PRT_17_1,kilowatt hour,503479435.64875376,11457611.371078353,1495778.803628724,33777867.47091275,1099886.4618825223,15995.79693340967
,,,,open_field_pv__electricity___PRT_7_1,kilowatt hour,50173146.72555339,1141783.3084196053,149058.5792971156,3366059.8242905973,109606.79012117336,1594.0263091337195
,,,,open_field_pv__electricity___PRT_14_1,kilowatt hour,661550850.297608,15054820.529774927,1965390.5787037609,44382700.39336407,1445204.654985829,21017.80591862398
,,,,open_field_pv__electricity___PRT_20_1,kilowatt hour,161635066.7895525,3678306.695731055,480198.97082009166,10843914.32518557,353103.2434288403,5135.228020488422
,,,,open_field_pv__electricity___PRT_8_1,kilowatt hour,885784810.5660653,20157681.517616596,2631563.576195743,59426303.87772192,1935059.6117742157,28141.832522426546
,,,,open_field_pv__electricity___PRT_10_1,kilowatt hour,9504371.3875527,216289.65541071282,28236.381184091406,637637.556555456,20762.97198594107,301.9586976756547
,,,,open_field_pv__electricity___PRT_4_1,kilowatt hour,15152336.5251026,344819.61106955505,45015.82824428938,1016553.1673798689,33101.351574316635,481.39741360010544
,,,,open_field_pv__electricity___PRT_18_1,kilowatt hour,31830115.0179593,724353.4927631106,94563.56702932225,2135446.5158539712,69535.13909322879,1011.2588919112527
,,,,open_field_pv__electricity___PRT_15_1,kilowatt hour,5243830.951015799,119333.13041690402,15578.811429038311,351802.7040668183,11455.51985453206,166.5991679232994
