lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,85890069416.80594,241918719232.5685,1265616520761.9866,15875422538.673944,540416598.0507082
,Energysystem,,,,,,85890069416.80594,241918719232.5685,1265616520761.9866,15875422538.673944,540416598.0507082
,,Generation,,,,,4497207545.72384,369316323.46292585,9947773557.639288,263371796.57272285,2871363.8232457214
,,,Electricity_generation,,hour * terawatt,146.01182431446367,1642142994.7513092,348379949.48341066,5816175676.851711,237061102.59977266,2625903.588892488
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,47998066.1741836,48983.618627788805,98328.3470781693,700073.9890642859,6263.9860174666965,301.1790796640514
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,21543118.3164508,21985.466769017214,44133.01167739747,314216.3420080399,2811.4839338986044,135.17912417883463
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,19110884.1348364,19503.29120734937,39150.36162802576,278741.08182138094,2494.0652935216376,119.91729988245169
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,24678097.6329364,25184.817165852404,50555.29821662681,359941.46492338483,3220.614304500904,154.85054555966596
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,35220347959.65186,35943533.413331345,72152044.33106403,513705060.59664327,4596430.330136764,221001.2367096071
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,16380054.7010803,16716.38917126987,33556.01240146282,238910.67181555383,2137.678489783227,102.78184503702377
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,14846176.7996178,15151.015894479928,30413.725832751643,216538.3533718937,1937.4998056721176,93.15704196928938
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,25178551.1358252,25695.54660571739,51580.52213976281,367240.8106667456,3285.9259721077424,157.99079968525015
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,1027858.982733,1048.964186528481,2105.661391316933,14991.798536679133,134.14070209334508,6.4496269769934225
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,21683101.184911903,22128.32400855813,44419.77914975934,316258.056876264,2829.752393494007,136.05749105712619
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,13606911.4658944,13886.304510484179,27874.979555177353,198463.09545737715,1775.7695248570465,85.38087883807596
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,30558438.8809638,31185.900552427996,62601.70510977207,445708.961054339,3988.0280420544022,191.7486105540229
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,9806339.8591779,10007.69508948564,20089.167462011184,143030.00121627926,1279.7760546639167,61.53298766048241
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,10184993.294558,10394.12354189021,20864.87301400689,148552.83665638446,1329.1922085512574,63.90896865658094
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,16910339.676701102,17257.562524289187,34642.348774897015,246645.12338618876,2206.8833127674675,106.10928619744988
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,17495210323.846046,17854442.45301327,35840508.79627093,255175732.2145862,2283211.8369732066,109779.24245321217
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,7365464.737495599,7516.701091967021,15088.81567147791,107428.7089252721,961.2297287095876,46.21694305011352
,,,,wind_onshore__electricity___PRT_9_1,kilowatt hour,178526038.6966762,182191.7448016666,365726.61555959313,2603884.823354052,23298.534696849678,1120.2182153519027
,,,,wind_offshore__electricity___PRT_15_1,kilowatt hour,6392882.451042401,2435.57330040083,13354.805460372498,108765.90972672813,1201.9653680320514,44.2150528671372
,,,,wind_offshore__electricity___PRT_9_1,kilowatt hour,6997226.1604179,2665.8173785258896,14617.28646726245,119047.96854291587,1315.5917665884112,48.39487148343711
,,,,wind_offshore__electricity___PRT_3_1,kilowatt hour,9366434.8031763,3568.4432620956977,19566.59075349402,159356.72368050838,1761.0413364621695,64.78101438247529
,,,,wind_offshore__electricity___PRT_12_1,kilowatt hour,2303213.9496212,877.4831005724799,4811.440608544608,39185.94819202059,433.04149947986207,15.929704217942142
,,,,wind_offshore__electricity___PRT_18_1,kilowatt hour,6958120.3866497,2650.9187760305126,14535.594052895322,118382.63876413209,1308.23924819024,48.12440446402407
,,,,wind_offshore__electricity___PRT_17_1,kilowatt hour,11994666.7570093,4569.752433915589,25056.997735857753,204072.3963995272,2255.191481050455,82.95863858581961
,,,,wind_offshore__electricity___PRT_20_1,kilowatt hour,7682773.449560501,2926.998554004197,16049.402691639636,130711.59213053105,1444.4857523419962,53.1363179047481
,,,,wind_offshore__electricity___PRT_11_1,kilowatt hour,3520316.1743038,1341.1771752303334,7353.98124820763,59893.231911862276,661.8764162259847,24.347540714108156
,,,,wind_offshore__electricity___PRT_7_1,kilowatt hour,7500329.530514,2857.490720725149,15668.275232502427,127607.56527325472,1410.1833427581778,51.87448217031751
,,,,wind_offshore__electricity___PRT_4_1,kilowatt hour,6765357.0327196,2577.479412322368,14132.909174308968,115103.04122340355,1271.9966178076768,46.791196485250325
,,,,wind_offshore__electricity___PRT_1_1,kilowatt hour,478850.1222825,182.43328714633168,1000.323449811513,8146.961808089899,90.03157306023583,3.31186810235474
,,,,wind_offshore__electricity___PRT_16_1,kilowatt hour,11192537.2103343,4264.155472988905,23381.339825478528,190425.2895553909,2104.3781440156235,77.41087502559898
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,373563209.4256106,66258.51729026674,155526.98109691826,1631759.6015043927,8028.22639361328,398.01643317174603
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2499480511.4066114,443330.25551527453,1040618.1562914209,10917968.41971183,53716.19823847727,2663.0950073850313
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2169382531.945187,238014.99734361185,727879.4192181726,112943722.9518316,63452042.92147842,2939.6096062993965
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,394418672.5418471,43273.8613097635,132336.84242994568,20534466.66164552,11536310.526441518,534.4548052801213
