lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,22153206680.593376,10583286226.830791,95775792335.55443,891686710.895957,41955295.30464217
,Energysystem,,,,,,22153206680.593376,10583286226.830791,95775792335.55443,891686710.895957,41955295.30464217
,,Generation,,,,,5506859400.92817,308454392.1397971,11362861334.952805,140987995.8330337,1307704.135723588
,,,Electricity_generation,,hour * terawatt,138.66450749621495,172799408.22420493,271274078.5955848,2145107599.203358,95500481.06281884,871535.0992595196
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,18473777967.176163,18849661.54749665,37845044.67477494,269440209.52052414,2410604.382895799,115915.54932056121
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,8436566.0173724,8608.223770687286,17282.995302101524,123047.38745422714,1100.8697329573622,52.93606894990841
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,4075053.5368303,4157.96812610523,8348.080366890646,59434.69065701001,531.7451543310309,25.56932697064934
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,6837248.8883815,6976.365528210894,14006.663395638141,99721.33346499065,892.1782088380655,42.90099524590563
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,1593180.9217724,1625.5971680578127,3263.761384681361,23236.557358320766,207.8908233896618,9.996571466745273
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,2399453.3081207,2448.274678652874,4915.476292982245,34996.047003089596,313.0996091490778,15.055607400429906
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,2745586.1379699004,2801.4502332685815,5624.557696481174,40044.39728430259,358.26575319243284,17.227452118993003
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,7348527024.229058,7498046.576709174,15054058.461511338,107178329.44476916,958893.8160760314,46109.06054081369
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,42094.324589240365,42.95081246767645,86.23366576491581,613.9460838550863,5.492799768957007,0.2641250082548149
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,19078183849.670822,19466365.206934847,39083219.54392013,278255474.4786724,2489472.0336539396,119707.9538850315
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,2453258.4008747,2503.1745281824583,5025.700424960835,35780.79474152329,320.1205223999713,15.393212783681657
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,25772663252.016365,26297056.353578936,52797407.974030465,375894513.7726439,3363020.552939647,161713.1278545446
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,1971130.7530359,2011.2371020838002,4038.0225171320703,28748.958877229263,257.20870094557694,12.368055111700539
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,1831692.938357,1868.9621574154057,3752.3727525944073,26715.257158396515,239.01375414984926,11.493138734800954
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,6174318.2704898,6299.946308637405,12648.595819994805,90052.4847350273,805.6737885570819,38.74137143187529
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,5251743.1987474,5358.599754132445,10758.625351574585,76596.71943329353,685.288910329609,32.95258278351888
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,1268413.4608544,1294.2217110518936,2598.448686372276,18499.821165518122,165.5126013444513,7.958785871521555
