lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,45465925513.48432,36150935404.766815,250650216460.8164,3120162905.8057585,105041515.3787486
,Energysystem,,,,,,45465925513.48432,36150935404.766815,250650216460.8164,3120162905.8057585,105041515.3787486
,,Generation,,,,,6669312962.17006,435587348.04438806,13430117316.732624,294630561.2672361,3301076.3329223352
,,,Electricity_generation,,hour * terawatt,169.1098150953144,1753286030.9144647,399507942.834881,6347309310.367097,249256099.76010108,2878001.521133106
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,114720115.8296534,117073.80509424095,235014.40477380736,1673241.0204060678,14971.228222693984,719.8456650187148
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,98540516.6150069,100562.25255199468,201869.0505242093,1437254.7776793928,12859.754828141364,618.321932475002
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,63589104.5361077,64893.749564190475,130267.96080635369,927473.7685724915,8298.518438494253,399.0088478486029
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,87335225.5157937,89127.06478232864,178914.0107822281,1273820.9057913076,11397.43961742305,548.0109833817241
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,35351451.6787335,36076.750268982294,72420.60656992866,515615.75449545437,4613.442439931899,221.82325269119346
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,44149732.9525094,45055.5441690184,90444.67167592928,643942.3782110376,5761.637557828231,277.03069899671715
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,50312109.516320005,51344.3529289533,103068.85052631801,733823.2258252775,6565.841295402108,315.69837312945504
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,165398321.7459678,168791.7656267885,338833.23647713603,2412403.9158091308,21584.845905921466,1037.841219452279
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,1765852.7736742,1802.0824180765383,3617.5071435498053,25755.703570545833,230.44768296274634,11.080371170980804
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,98139121.7768199,100152.6223503192,201046.75734523524,1431400.2655785976,12807.37191629487,615.8032605709086
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,45753697.5232686,46692.41691218313,93730.53637278859,667336.8744052622,5970.958473005409,287.09525422766814
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,123077039.3540993,125602.1859744304,252134.30910289267,1795130.2561405394,16061.825180270467,772.2836801403316
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,38914660.9845253,39713.06521674804,79720.15912248152,567586.6571888655,5078.449115976384,244.18167479966874
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,38260201.5666473,39045.17836553648,78379.44054249716,558041.0919814447,4993.04071787388,240.07507350211716
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,67543124.900887,68928.89360751031,138368.1247209058,985144.8145104419,8814.526819855886,423.81953077054027
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,73021307.87850961,74519.47139287327,149590.67189407104,1065046.4116100906,9529.441784874161,458.19402768291434
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,29422665.94527,30026.32491726201,60274.95940021887,429141.92714308796,3839.7228210630374,184.6213140602303
,,,,wind_onshore__electricity___PRT_9_1,kilowatt hour,71062951060.84654,72520935.23599723,145578803.0247486,1036482955.8212464,9273871.899677454,445905.7323529958
,,,,wind_offshore__electricity___PRT_15_1,kilowatt hour,5742092.8577019,2187.5287601960026,11995.295643043068,97693.36374400431,1079.588626019972,39.71388510938014
,,,,wind_offshore__electricity___PRT_9_1,kilowatt hour,8293702.899662501,3159.5995158873966,17325.63731096197,141105.29980060193,1559.3247166169824,57.361518222619196
,,,,wind_offshore__electricity___PRT_3_1,kilowatt hour,7382655.3062101,2812.523471687668,15422.448787049223,125605.14921865515,1388.0358426569287,51.06046382285912
,,,,wind_offshore__electricity___PRT_12_1,kilowatt hour,7767783.231283,2959.2431886987233,16226.985292488027,132157.54107326406,1460.4449342129597,53.72411391446534
,,,,wind_offshore__electricity___PRT_18_1,kilowatt hour,6157007.9253854,2345.5963419035334,12862.057819756285,104752.54053494599,1157.5980903309646,42.58355122878295
,,,,wind_offshore__electricity___PRT_17_1,kilowatt hour,7490378.2491957,2853.562009937827,15647.48320928331,127437.89851650251,1408.289166120743,51.805505166475996
,,,,wind_offshore__electricity___PRT_20_1,kilowatt hour,5422913.093278999,2065.9328867817467,11328.525576498976,92262.98398583068,1019.57865198205,37.50635053807948
,,,,wind_offshore__electricity___PRT_11_1,kilowatt hour,7236526.3335257,2756.853629597416,15117.183743460639,123118.97715379995,1360.561682877574,50.049795872762104
,,,,wind_offshore__electricity___PRT_7_1,kilowatt hour,6155889.1044254005,2345.170133709791,12859.720590262383,104733.5054211709,1157.3877373330656,42.57581315570493
,,,,wind_offshore__electricity___PRT_4_1,kilowatt hour,6018304.7016759,2292.7554796341265,12572.30524776221,102392.7067922456,1131.5200685421025,41.6242417883299
,,,,wind_offshore__electricity___PRT_1_1,kilowatt hour,713670.6757715,271.8825996684877,1490.8659542378484,12142.069215649486,134.17942958698268,4.93594163754682
,,,,wind_offshore__electricity___PRT_16_1,kilowatt hour,6996794.0241964,2665.5243423760944,14616.380291171768,119040.28036423282,1315.4888704184045,48.39174163573327
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,367357812.42586815,65153.078971637246,152943.33638376664,1604641.2942839651,7894.05837759307,391.39956823866254
,,,,hydro_run_of_river__electricity___PRT_1,kilowatt hour,2496154087.5743093,442707.6782299021,1039232.3815340356,10903353.053443205,53639.21882233392,2659.5150534147474
,,,,hydro_reservoir__electricity___PRT_1,kilowatt hour,2181301857.740692,239266.28779775967,731877.1250647301,113564126.4994528,63800660.519660406,2955.6988105624696
,,,,hydro_reservoir__electricity___PRT_2,kilowatt hour,395734346.5297137,43407.9712880195,132778.0081438597,20602937.291826144,11574790.810962597,536.2263518838411
,,,,ccgt__electricity___PRT_1,kilowatt hour,1544128.1016929,968.1524086524132,6083.0064281862815,826190.6105479572,1406.9872689804326,14.695497929612081
,,,,ccgt__electricity___PRT_2,kilowatt hour,1585615.4888808,994.1646160006085,6246.443673765143,848388.5679465602,1444.789978497274,15.09033426095859
,,,,chp_biofuel_extraction__electricity___PRT_2,kilowatt hour,6350410.2640335,2509341.7318779402,10186.833089085816,10060186.736215994,7436.474523143226,119.96119890091023
,,,,chp_biofuel_extraction__electricity___PRT_1,kilowatt hour,5049121.5864809,1995142.2001646457,8099.407236588185,7998712.508629401,5912.6359527871555,95.37945640103162
,,,,open_field_pv__electricity___PRT_11_1,kilowatt hour,17177362884.509748,390898503.3527909,51031767.72969958,1152398976.05684,37524666.66710228,545728.0967898959
,,,,open_field_pv__electricity___PRT_17_1,kilowatt hour,47760688.8009985,1086871.2444025322,141890.95228913295,3204180.364591529,104335.21950361543,1517.36619735948
,,,,open_field_pv__electricity___PRT_7_1,kilowatt hour,111094758.6902212,2528139.809068772,330048.4457109,7453151.3958581975,242691.14044693025,3529.501683754103
,,,,open_field_pv__electricity___PRT_14_1,kilowatt hour,41044170.4965169,934026.073583121,121937.02779097972,2753580.999090851,89662.70473905728,1303.981129116046
,,,,open_field_pv__electricity___PRT_20_1,kilowatt hour,71856447.2588834,1635208.959585064,213476.396292427,4820722.296020334,156973.41026096858,2282.8930417501037
,,,,open_field_pv__electricity___PRT_8_1,kilowatt hour,47987423.2381868,1092030.9509700737,142564.55156035957,3219391.5780369886,104830.53035166203,1524.5695936969241
,,,,open_field_pv__electricity___PRT_10_1,kilowatt hour,155122886.1889038,3530070.6199798263,460850.43150944734,10406920.806695743,338872.42388797516,4928.283696255393
,,,,open_field_pv__electricity___PRT_4_1,kilowatt hour,49202769.30763131,1119688.1040578466,146175.19067651592,3300927.002036852,107485.5046016476,1563.1813702472832
,,,,open_field_pv__electricity___PRT_18_1,kilowatt hour,42517752.0002404,967559.7896504276,126314.85164833722,2852440.982864482,92881.80508093536,1350.7970946925172
,,,,open_field_pv__electricity___PRT_15_1,kilowatt hour,165767540.72809798,3772306.8448050125,492474.35082994064,11121051.903183078,362126.116323502,5266.466402281062
,,,,open_field_pv__electricity___PRT_12_1,kilowatt hour,42789765.321410194,973749.890414088,127122.96874448533,2870689.876765455,93476.02954219437,1359.4390098140236
,,,,open_field_pv__electricity___PRT_9_1,kilowatt hour,28581450435.225704,650416846.2548424,84911866.2617636,1917479093.68962,62437372.23548429,908038.1345133355
,,,,open_field_pv__electricity___PRT_19_1,kilowatt hour,53317686.7582124,1213329.6642240838,158400.08881573743,3576989.5553219384,116474.71363995153,1693.913082900081
,,,,open_field_pv__electricity___PRT_16_1,kilowatt hour,36122192.964724496,822018.5639821962,107314.4564536648,2423374.2085634405,78910.4392449145,1147.6089636719685
