lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq),water consumption potential (WCP) (cubic meter),freshwater eutrophication potential (FEP) (kg P-Eq)
root,,,,,,,36636772552.1846,15086047573.063862,147371988747.10657,2515317376.3821054,67863953.22678551
,Energysystem,,,,,,36636772552.1846,15086047573.063862,147371988747.10657,2515317376.3821054,67863953.22678551
,,Generation,,,,,6606908746.737742,605950258.5337431,16999987050.67223,424728661.2536088,5287871.709949099
,,,Electricity_generation,,hour * terawatt,227.6729046501352,3331153026.574876,583728916.4968317,10856016932.279583,397969392.41067284,5027174.248302903
,,,,wind_onshore__electricity___PRT_3_1,kilowatt hour,18669698.134337906,19054.223832322696,38246.614471987516,272308.9113968931,2436.5369836223977,117.15036396483488
,,,,wind_onshore__electricity___PRT_8_1,kilowatt hour,14033738.469958698,14322.780821500068,28749.419567631954,204690.61781976756,1831.509141433536,88.06021167272428
,,,,wind_onshore__electricity___PRT_6_1,kilowatt hour,8504571.1953399,8679.733456261725,17422.405729847847,124044.34755096998,1109.9109422015947,53.3652769156109
,,,,wind_onshore__electricity___PRT_14_1,kilowatt hour,12596165.9075667,12855.599638635014,25804.418358608298,183722.74695326202,1643.8950359313699,79.03959721097874
,,,,wind_onshore__electricity___PRT_5_1,kilowatt hour,5822865.282809,5942.79445955527,11928.681545131203,84930.0344824302,759.9280132861027,36.5378584192986
,,,,wind_onshore__electricity___PRT_4_1,kilowatt hour,6124818.2296609,6250.966499263093,12547.260263854998,89334.20201027943,799.3351594127861,38.43258094743868
,,,,wind_onshore__electricity___PRT_18_1,kilowatt hour,6711306.8637123,6849.534636645638,13748.736823256619,97888.49572989272,875.8763673719574,42.11273455553131
,,,,wind_onshore__electricity___PRT_12_1,kilowatt hour,25187609.0840429,25706.37937176998,51599.16176336975,367376.610000873,3287.1737197072903,158.04955978937707
,,,,wind_onshore__electricity___PRT_1_1,kilowatt hour,466531.0620014,476.13985095413227,955.7323069261981,6804.639513259517,60.88583641737681,2.9274326408304567
,,,,wind_onshore__electricity___PRT_11_1,kilowatt hour,11249994.7291723,11481.702428491812,23046.66139364416,164088.02091631913,1468.2095032434547,70.59251668951222
,,,,wind_onshore__electricity___PRT_7_1,kilowatt hour,7103893.9081678,7250.207459124934,14552.987927132937,103614.61673717207,927.1119495485627,44.576176374061845
,,,,wind_onshore__electricity___PRT_17_1,kilowatt hour,19042573.2555991,19434.77887734243,39010.48386649388,277747.522007152,2485.2000105625607,119.49011557039088
,,,,wind_onshore__electricity___PRT_20_1,kilowatt hour,6218252.199233,6346.324848604389,12738.668447653914,90696.99332854156,811.5289999702137,39.01886913711116
,,,,wind_onshore__electricity___PRT_15_1,kilowatt hour,5462423.314425,5574.928737112977,11190.282622084185,79672.7689789712,712.8876069775005,34.276123525218566
,,,,wind_onshore__electricity___PRT_10_1,kilowatt hour,8551245.988678299,8727.369541783795,17518.023388761594,124725.12782262423,1116.0023561813982,53.65815626360833
,,,,wind_onshore__electricity___PRT_16_1,kilowatt hour,12408959.174392,12664.537214877248,25420.907940181733,180992.222803113,1619.4631396518553,77.86489493770775
,,,,wind_onshore__electricity___PRT_19_1,kilowatt hour,5213186.5500885,5320.558647932184,10679.697910351742,76037.49906148079,680.3603218670678,32.712189418515145
,,,,wind_onshore__electricity___PRT_9_1,kilowatt hour,60200483589.25645,61440387.6816467,123326294.31312343,878060696.7314185,7856618.979100279,377751.61185774964
,,,,wind_offshore__electricity___PRT_15_1,kilowatt hour,1417032.4301255,539.9640754628108,2960.2024257203143,24109.047542227785,266.429170554856,9.800733799013452
,,,,wind_offshore__electricity___PRT_9_1,kilowatt hour,1758753.2435542,670.1777260766911,3674.062433093989,29923.00293502727,330.67921237541185,12.164204567901038
,,,,wind_offshore__electricity___PRT_3_1,kilowatt hour,1618242.431165,616.6356992820477,3380.5331962738546,27532.385906937885,304.2604950555228,11.192378490171262
,,,,wind_offshore__electricity___PRT_12_1,kilowatt hour,1696530.2418001,646.4674707152936,3544.077630421673,28864.35580994185,318.98009921457697,11.733846684906945
,,,,wind_offshore__electricity___PRT_18_1,kilowatt hour,1457304.631063,555.3098979833228,3044.331669696605,24794.229043865027,274.00111377480357,10.079271617425665
,,,,wind_offshore__electricity___PRT_17_1,kilowatt hour,1637265.5454793,623.8845053845848,3420.2727731132245,27856.040579550507,307.8372039997693,11.3239495645373
,,,,wind_offshore__electricity___PRT_20_1,kilowatt hour,1401260.6558279,533.95418951394,2927.2549479795794,23840.710383958896,263.46377565751766,9.691650225784475
,,,,wind_offshore__electricity___PRT_11_1,kilowatt hour,1598921.2180484,609.2732841042076,3340.170886477021,27203.659453237877,300.6277378403642,11.058745651349563
,,,,wind_offshore__electricity___PRT_7_1,kilowatt hour,1464513.707131,558.0569392160147,3059.3915398104673,24916.882522320142,275.35655780596704,10.129132321599357
,,,,wind_offshore__electricity___PRT_4_1,kilowatt hour,1441323.2734043,549.2201646027742,3010.9463690343023,24522.326084118395,270.9963131955103,9.968738485731734
,,,,wind_offshore__electricity___PRT_1_1,kilowatt hour,204773.0444569,78.02932666713257,427.7740227072519,3483.9591242793076,38.501244733751136,1.416288050559837
,,,,wind_offshore__electricity___PRT_16_1,kilowatt hour,1573111.769144,599.4385330302377,3286.254552932137,26764.54372319376,295.7750683375486,10.880237712900266
,,,,hydro_run_of_river__electricity___PRT_2,kilowatt hour,402869346.01467264,71476.77059603891,167729.181358971,1759818.568390854,8658.879766495651,429.26544861780127
