lvl_0,lvl_1,lvl_2,lvl_3,lvl_4,unit,amount,ozone depletion potential (ODPinfinite),agricultural land occupation (LOP),surplus ore potential (SOP),global warming potential (GWP1000)
,,,,methane_storage__methane___PRT_1,unit,2892.6771440010743,8300.228724057237,6826775690.011499,4388398194.950076,31987398513.03191
,,,,methane_storage__methane___PRT_2,unit,2930.7961289037003,8409.607086290172,6916737250.631193,4446227421.91641,32408920543.68447
,,Other,,,,,5703.974600652202,3048678206.928879,31674237.364122525,9290844736.422674
,,,biofuel_to_methane__methane___PRT_1,,cubic meter,102657130.16304854,15.01338298998881,4399661.318900195,317406.1137213532,146158275.0640646
,,,el_import__electricity___PRT_ESP-sink,,kilowatt hour,6454952493.619019,842.5787339329643,39056763.38791027,15910140.059363777,1835641519.6548233
,,,biofuel_to_methanol__methanol___PRT_1,,kilogram,121004627.922645,20.934291984011857,187667795.81226805,1045229.3759237614,675847256.2156935
,,,biofuel_to_diesel__diesel___PRT_2,,kilogram,134864602.96156612,2253.7215230569254,630187400.767854,2769751.4752733135,513933148.1162282
,,,biofuel_to_diesel__diesel___PRT_1,,kilogram,143060795.33757237,2390.68804176752,668486087.3941169,2938078.9340968886,545166658.3027558
,,,biofuel_to_methane__methane___PRT_2,,cubic meter,82053854.19021083,12.000198493821351,3516649.722826422,253702.73777249196,116824323.56869097
,,,biofuel_to_methanol__methanol___PRT_2,,kilogram,977077808.6059113,169.03842842696986,1515363848.5250027,8439928.66797094,5457273555.500418
