spores,techs,locs,carriers,unit,flow_out_sum
101,biofuel_to_methanol,PRT_1,biofuel,twh,
101,biofuel_to_methanol,PRT_1,methanol,twh,0.5380923265173612
101,biofuel_to_methanol,PRT_2,biofuel,twh,
101,biofuel_to_methanol,PRT_2,methanol,twh,4.345365424804227
101,ccgt,PRT_1,electricity,twh,3.46665314100765e-05
101,ccgt,PRT_1,methane,twh,
101,ccgt,PRT_2,electricity,twh,2.769565283508204e-05
101,ccgt,PRT_2,methane,twh,
101,chp_biofuel_extraction,PRT_1,biofuel,twh,
101,chp_biofuel_extraction,PRT_1,electricity,twh,0.0002409379858845962
101,chp_biofuel_extraction,PRT_1,heat,twh,0.0003970250464830856
101,chp_biofuel_extraction,PRT_2,biofuel,twh,
101,chp_biofuel_extraction,PRT_2,electricity,twh,0.00020362110254434467
101,chp_biofuel_extraction,PRT_2,heat,twh,0.0003672390880138632
101,chp_hydrogen,PRT_1,electricity,twh,0.0001845772753948462
101,chp_hydrogen,PRT_1,heat,twh,0.00012063309833644894
101,chp_hydrogen,PRT_1,hydrogen,twh,
101,chp_hydrogen,PRT_2,electricity,twh,0.00018939253233903896
101,chp_hydrogen,PRT_2,heat,twh,0.00012453055215884396
101,chp_hydrogen,PRT_2,hydrogen,twh,
101,chp_methane_extraction,PRT_1,electricity,twh,0.00017500893432621854
101,chp_methane_extraction,PRT_1,heat,twh,6.222540269953856e-05
101,chp_methane_extraction,PRT_1,methane,twh,
101,chp_methane_extraction,PRT_2,electricity,twh,0.00014147547375503245
101,chp_methane_extraction,PRT_2,heat,twh,4.996246388599847e-05
101,chp_methane_extraction,PRT_2,methane,twh,
101,chp_wte_back_pressure,PRT_1,electricity,twh,0.2820923987911455
101,chp_wte_back_pressure,PRT_1,heat,twh,4.126855412668449e-05
101,chp_wte_back_pressure,PRT_1,waste,twh,
101,chp_wte_back_pressure,PRT_2,electricity,twh,0.2760799753549762
101,chp_wte_back_pressure,PRT_2,heat,twh,4.406382744057547e-05
101,chp_wte_back_pressure,PRT_2,waste,twh,
101,dac,PRT_1,co2,100kt,32.155657916985106
101,dac,PRT_1,electricity,twh,
101,dac,PRT_2,co2,100kt,38.6476552278167
101,dac,PRT_2,electricity,twh,
101,demand_cooking,PRT_1,cooking,twh,
101,demand_cooking,PRT_2,cooking,twh,
101,demand_elec,PRT_1,electricity,twh,
101,demand_elec,PRT_2,electricity,twh,
101,demand_heat,PRT_1,heat,twh,
101,demand_heat,PRT_2,heat,twh,
101,demand_heavy_transport,PRT_1,transport,billion_km,
101,demand_heavy_transport,PRT_2,transport,billion_km,
101,demand_industry_diesel,PRT_1,diesel,twh,
