Unnamed: 0,spores,techs,locs,carriers,unit,flow_out_sum,names2,new_vals,Units_new,codes,names_db,units
0,0,battery,PRT_1,electricity,twh,0.0005256314961475,battery_electricity,2186627.0239736,,a2634d3b6d27046ccb1d0af9c0384c64,"market for battery cell, Li-ion, NCA",kilogram
1,0,battery,PRT_2,electricity,twh,0.0005751260460233,battery_electricity,2392524.351456928,,a2634d3b6d27046ccb1d0af9c0384c64,"market for battery cell, Li-ion, NCA",kilogram
2,0,biofuel_boiler,PRT_1,heat,twh,8.969823699804301,biofuel_boiler_heat,32291365319.295486,,413bc4617794c6e8b07038dbeca64adb,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014",megajoule
3,0,biofuel_boiler,PRT_2,heat,twh,0.0003869065336186,biofuel_boiler_heat,1392863.52102696,,413bc4617794c6e8b07038dbeca64adb,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014",megajoule
4,0,biofuel_supply,PRT_1,biofuel,twh,20.39066515251896,biofuel_supply_biofuel,2324535827.3871613,,f1cc5e0b69dcd3bdb2c6a4d393521a65,"market for ethanol, without water, in 99.7% solution state, from fermentation, vehicle grade",kilogram
5,0,biofuel_supply,PRT_2,biofuel,twh,16.111787736830337,biofuel_supply_biofuel,1836743801.9986584,,f1cc5e0b69dcd3bdb2c6a4d393521a65,"market for ethanol, without water, in 99.7% solution state, from fermentation, vehicle grade",kilogram
6,0,biofuel_to_diesel,PRT_1,diesel,twh,1.075645077726108,biofuel_to_diesel_diesel,143060795.33757237,,3a6586952eff793738eef72743703e90,market for fatty acid methyl ester,kilogram
7,0,biofuel_to_diesel,PRT_2,diesel,twh,1.014019571139595,biofuel_to_diesel_diesel,134864602.96156612,,3a6586952eff793738eef72743703e90,market for fatty acid methyl ester,kilogram
10,0,biofuel_to_methane,PRT_1,methane,twh,4.349878396739345,biofuel_to_methane_methane,102657130.16304854,,7d82a9b0a28dc30058260b5c68fbad95,"market for biomethane, high pressure",cubic meter
11,0,biofuel_to_methane,PRT_2,methane,twh,3.476858228398764,biofuel_to_methane_methane,82053854.19021083,,7d82a9b0a28dc30058260b5c68fbad95,"market for biomethane, high pressure",cubic meter
12,0,biofuel_to_methanol,PRT_1,methanol,twh,0.7610353957399056,biofuel_to_methanol_methanol,121004627.922645,,df54a237474430370bb580c2451d405d,"market for methanol, from biomass",kilogram
13,0,biofuel_to_methanol,PRT_2,methanol,twh,6.145143450351643,biofuel_to_methanol_methanol,977077808.6059113,,df54a237474430370bb580c2451d405d,"market for methanol, from biomass",kilogram
14,0,ccgt,PRT_1,electricity,twh,2.014459333359496e-05,ccgt_electricity,20144.59333359496,,4833b6352dfe15c95ae46fd280371cd3,"electricity production, natural gas, combined cycle power plant",kilowatt hour
15,0,ccgt,PRT_2,electricity,twh,1.3881400346505443e-05,ccgt_electricity,13881.400346505443,,4833b6352dfe15c95ae46fd280371cd3,"electricity production, natural gas, combined cycle power plant",kilowatt hour
16,0,chp_biofuel_extraction,PRT_1,electricity,twh,0.0002306317864539,chp_biofuel_extraction_electricity,230631.7864539,,1952fb157a18463b0028629917057bcf,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014",kilowatt hour
17,0,chp_biofuel_extraction,PRT_2,electricity,twh,0.0001962065651625,chp_biofuel_extraction_electricity,196206.56516250002,,1952fb157a18463b0028629917057bcf,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014",kilowatt hour
18,0,chp_hydrogen,PRT_1,electricity,twh,0.0001574072578616,chp_hydrogen_electricity,157407.2578616,,CHP_hydrogen_2050,CHP_HYDROGEN_2050,kilowatt hour
19,0,chp_hydrogen,PRT_2,electricity,twh,0.0001377769636955,chp_hydrogen_electricity,137776.9636955,,CHP_hydrogen_2050,CHP_HYDROGEN_2050,kilowatt hour
20,0,chp_methane_extraction,PRT_1,electricity,twh,7.742545274723361e-05,chp_methane_extraction_electricity,77425.4527472336,,a0d0ab65435d0487d33b4be142483d76,"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",kilowatt hour
21,0,chp_methane_extraction,PRT_2,electricity,twh,5.6268777372518446e-05,chp_methane_extraction_electricity,56268.777372518445,,a0d0ab65435d0487d33b4be142483d76,"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",kilowatt hour
22,0,chp_wte_back_pressure,PRT_1,electricity,twh,0.2231221922250479,chp_wte_back_pressure_electricity,223122192.2250479,,fd6356e68720aec505c69cdadb3046fc,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",kilowatt hour
23,0,chp_wte_back_pressure,PRT_2,electricity,twh,0.2183673070295359,chp_wte_back_pressure_electricity,218367307.02953592,,fd6356e68720aec505c69cdadb3046fc,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",kilowatt hour
26,0,el_import,ESP,electricity,twh,6.454952493619018,el_import_electricity,6454952493.619019,,1373b63314d03c42313a372bca1bd648,"market for electricity, high voltage",kilowatt hour
31,0,electrolysis,PRT_1,hydrogen,twh,0.0032172422337836,electrolysis_hydrogen,966352.6966760716,,market_hydrogen_2050_A,Market for hydrogen ,kg
32,0,electrolysis,PRT_2,hydrogen,twh,29.253276526946784,electrolysis_hydrogen,8786712533.355143,,market_hydrogen_2050_A,Market for hydrogen ,kg
33,0,existing_pv,PRT_1,electricity,twh,1.772374350813805,existing_pv_electricity,1772374350.813805,,206c2e2c30f45d47ea2e9a3701f8ecc5,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si",kilowatt hour
